recv_ts,cycle,rank,code,name,action,decision,nav,fair_value,bid1,ask1,spread_bps,etf_obi,buy_gap_bps,sell_gap_bps,pnl_bps,hold_sec,order_side,order_qty,order_price,order_no,filled,fill_status,before_qty,after_qty,reason
2026-07-01T13:37:20.246,1,1,252670,252670,WAIT,HOLD,71.99,71.946806,71.0,72.0,139.86013986013987,0.07936936492551622,-7.393517927676296,-131.5980587102081,,,,,,,,,,,edge_below_threshold
2026-07-01T13:37:20.777,1,2,0195R0,0195R0,WAIT,HOLD,20411.16,20405.761163984454,20415.0,20420.0,2.4488796375658137,-0.31839622641509435,-6.977850961363128,4.527562555153195,,,,,,,,,,,edge_below_threshold
2026-07-01T13:37:21.308,1,3,459580,459580,WAIT,HOLD,1073483.25,1073477.9373599587,1073515.0,1073520.0,0.04657585926638364,-0.0059194960239353535,-0.3918351609982021,0.34525758519541777,,,,,,,,,,,edge_below_threshold
2026-07-01T13:37:21.838,1,4,0162Z0,0162Z0,WAIT,HOLD,15273.43,15265.657186425384,15260.0,15265.0,3.276003276003276,-0.6843845131863878,0.4304999236902538,-3.7058256688839353,,,,,,,,,,,edge_below_threshold
2026-07-01T13:37:22.374,1,forced-5,0209D0,0209D0,WAIT,HOLD,8631.91,8626.730854,8620.0,8625.0,5.798782255726297,-0.8720007057163021,2.0063846076719782,-7.8023229354356465,,,,,,,,,,,edge_below_threshold
2026-07-01T13:37:22.906,1,forced-6,0150K0,0150K0,WAIT,HOLD,11264.04,11257.281576000001,11280.0,11335.0,48.640282998010164,-0.7032897511598482,-69.03835839523711,20.181092430372704,,,,,,,,,,,edge_below_threshold
2026-07-01T13:37:23.434,1,forced-7,457990,457990,WAIT,HOLD,39438.58,39447.44179305309,39415.0,39450.0,8.875927217396818,0.8182939996915009,-0.6485102279458104,-8.224054990253888,,,,,,,,,,,edge_below_threshold
2026-07-01T13:37:33.962,2,1,252670,252670,WAIT,HOLD,71.96,71.91682399999999,71.0,72.0,139.86013986013987,0.079567216510692,-11.565583040765095,-127.48393894591219,,,,,,,,,,,edge_below_threshold
2026-07-01T13:37:34.847,2,2,0195R0,0195R0,WAIT,HOLD,20450.16,20450.935827378547,20430.0,20445.0,7.339449541284404,0.4302015975656143,2.902472252932726,-10.237099932864544,,,,,,,,,,,edge_below_threshold
2026-07-01T13:37:35.378,2,3,459580,459580,WAIT,HOLD,1073483.25,1073477.9541803913,1073515.0,1073520.0,0.04657585926638364,-0.005893380987338736,-0.3916784638658908,0.3451008887929351,,,,,,,,,,,edge_below_threshold
