recv_ts,rank,code,name,holdings,nav_source,priced_components,nav,fair_value,ask1,bid1,micro,spread_bps,etf_obi,current_basis_bps,expected_basis_bps,buy_gap_bps,sell_gap_bps,decision,reason
2026-06-22T15:56:14.555,7,0167A0,SOL AI반도체TOP2플러스,10,KIS_OFFICIAL_NAV,0,28806.61,28867.612501115476,28935.0,28930.0,28930.8070211882,1.7281603732826407,-0.8453916812880586,43.114070412381004,21.17656368294538,-23.343634282855827,21.611589417764613,SELL,executable_bid_above_fair_value
2026-06-22T15:56:20.381,10,396500,TIGER 반도체TOP10,10,KIS_OFFICIAL_NAV,0,55647.88,55624.1672568973,55670.0,55635.0,55635.00332921145,6.289025650240331,-0.9961789600967352,-2.3139553184315895,-4.261212305427581,-8.23971761968553,1.947488589387543,HOLD,edge_below_threshold
2026-06-22T15:56:26.627,11,395160,KODEX AI반도체TOP2플러스,15,KIS_OFFICIAL_NAV,0,62852.22,62904.252566842784,63000.0,62975.0,62975.24618414574,3.9690414764834294,-0.8290258449304175,19.573880468460704,8.278556722862136,-15.22113835713625,11.246844254613578,SELL,executable_bid_above_fair_value
2026-06-22T15:56:32.451,15,091160,KODEX 반도체,35,KIS_OFFICIAL_NAV,0,188378.2,188350.11946040293,188345.0,188330.0,188336.26445086705,0.7964425565806067,-0.08875739644970414,-2.226135993069393,-1.4906469855372788,0.2718055299139834,-1.0681947248331547,HOLD,edge_below_threshold
2026-06-22T15:56:37.494,18,395270,HANARO Fn K-반도체,20,KIS_OFFICIAL_NAV,0,88300.29,88336.71772526672,88505.0,88365.0,88369.8275862069,15.830836207383955,-0.06862745098039216,7.875125461864844,4.125436651084488,-19.050093671880866,3.201644283551807,HOLD,spread_too_wide
