section,row_index,rt_cd,msg_cd,msg1,hts_kor_isnm,futs_prpr,prdy_vrss_sign,futs_prdy_vrss,futs_prdy_ctrt,acml_vol,futs_prdy_clpr,futs_shrn_iscd,code,market_code,futs_askp1,futs_askp2,futs_askp3,futs_askp4,futs_askp5,futs_bidp1,futs_bidp2,futs_bidp3,futs_bidp4,futs_bidp5,askp_rsqn1,askp_rsqn2,askp_rsqn3,askp_rsqn4,askp_rsqn5,bidp_rsqn1,bidp_rsqn2,bidp_rsqn3,bidp_rsqn4,bidp_rsqn5,askp_csnu1,askp_csnu2,askp_csnu3,askp_csnu4,askp_csnu5,bidp_csnu1,bidp_csnu2,bidp_csnu3,bidp_csnu4,bidp_csnu5,total_askp_rsqn,total_bidp_rsqn,total_askp_csnu,total_bidp_csnu,aspr_acpt_hour
output1,0,0,MCA00000,정상처리 되었습니다.,F 202606,1294.25,5,-8.45,-0.65,189501,1302.70,A01606,A01606,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
output2,0,0,MCA00000,정상처리 되었습니다.,,,,,,,,,A01606,F,1294.25,1294.30,1294.35,1294.40,1294.45,1294.00,1293.95,1293.90,1293.85,1293.80,2,3,8,12,12,8,8,8,8,8,1,2,2,3,2,1,1,1,1,1,2855,3281,441,534,154500
