date,code,name,nav,close,volume,trading_value,rank,holdings,pdf_equity_amount,cash_like_amount
20260622,0193T0,{'0193T0': 'KODEX SK하이닉스단일종목레버리지'},43642.7,44000.0,135293742.0,5733108159321.0,1,1,1001217000.0,30841805.0
20260622,0195S0,{'0195S0': 'TIGER SK하이닉스단일종목레버리지'},37104.79,37420.0,106945511.0,3864845533545.0,2,1,758940000.0,945011033.0
20260622,0193W0,{'0193W0': 'KODEX 삼성전자단일종목레버리지'},28235.86,28265.0,86951870.0,2464559505800.0,5,1,691799500.0,13002373.0
20260622,0195R0,{'0195R0': 'TIGER 삼성전자단일종목레버리지'},25967.29,26135.0,60709366.0,1591259240388.0,6,1,571609500.0,724638765.0
20260622,0167A0,SOL AI반도체TOP2플러스,28792.32,28935.0,44970212.0,1287859898989.0,7,10,1438850900.0,1479434.0
