YM,N_rebal,전략(%),KOSPI(%),초과(%)
202311,17,-1.4415954174820556,3.4435625738142406,-4.885157991296296
202312,19,22.410798806549014,6.5788160526305095,15.831982753918506
202401,22,-1.0601309706622208,-4.770002359718484,3.709871389056263
202402,19,24.695388412952155,5.184349016307022,19.511039396645135
202403,20,-17.604679285385227,2.751778990154352,-20.35645827553958
202404,21,-9.280195148374082,-2.3367274897556523,-6.943467658618429
202405,20,-12.548511629574078,-0.04210683211302024,-12.506404797461057
202406,19,-12.011277657812968,4.540133903941079,-16.551411561754048
202407,23,-9.720847194164117,-0.9496097079138011,-8.771237486250316
202408,21,1.5791392923327763,-3.4806025172085864,5.059741809541363
202409,18,6.422703838128907,-4.450205147333108,10.872908985462015
202410,20,-8.794602896432002,-0.7545799843072354,-8.040022912124767
202411,21,-4.237624431880482,-3.4566308469296203,-0.780993584950862
202412,20,11.062699002967724,-2.2628010821029165,13.32550008507064
202501,18,0.5923430059423529,2.293096117451854,-1.700753111509501
202502,20,-2.282048336729081,3.055074471770025,-5.337122808499107
202503,20,0.609017285468183,-0.29775556363976774,0.9067728491079508
202504,22,49.55149451418463,1.522969473187441,48.028525040997195
202505,19,6.051526750687897,5.4371647674222645,0.6143619832656322
202506,19,7.37794470958224,14.475151631918838,-7.097206922336596
202507,23,2.301034512284872,0.96321589824091,1.3378186140439619
202508,20,-2.412771628640187,0.7539887350492602,-3.166760363689447
202509,22,3.3697081525069006,9.955678300184934,-6.585970147678033
202510,18,21.252522718061574,22.1665996301901,-0.9140769121285253
202511,20,3.2778932951482043,-7.141385215556129,10.419278510704332
202512,21,-11.8735467209508,9.929164849236226,-21.80271157018703
202601,21,-9.705375673403704,14.851390954675846,-24.55676662807955
202602,2,10.717288860853081,8.51430499407031,2.2029838667827706
