THEME_NAME,THEME_ID,n_stocks,n_up,agreement_rate,holding_rtn_mean,rebal_date,holding_date,ga_weight,agreement_bin,agreement_rate_pct,holding_rtn_pct
블록체인,387,29,11,0.3793103448275862,-0.008179250316230947,20231109,20231110,0.0588,30~50%,37.93103448275862,-0.8179250316230947
야놀자(Yanolja),483,5,5,1.0,-0.011779824721493349,20231109,20231110,0.0588,70~100%,100.0,-1.1779824721493348
여행,147,9,4,0.4444444444444444,-0.038687405037035875,20231109,20231110,0.0588,30~50%,44.44444444444444,-3.8687405037035876
영상콘텐츠,127,37,10,0.2702702702702703,-0.01667481999280205,20231109,20231110,0.0588,0~30%,27.027027027027028,-1.667481999280205
음원/음반,98,15,8,0.5333333333333333,-0.005861341130702232,20231109,20231110,0.0588,50~70%,53.333333333333336,-0.5861341130702232
일자리(취업),324,10,3,0.3,-0.023280268112608506,20231109,20231110,0.0588,30~50%,30.0,-2.3280268112608504
제습기,328,9,6,0.6666666666666666,-0.0034497089644974777,20231109,20231110,0.0588,50~70%,66.66666666666666,-0.34497089644974777
편의점,384,5,3,0.6,0.0042331733398049964,20231109,20231110,0.0588,50~70%,60.0,0.42331733398049964
항공/저가 항공사(LCC),166,9,6,0.6666666666666666,-0.014756111888527509,20231109,20231110,0.0588,50~70%,66.66666666666666,-1.475611188852751
홈쇼핑,38,5,4,0.8,-0.00235166801253055,20231109,20231110,0.0588,70~100%,80.0,-0.23516680125305497
2020 상반기 신규상장,432,14,5,0.35714285714285715,0.00684615246608729,20231110,20231113,0.1854,30~50%,35.714285714285715,0.684615246608729
K-뉴딜지수(인터넷),459,14,5,0.35714285714285715,-0.008857217162064794,20231110,20231113,0.0187,30~50%,35.714285714285715,-0.8857217162064794
LED장비,269,14,6,0.42857142857142855,-0.02288625844330678,20231110,20231113,0.022,30~50%,42.857142857142854,-2.288625844330678
NFT(대체불가토큰),492,28,10,0.35714285714285715,-0.01303131607927451,20231110,20231113,0.1178,30~50%,35.714285714285715,-1.303131607927451
SSD,216,8,7,0.875,-0.019540287352391175,20231110,20231113,0.012,70~100%,87.5,-1.9540287352391175
가상화폐(비트코인 등),331,30,10,0.3333333333333333,0.0021407837862784996,20231110,20231113,0.0214,30~50%,33.33333333333333,0.21407837862784995
건설 대표주,154,7,3,0.42857142857142855,-0.006249382954998407,20231110,20231113,0.012,30~50%,42.857142857142854,-0.6249382954998407
리츠(REITs),310,23,13,0.5652173913043478,-0.0040359587060259635,20231110,20231113,0.0776,50~70%,56.52173913043478,-0.40359587060259633
소모성자재구매대행(MRO),312,5,2,0.4,-0.001926246605858628,20231110,20231113,0.0735,30~50%,40.0,-0.1926246605858628
손해보험,164,8,6,0.75,0.008662755549638412,20231110,20231113,0.0389,70~100%,75.0,0.8662755549638412
아이폰,388,24,10,0.4166666666666667,-0.003277220695361983,20231110,20231113,0.0006,30~50%,41.66666666666667,-0.32772206953619826
야놀자(Yanolja),483,5,0,0.0,-0.00523582838001353,20231110,20231113,0.0107,0~30%,0.0,-0.523582838001353
우주항공산업(누리호/인공위성 등),200,25,10,0.4,-0.009956613260706097,20231110,20231113,0.0535,30~50%,40.0,-0.9956613260706096
은행,165,10,5,0.5,0.0011277655968559674,20231110,20231113,0.0008,50~70%,50.0,0.11277655968559674
음원/음반,98,15,4,0.26666666666666666,-0.02782535486408922,20231110,20231113,0.1433,0~30%,26.666666666666668,-2.7825354864089222
종합상사,325,8,2,0.25,0.06519277548215366,20231110,20231113,0.0169,0~30%,25.0,6.519277548215366
카카오뱅크(kakao BANK),489,12,5,0.4166666666666667,-0.00792809174493205,20231110,20231113,0.0009,30~50%,41.66666666666667,-0.792809174493205
케이블TV SO/MSO,70,8,4,0.5,-0.008843233439911696,20231110,20231113,0.0,50~70%,50.0,-0.8843233439911696
통신,126,3,1,0.3333333333333333,0.004410043762286708,20231110,20231113,0.0982,30~50%,33.33333333333333,0.44100437622867084
편의점,384,5,2,0.4,-0.012174613957278525,20231110,20231113,0.0958,30~50%,40.0,-1.2174613957278524
2020 상반기 신규상장,432,14,5,0.35714285714285715,0.021595312753993956,20231113,20231114,0.2222,30~50%,35.714285714285715,2.1595312753993956
2차전지(생산),449,4,1,0.25,0.03636514802040619,20231113,20231114,0.0026,0~30%,25.0,3.636514802040619
가상화폐(비트코인 등),331,30,10,0.3333333333333333,0.021363446103755537,20231113,20231114,0.2506,30~50%,33.33333333333333,2.1363446103755535
