rebal_date,n_themes_selected,n_stocks_selected,filter_type,port_return,kospi_return,excess_return
20231108,2,1,-3%이하,-0.01750509857239973,0.002254689009836497,-0.019759787582236225
20231109,2,10,전체,-0.007065746367011938,-0.007177348913097292,0.0001116025460853546
20231110,2,1,-1%이하,0.0033222591362126247,-0.0024484782085437695,0.005770737344756394
20231113,2,15,전체,0.006466158445660957,0.012268279695144102,-0.005802121249483145
20231114,2,20,전체,0.014289254862751326,0.02195417651289433,-0.0076649216501430036
20231115,2,15,전체,0.005824310877462491,0.000607237791906412,0.005217073085556079
20231116,2,20,전체,-0.009835108448984045,-0.007366830374008315,-0.0024682780749757296
20231117,2,16,전체,-0.009372252856409621,0.008644249650788582,-0.018016502507198204
20231120,2,17,전체,0.02802508465162143,0.0077151573538858376,0.02030992729773559
20231121,2,21,전체,-0.0025077916058981777,0.0005098748416598742,-0.003017666447558052
20231122,2,12,전체,-0.009303183606452376,0.0012979257076881634,-0.01060110931414054
20231123,2,24,전체,-0.013480061747113935,-0.007288386296402272,-0.006191675450711663
20231124,2,1,-1%이하,-0.020229265003371546,-0.0003885237299880995,-0.019840741273383446
20231127,2,9,전체,0.021355453577042577,0.010458155357701004,0.010897298219341572
20231128,2,9,전체,-0.006734720503061816,-0.0007732694625977032,-0.0059614510404641125
20231129,2,1,-3%이하,0.00875,0.006143320329707436,0.002606679670292565
20231130,2,28,전체,-0.005072943347532455,-0.011943406868642148,0.006870463521109693
20231201,2,1,-1%이하,0.21308858739026337,0.003968048031744331,0.20912053935851904
20231204,2,10,전체,0.021378874548132136,-0.0082188512694088,0.029597725817540936
20231205,2,1,-3%이하,-0.012080536912751677,0.000441009028657513,-0.01252154594140919
20231206,2,30,전체,0.003420937269988451,-0.0013264512819690655,0.004747388551957516
20231207,2,1,-3%이하,-0.0034066274388355527,0.010344813749212367,-0.01375144118804792
20231208,2,23,전체,-0.004517652321380704,0.002982703497031336,-0.00750035581841204
20231211,2,1,-3%이하,-0.052795031055900624,0.0039241929863464975,-0.05671922404224712
20231212,2,17,전체,0.02307562073364499,-0.009707052897719004,0.032782673631363994
20231213,2,13,전체,0.002932694253427614,0.013351071033114836,-0.010418376779687223
20231214,2,1,-1%이하,0.022756948330535348,0.00761738556234226,0.015139562768193088
20231215,2,30,전체,0.0030390030455546228,0.0012872723868371239,0.001751730658717499
20231218,2,11,전체,0.012956210978280695,0.0006583919652805026,0.012297819013000193
20231219,2,29,전체,0.010567957602140958,0.01781160576979235,-0.007243648167651391
20231220,2,13,전체,-0.00687075723238258,-0.0054622652335234445,-0.0014084919988591356
20231221,2,7,-1%이하,-0.008366122066813088,-0.00019615233728964565,-0.008169969729523443
20231222,2,1,-3%이하,-0.0414985590778098,0.0011848386811359468,-0.042683397758945744
20231226,2,1,-1%이하,-0.009259259259259259,0.004191977991155005,-0.013451237250414264
20231227,2,22,전체,0.005121471832260732,0.015986225368280094,-0.010864753536019362
20231228,2,16,전체,0.04709399727574915,0.0054721159350425985,0.04162188134070655
20240102,2,23,전체,0.005580445564231419,-0.023409905573804846,0.028990351138036264
20240103,2,1,-3%이하,-0.11420612813370473,-0.007781966854727651,-0.10642416127897708
20240104,2,1,-1%이하,-0.03526422764227642,-0.0034557135236681358,-0.031808514118608286
20240105,2,5,-1%이하,0.035086671310476936,-0.00397970582759255,0.039066377138069486
