range,count,mean_next_return,median_next_return,win_rate,mean_next_return_pct,median_next_return_pct,win_rate_pct
  ~ -3%,10544,0.004315571912953451,0.0,0.48786039453717756,0.43155719129534514,0.0,48.786039453717756
-3% ~ -1%,23126,0.001676784137374215,0.0,0.46817434921733114,0.1676784137374215,0.0,46.81743492173312
-1% ~  0%,22742,0.00046456081090512184,0.0,0.4450795884266995,0.046456081090512184,0.0,44.50795884266995
 0% ~  1%,31711,0.0014288907289694713,0.0,0.43202674150925546,0.14288907289694713,0.0,43.202674150925546
 1% ~  3%,29086,0.0012010679229503625,-0.0014975666644239613,0.4415870178092553,0.12010679229503625,-0.14975666644239613,44.15870178092553
 3% ~  5%,13642,0.001454427960609821,-0.003046460259123139,0.43204808679079315,0.1454427960609821,-0.30464602591231393,43.20480867907931
 5% ~   ,18828,0.004429950439456838,-0.004530017135059152,0.4358402379434884,0.44299504394568384,-0.4530017135059152,43.584023794348845
