Strategy,Date,Country,Weight(%)
GDP (Prop),2020-06-30,Malaysia,0.3936
GDP (Prop),2020-06-30,UAE,0.4641
GDP (Prop),2020-06-30,Thailand,0.6391
GDP (Prop),2020-06-30,Kuwait,0.1184
GDP (Prop),2020-06-30,Qatar,0.177
GDP (Prop),2020-06-30,Poland,0.7257
GDP (Prop),2020-06-30,Chile,0.3181
GDP (Prop),2020-06-30,Turkey,0.9047
GDP (Prop),2020-06-30,Greece,0.2378
GDP (Prop),2020-06-30,Philippines,0.4604
GDP (Prop),2020-06-30,Hungary,0.1946
GDP (Prop),2020-06-30,Egypt,0.4938
GDP (Prop),2020-06-30,Czech Republic,0.3112
GDP (Prop),2020-06-30,Colombia,0.3211
GDP (Prop),2020-06-30,Peru,0.2331
GDP (Prop),2020-09-30,USA,27.2382
GDP (Prop),2020-09-30,Japan,6.5597
GDP (Prop),2020-09-30,UK,3.5041
GDP (Prop),2020-09-30,France,3.4984
GDP (Prop),2020-09-30,Canada,2.1157
GDP (Prop),2020-09-30,Switzerland,0.9777
GDP (Prop),2020-09-30,Germany,5.0942
GDP (Prop),2020-09-30,Australia,1.76
GDP (Prop),2020-09-30,Netherlands,1.21
GDP (Prop),2020-09-30,Sweden,0.6827
GDP (Prop),2020-09-30,Denmark,0.4656
GDP (Prop),2020-09-30,Spain,1.6883
GDP (Prop),2020-09-30,Italy,2.5131
GDP (Prop),2020-09-30,Hong Kong,0.4451
GDP (Prop),2020-09-30,Singapore,0.439
GDP (Prop),2020-09-30,Belgium,0.6986
GDP (Prop),2020-09-30,Finland,0.3475
GDP (Prop),2020-09-30,Israel,0.5269
GDP (Prop),2020-09-30,Norway,0.4887
GDP (Prop),2020-09-30,Ireland,0.589
GDP (Prop),2020-09-30,New Zealand,0.2792
GDP (Prop),2020-09-30,Austria,0.5726
GDP (Prop),2020-09-30,Portugal,0.3015
GDP (Prop),2020-09-30,China,19.5864
GDP (Prop),2020-09-30,India,3.1908
GDP (Prop),2020-09-30,Taiwan,0.8724
GDP (Prop),2020-09-30,Korea,2.1926
GDP (Prop),2020-09-30,Brazil,1.8005
GDP (Prop),2020-09-30,Saudi Arabia,0.9812
GDP (Prop),2020-09-30,South Africa,0.4179
GDP (Prop),2020-09-30,Mexico,1.3882
GDP (Prop),2020-09-30,Indonesia,1.3332
GDP (Prop),2020-09-30,Malaysia,0.4407
GDP (Prop),2020-09-30,UAE,0.439
GDP (Prop),2020-09-30,Thailand,0.6287
GDP (Prop),2020-09-30,Kuwait,0.1376
GDP (Prop),2020-09-30,Qatar,0.1728
GDP (Prop),2020-09-30,Poland,0.7784
GDP (Prop),2020-09-30,Chile,0.3182
GDP (Prop),2020-09-30,Turkey,0.9535
GDP (Prop),2020-09-30,Greece,0.2629
GDP (Prop),2020-09-30,Philippines,0.4316
GDP (Prop),2020-09-30,Hungary,0.2085
GDP (Prop),2020-09-30,Egypt,0.5402
GDP (Prop),2020-09-30,Czech Republic,0.3277
GDP (Prop),2020-09-30,Colombia,0.3305
GDP (Prop),2020-09-30,Peru,0.2709
GDP (Prop),2020-12-31,USA,25.9371
GDP (Prop),2020-12-31,Japan,6.3385
GDP (Prop),2020-12-31,UK,3.3724
GDP (Prop),2020-12-31,France,3.3658
GDP (Prop),2020-12-31,Canada,2.1012
GDP (Prop),2020-12-31,Switzerland,0.9431
GDP (Prop),2020-12-31,Germany,4.9517
GDP (Prop),2020-12-31,Australia,1.7595
GDP (Prop),2020-12-31,Netherlands,1.1721
GDP (Prop),2020-12-31,Sweden,0.7338
GDP (Prop),2020-12-31,Denmark,0.4496
GDP (Prop),2020-12-31,Spain,1.639
GDP (Prop),2020-12-31,Italy,2.5837
GDP (Prop),2020-12-31,Hong Kong,0.4283
GDP (Prop),2020-12-31,Singapore,0.4418
GDP (Prop),2020-12-31,Belgium,0.6697
GDP (Prop),2020-12-31,Finland,0.3342
GDP (Prop),2020-12-31,Israel,0.528
GDP (Prop),2020-12-31,Norway,0.4779
GDP (Prop),2020-12-31,Ireland,0.5543
GDP (Prop),2020-12-31,New Zealand,0.2724
GDP (Prop),2020-12-31,Austria,0.5402
GDP (Prop),2020-12-31,Portugal,0.2903
GDP (Prop),2020-12-31,China,21.3917
GDP (Prop),2020-12-31,India,3.4848
GDP (Prop),2020-12-31,Taiwan,0.8708
GDP (Prop),2020-12-31,Korea,2.2097
GDP (Prop),2020-12-31,Brazil,1.7913
GDP (Prop),2020-12-31,Saudi Arabia,0.9537
GDP (Prop),2020-12-31,South Africa,0.4478
GDP (Prop),2020-12-31,Mexico,1.4552
GDP (Prop),2020-12-31,Indonesia,1.2872
GDP (Prop),2020-12-31,Malaysia,0.4338
GDP (Prop),2020-12-31,UAE,0.4105
GDP (Prop),2020-12-31,Thailand,0.6103
GDP (Prop),2020-12-31,Kuwait,0.1401
GDP (Prop),2020-12-31,Qatar,0.1739
GDP (Prop),2020-12-31,Poland,0.8205
GDP (Prop),2020-12-31,Chile,0.3341
GDP (Prop),2020-12-31,Turkey,0.8721
GDP (Prop),2020-12-31,Greece,0.2401
GDP (Prop),2020-12-31,Philippines,0.5022
GDP (Prop),2020-12-31,Hungary,0.2171
GDP (Prop),2020-12-31,Egypt,0.5215
GDP (Prop),2020-12-31,Czech Republic,0.3182
GDP (Prop),2020-12-31,Colombia,0.3417
GDP (Prop),2020-12-31,Peru,0.2872
GDP (Prop),2021-03-31,USA,26.909
GDP (Prop),2021-03-31,Japan,6.3575
GDP (Prop),2021-03-31,UK,3.5675
GDP (Prop),2021-03-31,France,3.4692
GDP (Prop),2021-03-31,Canada,2.2784
GDP (Prop),2021-03-31,Switzerland,0.9613
GDP (Prop),2021-03-31,Germany,5.0668
GDP (Prop),2021-03-31,Australia,1.9576
GDP (Prop),2021-03-31,Netherlands,1.2066
GDP (Prop),2021-03-31,Sweden,0.7115
GDP (Prop),2021-03-31,Denmark,0.4671
GDP (Prop),2021-03-31,Spain,1.7072
GDP (Prop),2021-03-31,Italy,2.4009
GDP (Prop),2021-03-31,Hong Kong,0.4313
GDP (Prop),2021-03-31,Singapore,0.4956
GDP (Prop),2021-03-31,Belgium,0.6972
GDP (Prop),2021-03-31,Finland,0.3425
GDP (Prop),2021-03-31,Israel,0.5254
GDP (Prop),2021-03-31,Norway,0.5446
GDP (Prop),2021-03-31,Ireland,0.6078
GDP (Prop),2021-03-31,New Zealand,0.2957
GDP (Prop),2021-03-31,Austria,0.5456
GDP (Prop),2021-03-31,Portugal,0.2932
GDP (Prop),2021-03-31,China,18.68
GDP (Prop),2021-03-31,India,3.7487
GDP (Prop),2021-03-31,Taiwan,0.9133
GDP (Prop),2021-03-31,Korea,2.2888
GDP (Prop),2021-03-31,Brazil,1.866
GDP (Prop),2021-03-31,Saudi Arabia,1.0413
GDP (Prop),2021-03-31,South Africa,0.4797
GDP (Prop),2021-03-31,Mexico,1.5169
GDP (Prop),2021-03-31,Indonesia,1.3312
GDP (Prop),2021-03-31,Malaysia,0.4331
GDP (Prop),2021-03-31,UAE,0.4651
GDP (Prop),2021-03-31,Thailand,0.6272
GDP (Prop),2021-03-31,Kuwait,0.158
GDP (Prop),2021-03-31,Qatar,0.1933
GDP (Prop),2021-03-31,Poland,0.7576
GDP (Prop),2021-03-31,Chile,0.3692
GDP (Prop),2021-03-31,Turkey,0.9974
GDP (Prop),2021-03-31,Greece,0.2291
GDP (Prop),2021-03-31,Philippines,0.4296
GDP (Prop),2021-03-31,Hungary,0.1811
GDP (Prop),2021-03-31,Egypt,0.4895
GDP (Prop),2021-03-31,Czech Republic,0.331
GDP (Prop),2021-03-31,Colombia,0.3722
GDP (Prop),2021-03-31,Peru,0.2614
GDP (Prop),2021-06-30,USA,26.5932
GDP (Prop),2021-06-30,Japan,5.949
GDP (Prop),2021-06-30,UK,3.6603
GDP (Prop),2021-06-30,France,3.3783
GDP (Prop),2021-06-30,Canada,2.2998
GDP (Prop),2021-06-30,Switzerland,0.9493
GDP (Prop),2021-06-30,Germany,4.9683
GDP (Prop),2021-06-30,Australia,1.9354
GDP (Prop),2021-06-30,Netherlands,1.2126
GDP (Prop),2021-06-30,Sweden,0.7427
GDP (Prop),2021-06-30,Denmark,0.4596
GDP (Prop),2021-06-30,Spain,1.6481
GDP (Prop),2021-06-30,Italy,2.4684
GDP (Prop),2021-06-30,Hong Kong,0.397
GDP (Prop),2021-06-30,Singapore,0.4966
GDP (Prop),2021-06-30,Belgium,0.6816
GDP (Prop),2021-06-30,Finland,0.3375
GDP (Prop),2021-06-30,Israel,0.5415
GDP (Prop),2021-06-30,Norway,0.558
GDP (Prop),2021-06-30,Ireland,0.6006
GDP (Prop),2021-06-30,New Zealand,0.2872
GDP (Prop),2021-06-30,Austria,0.5494
GDP (Prop),2021-06-30,Portugal,0.2913
GDP (Prop),2021-06-30,China,20.246
GDP (Prop),2021-06-30,India,3.1872
GDP (Prop),2021-06-30,Taiwan,0.8638
GDP (Prop),2021-06-30,Korea,2.2307
GDP (Prop),2021-06-30,Brazil,1.8916
GDP (Prop),2021-06-30,Saudi Arabia,1.0713
GDP (Prop),2021-06-30,South Africa,0.5034
GDP (Prop),2021-06-30,Mexico,1.5071
GDP (Prop),2021-06-30,Indonesia,1.3185
GDP (Prop),2021-06-30,Malaysia,0.4118
GDP (Prop),2021-06-30,UAE,0.4798
GDP (Prop),2021-06-30,Thailand,0.5831
GDP (Prop),2021-06-30,Kuwait,0.1618
GDP (Prop),2021-06-30,Qatar,0.1951
GDP (Prop),2021-06-30,Poland,0.7592
GDP (Prop),2021-06-30,Chile,0.3662
GDP (Prop),2021-06-30,Turkey,0.9142
GDP (Prop),2021-06-30,Greece,0.2437
GDP (Prop),2021-06-30,Philippines,0.4492
GDP (Prop),2021-06-30,Hungary,0.2108
GDP (Prop),2021-06-30,Egypt,0.4608
GDP (Prop),2021-06-30,Czech Republic,0.3326
GDP (Prop),2021-06-30,Colombia,0.3466
GDP (Prop),2021-06-30,Peru,0.2596
GDP (Prop),2021-09-30,USA,26.662
GDP (Prop),2021-09-30,Japan,5.789
GDP (Prop),2021-09-30,UK,3.6312
GDP (Prop),2021-09-30,France,3.3394
GDP (Prop),2021-09-30,Canada,2.2607
GDP (Prop),2021-09-30,Switzerland,0.9469
GDP (Prop),2021-09-30,Germany,4.8657
GDP (Prop),2021-09-30,Australia,1.8002
GDP (Prop),2021-09-30,Netherlands,1.1936
GDP (Prop),2021-09-30,Sweden,0.668
GDP (Prop),2021-09-30,Denmark,0.453
GDP (Prop),2021-09-30,Spain,1.6276
GDP (Prop),2021-09-30,Italy,2.4477
GDP (Prop),2021-09-30,Hong Kong,0.4176
GDP (Prop),2021-09-30,Singapore,0.4926
GDP (Prop),2021-09-30,Belgium,0.6707
GDP (Prop),2021-09-30,Finland,0.3296
GDP (Prop),2021-09-30,Israel,0.5472
GDP (Prop),2021-09-30,Norway,0.5779
GDP (Prop),2021-09-30,Ireland,0.6087
GDP (Prop),2021-09-30,New Zealand,0.2692
GDP (Prop),2021-09-30,Austria,0.5471
GDP (Prop),2021-09-30,Portugal,0.2899
GDP (Prop),2021-09-30,China,20.4815
GDP (Prop),2021-09-30,India,3.377
GDP (Prop),2021-09-30,Taiwan,0.8617
GDP (Prop),2021-09-30,Korea,2.1552
GDP (Prop),2021-09-30,Brazil,1.9508
GDP (Prop),2021-09-30,Saudi Arabia,1.14
GDP (Prop),2021-09-30,South Africa,0.4705
GDP (Prop),2021-09-30,Mexico,1.4871
GDP (Prop),2021-09-30,Indonesia,1.3386
GDP (Prop),2021-09-30,Malaysia,0.401
GDP (Prop),2021-09-30,UAE,0.4764
GDP (Prop),2021-09-30,Thailand,0.5385
GDP (Prop),2021-09-30,Kuwait,0.1689
GDP (Prop),2021-09-30,Qatar,0.2135
GDP (Prop),2021-09-30,Poland,0.7735
GDP (Prop),2021-09-30,Chile,0.3523
GDP (Prop),2021-09-30,Turkey,0.9903
GDP (Prop),2021-09-30,Greece,0.2661
GDP (Prop),2021-09-30,Philippines,0.4081
GDP (Prop),2021-09-30,Hungary,0.2099
GDP (Prop),2021-09-30,Egypt,0.5682
GDP (Prop),2021-09-30,Czech Republic,0.3303
GDP (Prop),2021-09-30,Colombia,0.353
GDP (Prop),2021-09-30,Peru,0.2521
GDP (Prop),2021-12-31,USA,26.4106
GDP (Prop),2021-12-31,Japan,5.4258
GDP (Prop),2021-12-31,UK,3.4913
GDP (Prop),2021-12-31,France,3.1328
GDP (Prop),2021-12-31,Canada,2.247
GDP (Prop),2021-12-31,Switzerland,0.9154
GDP (Prop),2021-12-31,Germany,4.5987
GDP (Prop),2021-12-31,Australia,1.7671
GDP (Prop),2021-12-31,Netherlands,1.1241
GDP (Prop),2021-12-31,Sweden,0.7124
GDP (Prop),2021-12-31,Denmark,0.4439
GDP (Prop),2021-12-31,Spain,1.5827
GDP (Prop),2021-12-31,Italy,2.4556
GDP (Prop),2021-12-31,Hong Kong,0.4119
GDP (Prop),2021-12-31,Singapore,0.4936
GDP (Prop),2021-12-31,Belgium,0.6404
GDP (Prop),2021-12-31,Finland,0.313
GDP (Prop),2021-12-31,Israel,0.5837
GDP (Prop),2021-12-31,Norway,0.6327
GDP (Prop),2021-12-31,Ireland,0.568
GDP (Prop),2021-12-31,New Zealand,0.2698
GDP (Prop),2021-12-31,Austria,0.5148
GDP (Prop),2021-12-31,Portugal,0.2759
GDP (Prop),2021-12-31,China,22.1616
GDP (Prop),2021-12-31,India,3.5604
GDP (Prop),2021-12-31,Taiwan,0.864
GDP (Prop),2021-12-31,Korea,2.0552
GDP (Prop),2021-12-31,Brazil,1.7958
GDP (Prop),2021-12-31,Saudi Arabia,1.1526
GDP (Prop),2021-12-31,South Africa,0.4356
GDP (Prop),2021-12-31,Mexico,1.4036
GDP (Prop),2021-12-31,Indonesia,1.3433
GDP (Prop),2021-12-31,Malaysia,0.4319
GDP (Prop),2021-12-31,UAE,0.4751
GDP (Prop),2021-12-31,Thailand,0.5304
GDP (Prop),2021-12-31,Kuwait,0.1764
GDP (Prop),2021-12-31,Qatar,0.2042
GDP (Prop),2021-12-31,Poland,0.7978
GDP (Prop),2021-12-31,Chile,0.3298
GDP (Prop),2021-12-31,Turkey,0.8636
GDP (Prop),2021-12-31,Greece,0.2395
GDP (Prop),2021-12-31,Philippines,0.4779
GDP (Prop),2021-12-31,Hungary,0.2174
GDP (Prop),2021-12-31,Egypt,0.5445
GDP (Prop),2021-12-31,Czech Republic,0.3131
GDP (Prop),2021-12-31,Colombia,0.3574
GDP (Prop),2021-12-31,Peru,0.2579
GDP (Prop),2022-03-31,USA,27.7263
GDP (Prop),2022-03-31,Japan,5.4758
GDP (Prop),2022-03-31,UK,3.6677
GDP (Prop),2022-03-31,France,3.1956
GDP (Prop),2022-03-31,Canada,2.4079
GDP (Prop),2022-03-31,Switzerland,0.9564
GDP (Prop),2022-03-31,Germany,4.7862
GDP (Prop),2022-03-31,Australia,1.8932
GDP (Prop),2022-03-31,Netherlands,1.177
GDP (Prop),2022-03-31,Sweden,0.6368
GDP (Prop),2022-03-31,Denmark,0.4545
GDP (Prop),2022-03-31,Spain,1.6379
GDP (Prop),2022-03-31,Italy,2.2837
GDP (Prop),2022-03-31,Hong Kong,0.3854
GDP (Prop),2022-03-31,Singapore,0.5605
GDP (Prop),2022-03-31,Belgium,0.6635
GDP (Prop),2022-03-31,Finland,0.3203
GDP (Prop),2022-03-31,Israel,0.5743
GDP (Prop),2022-03-31,Norway,0.6877
GDP (Prop),2022-03-31,Ireland,0.6013
GDP (Prop),2022-03-31,New Zealand,0.2751
GDP (Prop),2022-03-31,Austria,0.5347
GDP (Prop),2022-03-31,Portugal,0.2887
GDP (Prop),2022-03-31,China,19.1751
GDP (Prop),2022-03-31,India,3.8068
GDP (Prop),2022-03-31,Taiwan,0.9068
GDP (Prop),2022-03-31,Korea,2.1
GDP (Prop),2022-03-31,Brazil,1.9501
GDP (Prop),2022-03-31,Saudi Arabia,1.2542
GDP (Prop),2022-03-31,South Africa,0.4681
GDP (Prop),2022-03-31,Mexico,1.5192
GDP (Prop),2022-03-31,Indonesia,1.3804
GDP (Prop),2022-03-31,Malaysia,0.4432
GDP (Prop),2022-03-31,UAE,0.5133
GDP (Prop),2022-03-31,Thailand,0.5629
GDP (Prop),2022-03-31,Kuwait,0.195
GDP (Prop),2022-03-31,Qatar,0.2374
GDP (Prop),2022-03-31,Poland,0.7407
GDP (Prop),2022-03-31,Chile,0.3469
GDP (Prop),2022-03-31,Turkey,0.8882
GDP (Prop),2022-03-31,Greece,0.2261
GDP (Prop),2022-03-31,Philippines,0.4198
GDP (Prop),2022-03-31,Hungary,0.1849
GDP (Prop),2022-03-31,Egypt,0.5122
GDP (Prop),2022-03-31,Czech Republic,0.3391
GDP (Prop),2022-03-31,Colombia,0.3866
GDP (Prop),2022-03-31,Peru,0.2525
GDP (Prop),2022-06-30,USA,28.1574
GDP (Prop),2022-06-30,Japan,4.898
GDP (Prop),2022-06-30,UK,3.4932
GDP (Prop),2022-06-30,France,3.0367
GDP (Prop),2022-06-30,Canada,2.4717
GDP (Prop),2022-06-30,Switzerland,0.9215
GDP (Prop),2022-06-30,Germany,4.5851
GDP (Prop),2022-06-30,Australia,1.9374
GDP (Prop),2022-06-30,Netherlands,1.1388
GDP (Prop),2022-06-30,Sweden,0.6567
GDP (Prop),2022-06-30,Denmark,0.4412
GDP (Prop),2022-06-30,Spain,1.5721
GDP (Prop),2022-06-30,Italy,2.2944
GDP (Prop),2022-06-30,Hong Kong,0.3745
GDP (Prop),2022-06-30,Singapore,0.584
GDP (Prop),2022-06-30,Belgium,0.6433
GDP (Prop),2022-06-30,Finland,0.307
GDP (Prop),2022-06-30,Israel,0.5612
GDP (Prop),2022-06-30,Norway,0.6748
GDP (Prop),2022-06-30,Ireland,0.5988
GDP (Prop),2022-06-30,New Zealand,0.2688
GDP (Prop),2022-06-30,Austria,0.5194
GDP (Prop),2022-06-30,Portugal,0.2785
GDP (Prop),2022-06-30,China,19.7051
GDP (Prop),2022-06-30,India,3.432
GDP (Prop),2022-06-30,Taiwan,0.8267
GDP (Prop),2022-06-30,Korea,2.0125
GDP (Prop),2022-06-30,Brazil,2.2253
GDP (Prop),2022-06-30,Saudi Arabia,1.4152
GDP (Prop),2022-06-30,South Africa,0.4641
GDP (Prop),2022-06-30,Mexico,1.5919
GDP (Prop),2022-06-30,Indonesia,1.4654
GDP (Prop),2022-06-30,Malaysia,0.4465
GDP (Prop),2022-06-30,UAE,0.5797
GDP (Prop),2022-06-30,Thailand,0.5484
GDP (Prop),2022-06-30,Kuwait,0.2108
GDP (Prop),2022-06-30,Qatar,0.2583
GDP (Prop),2022-06-30,Poland,0.7297
GDP (Prop),2022-06-30,Chile,0.3302
GDP (Prop),2022-06-30,Turkey,1.0068
GDP (Prop),2022-06-30,Greece,0.2346
GDP (Prop),2022-06-30,Philippines,0.446
GDP (Prop),2022-06-30,Hungary,0.1961
GDP (Prop),2022-06-30,Egypt,0.4579
GDP (Prop),2022-06-30,Czech Republic,0.3263
GDP (Prop),2022-06-30,Colombia,0.4057
GDP (Prop),2022-06-30,Peru,0.2704
GDP (Prop),2022-09-30,USA,28.8696
GDP (Prop),2022-09-30,Japan,4.6126
GDP (Prop),2022-09-30,UK,3.3514
GDP (Prop),2022-09-30,France,2.9478
GDP (Prop),2022-09-30,Canada,2.4241
GDP (Prop),2022-09-30,Switzerland,0.9363
GDP (Prop),2022-09-30,Germany,4.4204
GDP (Prop),2022-09-30,Australia,1.8931
GDP (Prop),2022-09-30,Netherlands,1.1108
GDP (Prop),2022-09-30,Sweden,0.5869
GDP (Prop),2022-09-30,Denmark,0.4295
GDP (Prop),2022-09-30,Spain,1.5235
GDP (Prop),2022-09-30,Italy,2.2086
GDP (Prop),2022-09-30,Hong Kong,0.4009
GDP (Prop),2022-09-30,Singapore,0.5638
GDP (Prop),2022-09-30,Belgium,0.6277
GDP (Prop),2022-09-30,Finland,0.2964
GDP (Prop),2022-09-30,Israel,0.5753
GDP (Prop),2022-09-30,Norway,0.7389
GDP (Prop),2022-09-30,Ireland,0.5941
GDP (Prop),2022-09-30,New Zealand,0.2624
GDP (Prop),2022-09-30,Austria,0.5024
GDP (Prop),2022-09-30,Portugal,0.2719
GDP (Prop),2022-09-30,China,20.1762
GDP (Prop),2022-09-30,India,3.3422
GDP (Prop),2022-09-30,Taiwan,0.8258
GDP (Prop),2022-09-30,Korea,1.9024
GDP (Prop),2022-09-30,Brazil,2.1741
GDP (Prop),2022-09-30,Saudi Arabia,1.3997
GDP (Prop),2022-09-30,South Africa,0.4363
GDP (Prop),2022-09-30,Mexico,1.6201
GDP (Prop),2022-09-30,Indonesia,1.4879
GDP (Prop),2022-09-30,Malaysia,0.4479
GDP (Prop),2022-09-30,UAE,0.5902
GDP (Prop),2022-09-30,Thailand,0.5311
GDP (Prop),2022-09-30,Kuwait,0.2048
GDP (Prop),2022-09-30,Qatar,0.2743
GDP (Prop),2022-09-30,Poland,0.7351
GDP (Prop),2022-09-30,Chile,0.3151
GDP (Prop),2022-09-30,Turkey,1.0097
GDP (Prop),2022-09-30,Greece,0.2497
GDP (Prop),2022-09-30,Philippines,0.4078
GDP (Prop),2022-09-30,Hungary,0.1874
GDP (Prop),2022-09-30,Egypt,0.5596
GDP (Prop),2022-09-30,Czech Republic,0.322
GDP (Prop),2022-09-30,Colombia,0.3806
GDP (Prop),2022-09-30,Peru,0.2717
GDP (Prop),2022-12-30,USA,28.687
GDP (Prop),2022-12-30,Japan,4.4968
GDP (Prop),2022-12-30,UK,3.3587
GDP (Prop),2022-12-30,France,2.9755
GDP (Prop),2022-12-30,Canada,2.2819
GDP (Prop),2022-12-30,Switzerland,0.9231
GDP (Prop),2022-12-30,Germany,4.4586
GDP (Prop),2022-12-30,Australia,1.8022
GDP (Prop),2022-12-30,Netherlands,1.1245
GDP (Prop),2022-12-30,Sweden,0.6249
GDP (Prop),2022-12-30,Denmark,0.4186
GDP (Prop),2022-12-30,Spain,1.5686
GDP (Prop),2022-12-30,Italy,2.3553
GDP (Prop),2022-12-30,Hong Kong,0.4011
GDP (Prop),2022-12-30,Singapore,0.5294
GDP (Prop),2022-12-30,Belgium,0.6362
GDP (Prop),2022-12-30,Finland,0.2959
GDP (Prop),2022-12-30,Israel,0.5753
GDP (Prop),2022-12-30,Norway,0.5929
GDP (Prop),2022-12-30,Ireland,0.5901
GDP (Prop),2022-12-30,New Zealand,0.2581
GDP (Prop),2022-12-30,Austria,0.5029
GDP (Prop),2022-12-30,Portugal,0.2781
GDP (Prop),2022-12-30,China,20.6217
GDP (Prop),2022-12-30,India,3.5701
GDP (Prop),2022-12-30,Taiwan,0.7812
GDP (Prop),2022-12-30,Korea,1.8365
GDP (Prop),2022-12-30,Brazil,2.1545
GDP (Prop),2022-12-30,Saudi Arabia,1.319
GDP (Prop),2022-12-30,South Africa,0.41
GDP (Prop),2022-12-30,Mexico,1.6579
GDP (Prop),2022-12-30,Indonesia,1.4085
GDP (Prop),2022-12-30,Malaysia,0.438
GDP (Prop),2022-12-30,UAE,0.5433
GDP (Prop),2022-12-30,Thailand,0.5186
GDP (Prop),2022-12-30,Kuwait,0.1882
GDP (Prop),2022-12-30,Qatar,0.2558
GDP (Prop),2022-12-30,Poland,0.8165
GDP (Prop),2022-12-30,Chile,0.322
GDP (Prop),2022-12-30,Turkey,1.0861
GDP (Prop),2022-12-30,Greece,0.2356
GDP (Prop),2022-12-30,Philippines,0.4825
GDP (Prop),2022-12-30,Hungary,0.2002
GDP (Prop),2022-12-30,Egypt,0.4671
GDP (Prop),2022-12-30,Czech Republic,0.3267
GDP (Prop),2022-12-30,Colombia,0.3388
GDP (Prop),2022-12-30,Peru,0.2854
GDP (Prop),2023-03-31,USA,29.1176
GDP (Prop),2023-03-31,Japan,4.8951
GDP (Prop),2023-03-31,UK,3.5319
GDP (Prop),2023-03-31,France,3.1733
GDP (Prop),2023-03-31,Canada,2.3032
GDP (Prop),2023-03-31,Switzerland,0.9657
GDP (Prop),2023-03-31,Germany,4.7701
GDP (Prop),2023-03-31,Australia,1.9077
GDP (Prop),2023-03-31,Netherlands,1.2
GDP (Prop),2023-03-31,Sweden,0.6009
GDP (Prop),2023-03-31,Denmark,0.4382
GDP (Prop),2023-03-31,Spain,1.6947
GDP (Prop),2023-03-31,Italy,2.3253
GDP (Prop),2023-03-31,Hong Kong,0.3922
GDP (Prop),2023-03-31,Singapore,0.5439
GDP (Prop),2023-03-31,Belgium,0.685
GDP (Prop),2023-03-31,Finland,0.3125
GDP (Prop),2023-03-31,Israel,0.5511
GDP (Prop),2023-03-31,Norway,0.5698
GDP (Prop),2023-03-31,Ireland,0.5989
GDP (Prop),2023-03-31,New Zealand,0.272
GDP (Prop),2023-03-31,Austria,0.548
GDP (Prop),2023-03-31,Portugal,0.3035
GDP (Prop),2023-03-31,China,18.2822
GDP (Prop),2023-03-31,India,3.6951
GDP (Prop),2023-03-31,Taiwan,0.7916
GDP (Prop),2023-03-31,Korea,1.9754
GDP (Prop),2023-03-31,Brazil,2.1266
GDP (Prop),2023-03-31,Saudi Arabia,1.3067
GDP (Prop),2023-03-31,South Africa,0.4156
GDP (Prop),2023-03-31,Mexico,1.7785
GDP (Prop),2023-03-31,Indonesia,1.4257
GDP (Prop),2023-03-31,Malaysia,0.4336
GDP (Prop),2023-03-31,UAE,0.5414
GDP (Prop),2023-03-31,Thailand,0.565
GDP (Prop),2023-03-31,Kuwait,0.1768
GDP (Prop),2023-03-31,Qatar,0.2328
GDP (Prop),2023-03-31,Poland,0.7772
GDP (Prop),2023-03-31,Chile,0.3671
GDP (Prop),2023-03-31,Turkey,1.2062
GDP (Prop),2023-03-31,Greece,0.2284
GDP (Prop),2023-03-31,Philippines,0.4383
GDP (Prop),2023-03-31,Hungary,0.1861
GDP (Prop),2023-03-31,Egypt,0.3675
GDP (Prop),2023-03-31,Czech Republic,0.3642
GDP (Prop),2023-03-31,Colombia,0.3538
GDP (Prop),2023-03-31,Peru,0.2638
GDP (Prop),2023-06-30,USA,28.7902
GDP (Prop),2023-06-30,Japan,4.7
GDP (Prop),2023-06-30,UK,3.6108
GDP (Prop),2023-06-30,France,3.218
GDP (Prop),2023-06-30,Canada,2.2853
GDP (Prop),2023-06-30,Switzerland,0.9671
GDP (Prop),2023-06-30,Germany,4.7825
GDP (Prop),2023-06-30,Australia,1.818
GDP (Prop),2023-06-30,Netherlands,1.208
GDP (Prop),2023-06-30,Sweden,0.6177
GDP (Prop),2023-06-30,Denmark,0.4255
GDP (Prop),2023-06-30,Spain,1.6836
GDP (Prop),2023-06-30,Italy,2.4182
GDP (Prop),2023-06-30,Hong Kong,0.3754
GDP (Prop),2023-06-30,Singapore,0.5293
GDP (Prop),2023-06-30,Belgium,0.6832
GDP (Prop),2023-06-30,Finland,0.3133
GDP (Prop),2023-06-30,Israel,0.5344
GDP (Prop),2023-06-30,Norway,0.5104
GDP (Prop),2023-06-30,Ireland,0.6044
GDP (Prop),2023-06-30,New Zealand,0.2668
GDP (Prop),2023-06-30,Austria,0.5431
GDP (Prop),2023-06-30,Portugal,0.3054
GDP (Prop),2023-06-30,China,18.8522
GDP (Prop),2023-06-30,India,3.4122
GDP (Prop),2023-06-30,Taiwan,0.7875
GDP (Prop),2023-06-30,Korea,1.8971
GDP (Prop),2023-06-30,Brazil,2.3037
GDP (Prop),2023-06-30,Saudi Arabia,1.2567
GDP (Prop),2023-06-30,South Africa,0.3912
GDP (Prop),2023-06-30,Mexico,1.8652
GDP (Prop),2023-06-30,Indonesia,1.4701
GDP (Prop),2023-06-30,Malaysia,0.4079
GDP (Prop),2023-06-30,UAE,0.5492
GDP (Prop),2023-06-30,Thailand,0.5421
GDP (Prop),2023-06-30,Kuwait,0.1652
