Strategy,Date,Country,Weight(%)
GDP (Prop),2000-12-29,Canada,2.371
GDP (Prop),2000-12-29,Switzerland,0.8901
GDP (Prop),2000-12-29,Germany,5.9133
GDP (Prop),2000-12-29,Australia,1.1836
GDP (Prop),2000-12-29,Netherlands,1.292
GDP (Prop),2000-12-29,Sweden,0.8357
GDP (Prop),2000-12-29,Denmark,0.5088
GDP (Prop),2000-12-29,Spain,1.8517
GDP (Prop),2000-12-29,Italy,3.7865
GDP (Prop),2000-12-29,Hong Kong,0.5695
GDP (Prop),2000-12-29,Singapore,0.3163
GDP (Prop),2000-12-29,Belgium,0.7246
GDP (Prop),2000-12-29,Finland,0.3905
GDP (Prop),2000-12-29,Israel,0.4315
GDP (Prop),2000-12-29,Norway,0.543
GDP (Prop),2000-12-29,Ireland,0.3157
GDP (Prop),2000-12-29,New Zealand,0.1588
GDP (Prop),2000-12-29,Austria,0.5976
GDP (Prop),2000-12-29,Portugal,0.3641
GDP (Prop),2000-12-29,China,4.504
GDP (Prop),2000-12-29,India,1.5435
GDP (Prop),2000-12-29,Taiwan,1.0272
GDP (Prop),2000-12-29,Korea,1.8983
GDP (Prop),2000-12-29,Brazil,2.1215
GDP (Prop),2000-12-29,South Africa,0.4657
GDP (Prop),2000-12-29,Mexico,2.4358
GDP (Prop),2000-12-29,Indonesia,0.5061
GDP (Prop),2000-12-29,Malaysia,0.3292
GDP (Prop),2000-12-29,Thailand,0.3843
GDP (Prop),2000-12-29,Poland,0.5949
GDP (Prop),2000-12-29,Chile,0.2434
GDP (Prop),2000-12-29,Turkey,0.8977
GDP (Prop),2000-12-29,Greece,0.4065
GDP (Prop),2000-12-29,Philippines,0.2662
GDP (Prop),2000-12-29,Hungary,0.1551
GDP (Prop),2000-12-29,Czech Republic,0.1953
GDP (Prop),2000-12-29,Colombia,0.3007
GDP (Prop),2000-12-29,Peru,0.1575
GDP (Prop),2001-03-30,USA,33.7279
GDP (Prop),2001-03-30,Japan,14.992
GDP (Prop),2001-03-30,UK,5.3312
GDP (Prop),2001-03-30,France,4.5025
GDP (Prop),2001-03-30,Canada,2.4236
GDP (Prop),2001-03-30,Switzerland,0.9464
GDP (Prop),2001-03-30,Germany,6.5056
GDP (Prop),2001-03-30,Australia,1.2213
GDP (Prop),2001-03-30,Netherlands,1.4159
GDP (Prop),2001-03-30,Sweden,0.7942
