날짜,KOSPI200_등락률,업종명,KOSDAQ,KOSPI,합계
2026-03-05,9.63,전기·전자,170,43,213
2026-03-05,9.63,기계·장비,130,14,144
2026-03-05,9.63,IT 서비스,90,5,95
2026-03-05,9.63,일반서비스,67,3,70
2026-03-05,9.63,화학,44,21,65
2026-03-05,9.63,제약,54,10,64
2026-03-05,9.63,운송장비·부품,36,24,60
2026-03-05,9.63,의료·정밀기기,49,6,55
2026-03-05,9.63,유통,31,8,39
2026-03-05,9.63,금속,23,15,38
2026-03-05,9.63,증권,0,24,24
2026-03-05,9.63,금융,21,0,21
2026-03-05,9.63,오락·문화,13,2,15
2026-03-05,9.63,건설,7,6,13
2026-03-05,9.63,기타금융,0,13,13
2026-03-05,9.63,비금속,6,1,7
2026-03-05,9.63,기타제조,4,1,5
2026-03-05,9.63,섬유·의류,3,2,5
2026-03-05,9.63,보험,0,4,4
2026-03-05,9.63,운송·창고,0,3,3
2026-03-05,9.63,음식료·담배,3,0,3
2026-03-05,9.63,종이·목재,2,0,2
2026-03-05,9.63,통신,1,1,2
2026-03-05,9.63,은행,0,1,1
2026-03-05,9.63,전기·가스,0,1,1
2026-03-05,9.63,전기·가스·수도,1,0,1
