순위,날짜,종목코드,종목명,시장구분,업종명,등락률,KOSPI200_등락률,초과수익률
224,2026-03-04,002600,조흥,KOSPI,음식료·담배,-1.32,-12.06,10.74
225,2026-03-04,178780,일월지엠엘,KOSDAQ,유통,-1.32,-12.06,10.74
226,2026-03-04,032960,동일기연,KOSDAQ,전기·전자,-1.42,-12.06,10.64
227,2026-03-04,221980,케이디켐,KOSDAQ,화학,-1.44,-12.06,10.62
228,2026-03-04,0054V0,엔에이치스팩32호,KOSDAQ,금융,-1.46,-12.06,10.6
229,2026-03-04,004080,신흥,KOSPI,유통,-1.51,-12.06,10.55
230,2026-03-04,023450,동남합성,KOSPI,화학,-1.61,-12.06,10.45
231,2026-03-04,003465,유화증권우,KOSPI,증권,-1.67,-12.06,10.39
232,2026-03-04,466690,키움히어로제1호스팩,KOSDAQ,금융,-1.69,-12.06,10.37
233,2026-03-04,023770,플레이위드,KOSDAQ,IT 서비스,-1.69,-12.06,10.37
234,2026-03-04,415640,KB발해인프라,KOSPI,기타금융,-1.71,-12.06,10.35
235,2026-03-04,019660,글로본,KOSDAQ,유통,-1.74,-12.06,10.32
236,2026-03-04,014915,성문전자우,KOSPI,전기·전자,-1.75,-12.06,10.31
237,2026-03-04,005320,온타이드,KOSPI,유통,-1.75,-12.06,10.31
238,2026-03-04,002620,제일파마홀딩스,KOSPI,일반서비스,-1.83,-12.06,10.23
239,2026-03-04,000227,유유제약2우B,KOSPI,제약,-1.84,-12.06,10.22
240,2026-03-04,031860,디에이치엑스컴퍼니,KOSDAQ,유통,-1.85,-12.06,10.21
241,2026-03-04,238200,비피도,KOSDAQ,음식료·담배,-1.92,-12.06,10.14
242,2026-03-04,134380,미원화학,KOSPI,화학,-1.93,-12.06,10.13
243,2026-03-04,088980,맥쿼리인프라,KOSPI,기타금융,-1.94,-12.06,10.12
244,2026-03-04,032790,엠젠솔루션,KOSDAQ,유통,-1.95,-12.06,10.11
245,2026-03-04,003080,SB성보,KOSPI,화학,-2.06,-12.06,10.0
246,2026-03-04,086820,바이오솔루션,KOSDAQ,제약,-2.08,-12.06,9.98
247,2026-03-04,487720,키움제10호스팩,KOSDAQ,금융,-2.13,-12.06,9.93
248,2026-03-04,011330,유니켐,KOSPI,섬유·의류,-2.18,-12.06,9.88
249,2026-03-04,225590,패션플랫폼,KOSDAQ,섬유·의류,-2.18,-12.06,9.88
250,2026-03-04,143540,영우디에스피,KOSDAQ,기계·장비,-2.19,-12.06,9.87
251,2026-03-04,310870,디와이씨,KOSDAQ,운송장비·부품,-2.2,-12.06,9.86
252,2026-03-04,338100,NH프라임리츠,KOSPI,부동산,-2.25,-12.06,9.81
253,2026-03-04,256150,한독크린텍,KOSDAQ,기계·장비,-2.27,-12.06,9.79
254,2026-03-04,299900,위지윅스튜디오,KOSDAQ,오락·문화,-2.33,-12.06,9.73
255,2026-03-04,296640,이노룰스,KOSDAQ,IT 서비스,-2.36,-12.06,9.7
256,2026-03-04,004970,신라교역,KOSPI,"농업, 임업 및 어업",-2.36,-12.06,9.7
257,2026-03-04,007590,동방아그로,KOSPI,화학,-2.37,-12.06,9.69
258,2026-03-04,357430,마스턴프리미어리츠,KOSPI,부동산,-2.38,-12.06,9.68
259,2026-03-04,002787,진흥기업2우B,KOSPI,건설,-2.39,-12.06,9.67
260,2026-03-04,016800,퍼시스,KOSPI,기타제조,-2.39,-12.06,9.67
261,2026-03-04,322780,코퍼스코리아,KOSDAQ,오락·문화,-2.46,-12.06,9.6
262,2026-03-04,900290,GRT,KOSDAQ,금융,-2.5,-12.06,9.56
263,2026-03-04,056090,시지메드텍,KOSDAQ,의료·정밀기기,-2.5,-12.06,9.56
264,2026-03-04,403550,쏘카,KOSPI,일반서비스,-2.51,-12.06,9.55
265,2026-03-04,169330,엠브레인,KOSDAQ,일반서비스,-2.58,-12.06,9.48
266,2026-03-04,221800,유투바이오,KOSDAQ,일반서비스,-2.59,-12.06,9.47
267,2026-03-04,002720,국제약품,KOSPI,제약,-2.6,-12.06,9.46
268,2026-03-04,049720,고려신용정보,KOSDAQ,일반서비스,-2.6,-12.06,9.46
269,2026-03-04,26490K,크라운제과우,KOSPI,음식료·담배,-2.63,-12.06,9.43
270,2026-03-04,188260,세니젠,KOSDAQ,기타제조,-2.67,-12.06,9.39
271,2026-03-04,004440,삼일씨엔에스,KOSPI,비금속,-2.67,-12.06,9.39
272,2026-03-04,473370,비엔케이제2호스팩,KOSDAQ,금융,-2.67,-12.06,9.39
273,2026-03-04,018120,진로발효,KOSDAQ,음식료·담배,-2.7,-12.06,9.36
274,2026-03-04,177830,파버나인,KOSDAQ,전기·전자,-2.71,-12.06,9.35
275,2026-03-04,208140,정다운,KOSDAQ,음식료·담배,-2.75,-12.06,9.31
276,2026-03-04,396690,미래에셋글로벌리츠,KOSPI,부동산,-2.78,-12.06,9.28
277,2026-03-04,039310,세중,KOSDAQ,IT 서비스,-2.79,-12.06,9.27
278,2026-03-04,007680,대원,KOSDAQ,건설,-2.81,-12.06,9.25
279,2026-03-04,340360,다보링크,KOSDAQ,전기·전자,-2.84,-12.06,9.22
280,2026-03-04,290720,푸드나무,KOSDAQ,유통,-2.84,-12.06,9.22
281,2026-03-04,097780,에코볼트,KOSDAQ,운송장비·부품,-2.85,-12.06,9.21
282,2026-03-04,038950,파인디지털,KOSDAQ,전기·전자,-2.86,-12.06,9.2
283,2026-03-04,000145,하이트진로홀딩스우,KOSPI,기타금융,-2.87,-12.06,9.19
284,2026-03-04,039570,HDC랩스,KOSPI,건설,-2.88,-12.06,9.18
285,2026-03-04,000087,하이트진로2우B,KOSPI,음식료·담배,-2.96,-12.06,9.1
286,2026-03-04,208350,지란지교시큐리티,KOSDAQ,IT 서비스,-2.97,-12.06,9.09
287,2026-03-04,053210,스카이라이프,KOSPI,오락·문화,-2.99,-12.06,9.07
288,2026-03-04,065170,비엘팜텍,KOSDAQ,유통,-2.99,-12.06,9.07
289,2026-03-04,064290,인텍플러스,KOSDAQ,기계·장비,-3.0,-12.06,9.06
290,2026-03-04,123840,뉴온,KOSDAQ,음식료·담배,-3.01,-12.06,9.05
291,2026-03-04,159910,에코글로우,KOSDAQ,화학,-3.02,-12.06,9.04
292,2026-03-04,0030R0,대신밸류리츠,KOSPI,기타금융,-3.03,-12.06,9.03
293,2026-03-04,115570,스타플렉스,KOSDAQ,화학,-3.05,-12.06,9.01
294,2026-03-04,309930,조이웍스앤코,KOSDAQ,유통,-3.05,-12.06,9.01
295,2026-03-04,100250,진양홀딩스,KOSPI,화학,-3.06,-12.06,9.0
296,2026-03-04,453340,현대그린푸드,KOSPI,유통,-3.08,-12.06,8.98
297,2026-03-04,122640,예스티,KOSDAQ,기계·장비,-3.14,-12.06,8.92
298,2026-03-04,073560,우리손에프앤지,KOSDAQ,음식료·담배,-3.21,-12.06,8.85
299,2026-03-04,131180,딜리,KOSDAQ,전기·전자,-3.27,-12.06,8.79
300,2026-03-04,115530,씨엔플러스,KOSDAQ,전기·전자,-3.27,-12.06,8.79
301,2026-03-04,092130,이크레더블,KOSDAQ,IT 서비스,-3.27,-12.06,8.79
302,2026-03-04,040420,정상제이엘에스,KOSDAQ,일반서비스,-3.28,-12.06,8.78
303,2026-03-04,261780,차백신연구소,KOSDAQ,일반서비스,-3.29,-12.06,8.77
304,2026-03-04,034590,인천도시가스,KOSPI,전기·가스,-3.3,-12.06,8.76
305,2026-03-04,036120,서울평가정보,KOSDAQ,IT 서비스,-3.35,-12.06,8.71
306,2026-03-04,032540,TJ미디어,KOSDAQ,전기·전자,-3.37,-12.06,8.69
307,2026-03-04,111710,남화산업,KOSDAQ,오락·문화,-3.39,-12.06,8.67
308,2026-03-04,016100,리더스코스메틱,KOSDAQ,종이·목재,-3.45,-12.06,8.61
309,2026-03-04,405920,나라셀라,KOSDAQ,유통,-3.46,-12.06,8.6
310,2026-03-04,204610,티쓰리,KOSDAQ,IT 서비스,-3.48,-12.06,8.58
311,2026-03-04,196700,웹스,KOSDAQ,화학,-3.5,-12.06,8.56
312,2026-03-04,461300,아이스크림미디어,KOSDAQ,IT 서비스,-3.51,-12.06,8.55
313,2026-03-04,032280,삼일,KOSDAQ,운송·창고,-3.56,-12.06,8.5
314,2026-03-04,352940,인바이오,KOSDAQ,화학,-3.58,-12.06,8.48
315,2026-03-04,250000,보라티알,KOSDAQ,유통,-3.59,-12.06,8.47
316,2026-03-04,148250,알엔투테크놀로지,KOSDAQ,전기·전자,-3.59,-12.06,8.47
317,2026-03-04,128660,피제이메탈,KOSDAQ,금속,-3.59,-12.06,8.47
318,2026-03-04,950140,잉글우드랩,KOSDAQ,화학,-3.6,-12.06,8.46
319,2026-03-04,004650,창해에탄올,KOSDAQ,음식료·담배,-3.63,-12.06,8.43
320,2026-03-04,017480,삼현철강,KOSDAQ,금속,-3.65,-12.06,8.41
321,2026-03-04,034950,한국기업평가,KOSDAQ,일반서비스,-3.66,-12.06,8.4
322,2026-03-04,046310,백금T&A,KOSDAQ,전기·전자,-3.67,-12.06,8.39
323,2026-03-04,417310,코람코더원리츠,KOSPI,부동산,-3.68,-12.06,8.38
324,2026-03-04,015020,이스타코,KOSPI,부동산,-3.69,-12.06,8.37
325,2026-03-04,293940,신한알파리츠,KOSPI,부동산,-3.7,-12.06,8.36
326,2026-03-04,203450,유니온바이오메트릭스,KOSDAQ,전기·전자,-3.73,-12.06,8.33
327,2026-03-04,038060,루멘스,KOSDAQ,전기·전자,-3.73,-12.06,8.33
328,2026-03-04,088790,진도,KOSPI,유통,-3.74,-12.06,8.32
329,2026-03-04,004545,깨끗한나라우,KOSPI,종이·목재,-3.75,-12.06,8.31
330,2026-03-04,052020,에스티큐브,KOSDAQ,유통,-3.75,-12.06,8.31
331,2026-03-04,189980,흥국에프엔비,KOSDAQ,음식료·담배,-3.75,-12.06,8.31
332,2026-03-04,400760,NH올원리츠,KOSPI,부동산,-3.77,-12.06,8.29
333,2026-03-04,334890,이지스밸류플러스리츠,KOSPI,부동산,-3.78,-12.06,8.28
334,2026-03-04,357250,미래에셋맵스리츠,KOSPI,부동산,-3.78,-12.06,8.28
335,2026-03-04,089860,롯데렌탈,KOSPI,일반서비스,-3.79,-12.06,8.27
336,2026-03-04,027710,팜스토리,KOSDAQ,음식료·담배,-3.8,-12.06,8.26
337,2026-03-04,024090,디씨엠,KOSPI,금속,-3.8,-12.06,8.26
338,2026-03-04,035810,이지홀딩스,KOSDAQ,음식료·담배,-3.84,-12.06,8.22
339,2026-03-04,019685,대교우B,KOSPI,일반서비스,-3.86,-12.06,8.2
340,2026-03-04,023150,MH에탄올,KOSPI,음식료·담배,-3.86,-12.06,8.2
341,2026-03-04,173940,에프엔씨엔터,KOSDAQ,오락·문화,-3.92,-12.06,8.14
342,2026-03-04,155660,DSR,KOSPI,금속,-3.95,-12.06,8.11
343,2026-03-04,027970,한국제지,KOSPI,종이·목재,-3.95,-12.06,8.11
344,2026-03-04,210980,SK디앤디,KOSPI,부동산,-3.95,-12.06,8.11
345,2026-03-04,481850,신한글로벌액티브리츠,KOSPI,기타금융,-3.96,-12.06,8.1
346,2026-03-04,350520,이지스레지던스리츠,KOSPI,부동산,-3.96,-12.06,8.1
347,2026-03-04,439260,대한조선,KOSPI,운송장비·부품,-3.96,-12.06,8.1
348,2026-03-04,081660,미스토홀딩스,KOSPI,유통,-3.98,-12.06,8.08
349,2026-03-04,451700,엔에이치스팩29호,KOSDAQ,금융,-3.98,-12.06,8.08
350,2026-03-04,130580,나이스디앤비,KOSDAQ,일반서비스,-4.04,-12.06,8.02
351,2026-03-04,219550,디와이디,KOSDAQ,유통,-4.05,-12.06,8.01
352,2026-03-04,043100,알파AI,KOSDAQ,의료·정밀기기,-4.08,-12.06,7.98
353,2026-03-04,219130,타이거일렉,KOSDAQ,전기·전자,-4.1,-12.06,7.96
354,2026-03-04,002700,신일전자,KOSPI,유통,-4.12,-12.06,7.94
355,2026-03-04,004255,NPC우,KOSPI,화학,-4.15,-12.06,7.91
356,2026-03-04,114630,폴라리스우노,KOSDAQ,화학,-4.17,-12.06,7.89
357,2026-03-04,404990,신한서부티엔디리츠,KOSPI,부동산,-4.17,-12.06,7.89
358,2026-03-04,264900,크라운제과,KOSPI,음식료·담배,-4.18,-12.06,7.88
359,2026-03-04,365550,ESR켄달스퀘어리츠,KOSPI,부동산,-4.2,-12.06,7.86
360,2026-03-04,088260,이리츠코크렙,KOSPI,부동산,-4.21,-12.06,7.85
361,2026-03-04,032680,소프트센,KOSDAQ,IT 서비스,-4.21,-12.06,7.85
362,2026-03-04,228850,레이언스,KOSDAQ,의료·정밀기기,-4.22,-12.06,7.84
363,2026-03-04,105330,케이엔더블유,KOSDAQ,운송장비·부품,-4.24,-12.06,7.82
364,2026-03-04,091590,남화토건,KOSDAQ,건설,-4.25,-12.06,7.81
365,2026-03-04,025880,케이씨피드,KOSDAQ,음식료·담배,-4.27,-12.06,7.79
366,2026-03-04,145995,삼양사우,KOSPI,음식료·담배,-4.29,-12.06,7.77
367,2026-03-04,006570,대림통상,KOSPI,금속,-4.3,-12.06,7.76
368,2026-03-04,131090,시큐브,KOSDAQ,IT 서비스,-4.3,-12.06,7.76
369,2026-03-04,136480,하림,KOSDAQ,음식료·담배,-4.32,-12.06,7.74
370,2026-03-04,035150,백산,KOSPI,화학,-4.32,-12.06,7.74
371,2026-03-04,016090,대현,KOSPI,섬유·의류,-4.32,-12.06,7.74
372,2026-03-04,002200,한국수출포장,KOSPI,종이·목재,-4.33,-12.06,7.73
373,2026-03-04,353190,휴럼,KOSDAQ,음식료·담배,-4.35,-12.06,7.71
374,2026-03-04,214610,롤링스톤,KOSDAQ,의료·정밀기기,-4.36,-12.06,7.7
375,2026-03-04,197140,디지캡,KOSDAQ,IT 서비스,-4.38,-12.06,7.68
376,2026-03-04,094280,효성ITX,KOSPI,일반서비스,-4.4,-12.06,7.66
377,2026-03-04,331920,셀레믹스,KOSDAQ,제약,-4.41,-12.06,7.65
378,2026-03-04,267290,경동도시가스,KOSPI,전기·가스,-4.41,-12.06,7.65
379,2026-03-04,038010,제일테크노스,KOSDAQ,금속,-4.43,-12.06,7.63
380,2026-03-04,052300,오션인더블유,KOSDAQ,유통,-4.47,-12.06,7.59
381,2026-03-04,002030,아세아,KOSPI,일반서비스,-4.48,-12.06,7.58
382,2026-03-04,006840,AK홀딩스,KOSPI,기타금융,-4.5,-12.06,7.56
383,2026-03-04,001685,대상우,KOSPI,음식료·담배,-4.52,-12.06,7.54
384,2026-03-04,003060,에이프로젠바이오로직스,KOSPI,제약,-4.56,-12.06,7.5
385,2026-03-04,014825,동원시스템즈우,KOSPI,화학,-4.56,-12.06,7.5
386,2026-03-04,298540,더네이쳐홀딩스,KOSDAQ,섬유·의류,-4.58,-12.06,7.48
387,2026-03-04,367000,플래티어,KOSDAQ,IT 서비스,-4.59,-12.06,7.47
388,2026-03-04,050860,아세아텍,KOSDAQ,기계·장비,-4.59,-12.06,7.47
389,2026-03-04,008870,금비,KOSPI,비금속,-4.6,-12.06,7.46
390,2026-03-04,060480,국일신동,KOSDAQ,금속,-4.6,-12.06,7.46
391,2026-03-04,007120,미래아이앤지,KOSPI,IT 서비스,-4.6,-12.06,7.46
392,2026-03-04,051390,YW,KOSDAQ,유통,-4.61,-12.06,7.45
393,2026-03-04,037070,파세코,KOSDAQ,전기·전자,-4.61,-12.06,7.45
394,2026-03-04,009200,무림페이퍼,KOSPI,종이·목재,-4.63,-12.06,7.43
395,2026-03-04,025860,남해화학,KOSPI,화학,-4.63,-12.06,7.43
396,2026-03-04,003495,대한항공우,KOSPI,운송·창고,-4.64,-12.06,7.42
397,2026-03-04,035290,골드앤에스,KOSDAQ,오락·문화,-4.65,-12.06,7.41
398,2026-03-04,368970,오에스피,KOSDAQ,음식료·담배,-4.65,-12.06,7.41
399,2026-03-04,037400,우리엔터프라이즈,KOSDAQ,유통,-4.66,-12.06,7.4
400,2026-03-04,114090,GKL,KOSPI,오락·문화,-4.67,-12.06,7.39
401,2026-03-04,007530,와이엠,KOSDAQ,금속,-4.67,-12.06,7.39
402,2026-03-04,009300,삼아제약,KOSDAQ,제약,-4.68,-12.06,7.38
403,2026-03-04,067920,이글루,KOSDAQ,IT 서비스,-4.68,-12.06,7.38
404,2026-03-04,127710,아시아경제,KOSDAQ,IT 서비스,-4.7,-12.06,7.36
405,2026-03-04,000225,유유제약1우,KOSPI,제약,-4.71,-12.06,7.35
406,2026-03-04,357120,코람코라이프인프라리츠,KOSPI,부동산,-4.75,-12.06,7.31
407,2026-03-04,224060,더코디,KOSDAQ,기계·장비,-4.75,-12.06,7.31
408,2026-03-04,018700,바른손,KOSDAQ,유통,-4.77,-12.06,7.29
409,2026-03-04,003680,한성기업,KOSPI,음식료·담배,-4.77,-12.06,7.29
410,2026-03-04,031440,신세계푸드,KOSPI,일반서비스,-4.77,-12.06,7.29
411,2026-03-04,134060,이퓨쳐,KOSDAQ,오락·문화,-4.78,-12.06,7.28
412,2026-03-04,352090,스톰테크,KOSDAQ,화학,-4.78,-12.06,7.28
413,2026-03-04,050120,ES큐브,KOSDAQ,유통,-4.79,-12.06,7.27
414,2026-03-04,004780,대륙제관,KOSDAQ,금속,-4.79,-12.06,7.27
415,2026-03-04,186230,그린플러스,KOSDAQ,금속,-4.8,-12.06,7.26
416,2026-03-04,009580,무림P&P,KOSPI,종이·목재,-4.83,-12.06,7.23
417,2026-03-04,365900,브이씨,KOSDAQ,기타제조,-4.86,-12.06,7.2
418,2026-03-04,277410,인산가,KOSDAQ,음식료·담배,-4.87,-12.06,7.19
419,2026-03-04,004890,동일산업,KOSPI,금속,-4.87,-12.06,7.19
420,2026-03-04,068930,디지털대성,KOSDAQ,일반서비스,-4.88,-12.06,7.18
421,2026-03-04,131290,티에스이,KOSDAQ,의료·정밀기기,-4.88,-12.06,7.18
422,2026-03-04,219750,한국비티비,KOSDAQ,의료·정밀기기,-4.88,-12.06,7.18
423,2026-03-04,035000,HS애드,KOSPI,일반서비스,-4.89,-12.06,7.17
424,2026-03-04,900120,씨엑스아이,KOSDAQ,금융,-4.92,-12.06,7.14
425,2026-03-04,072870,메가스터디,KOSDAQ,오락·문화,-4.93,-12.06,7.13
426,2026-03-04,111110,호전실업,KOSPI,섬유·의류,-4.94,-12.06,7.12
427,2026-03-04,005720,넥센,KOSPI,화학,-4.95,-12.06,7.11
428,2026-03-04,210120,캔버스엔,KOSDAQ,오락·문화,-4.97,-12.06,7.09
429,2026-03-04,003800,에이스침대,KOSDAQ,기타제조,-4.97,-12.06,7.09
430,2026-03-04,205500,넥써쓰,KOSDAQ,IT 서비스,-4.98,-12.06,7.08
431,2026-03-04,239610,에이치엘사이언스,KOSDAQ,음식료·담배,-5.0,-12.06,7.06
432,2026-03-04,153460,네이블,KOSDAQ,IT 서비스,-5.02,-12.06,7.04
433,2026-03-04,010040,한국내화,KOSPI,비금속,-5.06,-12.06,7.0
434,2026-03-04,093920,서원인텍,KOSDAQ,전기·전자,-5.07,-12.06,6.99
435,2026-03-04,004450,삼화왕관,KOSPI,금속,-5.12,-12.06,6.94
436,2026-03-04,263810,상신전자,KOSDAQ,전기·전자,-5.12,-12.06,6.94
437,2026-03-04,002450,삼익악기,KOSPI,기타제조,-5.13,-12.06,6.93
438,2026-03-04,017250,인터엠,KOSDAQ,전기·전자,-5.13,-12.06,6.93
439,2026-03-04,187790,나노,KOSDAQ,화학,-5.14,-12.06,6.92
440,2026-03-04,000480,CR홀딩스,KOSPI,비금속,-5.16,-12.06,6.9
441,2026-03-04,009140,경인전자,KOSPI,전기·전자,-5.16,-12.06,6.9
442,2026-03-04,00104K,CJ4우(전환),KOSPI,기타금융,-5.17,-12.06,6.89
443,2026-03-04,195500,마니커에프앤지,KOSDAQ,음식료·담배,-5.18,-12.06,6.88
444,2026-03-04,001795,대한제당우,KOSPI,음식료·담배,-5.18,-12.06,6.88
445,2026-03-04,360350,코셈,KOSDAQ,의료·정밀기기,-5.18,-12.06,6.88
446,2026-03-04,067010,이씨에스,KOSDAQ,IT 서비스,-5.19,-12.06,6.87
447,2026-03-04,192440,슈피겐코리아,KOSDAQ,기타제조,-5.19,-12.06,6.87
448,2026-03-04,001770,SHD,KOSPI,금속,-5.19,-12.06,6.87
449,2026-03-04,192400,쿠쿠홀딩스,KOSPI,기타금융,-5.2,-12.06,6.86
450,2026-03-04,001065,JW중외제약우,KOSPI,제약,-5.21,-12.06,6.85
451,2026-03-04,291650,압타머사이언스,KOSDAQ,일반서비스,-5.21,-12.06,6.85
452,2026-03-04,097955,CJ제일제당 우,KOSPI,음식료·담배,-5.23,-12.06,6.83
453,2026-03-04,060560,HC홈센타,KOSDAQ,유통,-5.29,-12.06,6.77
454,2026-03-04,079190,케스피온,KOSDAQ,전기·전자,-5.3,-12.06,6.76
455,2026-03-04,038070,서린바이오,KOSDAQ,유통,-5.3,-12.06,6.76
456,2026-03-04,025000,KPX케미칼,KOSPI,화학,-5.3,-12.06,6.76
