날짜,KOSPI200_등락률,업종명,KOSDAQ,KOSPI,합계
2026-03-04,-12.06,전기·전자,157,35,192
2026-03-04,-12.06,IT 서비스,138,22,160
2026-03-04,-12.06,화학,76,81,157
2026-03-04,-12.06,유통,81,54,135
2026-03-04,-12.06,제약,85,43,128
2026-03-04,-12.06,일반서비스,88,30,118
2026-03-04,-12.06,금융,102,0,102
2026-03-04,-12.06,금속,51,46,97
2026-03-04,-12.06,음식료·담배,42,43,85
2026-03-04,-12.06,기계·장비,64,14,78
2026-03-04,-12.06,운송장비·부품,31,35,66
2026-03-04,-12.06,기타금융,0,64,64
2026-03-04,-12.06,의료·정밀기기,56,3,59
2026-03-04,-12.06,오락·문화,45,11,56
2026-03-04,-12.06,건설,21,28,49
2026-03-04,-12.06,섬유·의류,17,25,42
2026-03-04,-12.06,비금속,10,24,34
2026-03-04,-12.06,부동산,3,26,29
2026-03-04,-12.06,종이·목재,9,19,28
2026-03-04,-12.06,운송·창고,4,17,21
2026-03-04,-12.06,기타제조,11,7,18
2026-03-04,-12.06,통신,7,4,11
2026-03-04,-12.06,보험,0,11,11
2026-03-04,-12.06,증권,0,9,9
2026-03-04,-12.06,전기·가스,0,9,9
2026-03-04,-12.06,"농업, 임업 및 어업",2,2,4
2026-03-04,-12.06,전기·가스·수도,2,0,2
2026-03-04,-12.06,출판·매체복제,2,0,2
2026-03-04,-12.06,은행,0,1,1
