순위,날짜,종목코드,종목명,시장구분,업종명,등락률,KOSPI200_등락률,초과수익률
1,2026-03-05,272210,한화시스템,KOSPI,전기·전자,30.0,9.63,20.37
2,2026-03-05,45226K,한화갤러리아우,KOSPI,유통,30.0,9.63,20.37
3,2026-03-05,089030,테크윙,KOSDAQ,기계·장비,30.0,9.63,20.37
4,2026-03-05,085620,미래에셋생명,KOSPI,보험,29.98,9.63,20.35
5,2026-03-05,048410,현대바이오,KOSDAQ,화학,29.97,9.63,20.34
6,2026-03-05,200470,에이팩트,KOSDAQ,전기·전자,29.96,9.63,20.33
7,2026-03-05,187660,현대ADM,KOSDAQ,일반서비스,29.96,9.63,20.33
8,2026-03-05,032820,우리기술,KOSDAQ,전기·전자,29.94,9.63,20.31
9,2026-03-05,234340,헥토파이낸셜,KOSDAQ,IT 서비스,29.92,9.63,20.29
10,2026-03-05,357780,솔브레인,KOSDAQ,화학,29.92,9.63,20.29
11,2026-03-05,476830,알지노믹스,KOSDAQ,일반서비스,29.92,9.63,20.29
12,2026-03-05,242040,나무기술,KOSDAQ,IT 서비스,29.91,9.63,20.28
13,2026-03-05,347700,스피어,KOSDAQ,IT 서비스,29.89,9.63,20.26
14,2026-03-05,115180,큐리언트,KOSDAQ,일반서비스,29.89,9.63,20.26
15,2026-03-05,412350,레이저쎌,KOSDAQ,기계·장비,29.87,9.63,20.24
16,2026-03-05,152550,한국ANKOR유전,KOSPI,기타금융,29.83,9.63,20.2
17,2026-03-05,044180,KD,KOSDAQ,건설,29.83,9.63,20.2
18,2026-03-05,015260,에이엔피,KOSPI,전기·전자,29.79,9.63,20.16
19,2026-03-05,313760,캐리,KOSDAQ,전기·전자,29.59,9.63,19.96
20,2026-03-05,089890,코세스,KOSDAQ,기계·장비,28.71,9.63,19.08
21,2026-03-05,307180,아이엘,KOSDAQ,전기·전자,28.4,9.63,18.77
22,2026-03-05,086390,유니테스트,KOSDAQ,기계·장비,28.1,9.63,18.47
23,2026-03-05,354320,알멕,KOSDAQ,금속,27.27,9.63,17.64
24,2026-03-05,044490,태웅,KOSDAQ,금속,27.26,9.63,17.63
25,2026-03-05,124500,아이티센글로벌,KOSDAQ,IT 서비스,26.93,9.63,17.3
26,2026-03-05,010170,대한광통신,KOSDAQ,전기·전자,25.53,9.63,15.9
27,2026-03-05,323280,태성,KOSDAQ,기계·장비,25.0,9.63,15.37
28,2026-03-05,090710,휴림로봇,KOSDAQ,기계·장비,24.78,9.63,15.15
29,2026-03-05,003160,디아이,KOSPI,의료·정밀기기,24.72,9.63,15.09
