"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 11- 28","554.00","564.36","564.36","553.48","91.24M","-1.66%"
"2025- 11- 27","563.36","564.24","569.77","560.23","88.21M","0.71%"
"2025- 11- 26","559.37","549.12","559.48","545.08","116.29M","2.71%"
"2025- 11- 25","544.62","556.54","557.61","540.82","100.26M","0.70%"
"2025- 11- 24","540.81","550.52","551.90","539.52","162.10M","0.08%"
"2025- 11- 21","540.36","550.07","550.88","538.04","103.45M","-4.23%"
"2025- 11- 20","564.20","569.22","573.29","563.70","111.50M","2.09%"
"2025- 11- 19","552.66","557.76","557.88","541.85","118.25M","-0.68%"
"2025- 11- 18","556.45","569.37","573.90","556.15","122.93M","-3.50%"
"2025- 11- 17","576.65","574.43","576.85","569.90","107.32M","2.35%"
"2025- 11- 14","563.43","571.98","576.37","563.42","141.86M","-4.28%"
"2025- 11- 13","588.65","583.38","591.98","582.82","161.80M","0.33%"
"2025- 11- 12","586.73","579.17","588.07","577.51","139.84M","0.92%"
"2025- 11- 11","581.41","583.58","594.12","575.15","169.62M","1.06%"
"2025- 11- 10","575.31","564.02","578.77","562.63","146.30M","3.11%"
"2025- 11- 07","557.98","558.74","570.79","548.34","176.08M","-1.83%"
"2025- 11- 06","568.38","578.79","581.35","562.20","199.43M","0.53%"
"2025- 11- 05","565.40","571.41","571.41","543.86","236.22M","-2.84%"
"2025- 11- 04","581.94","598.00","599.47","581.41","162.34M","-2.85%"
"2025- 11- 03","599.03","580.81","599.05","580.73","164.80M","3.38%"
"2025- 10- 31","579.46","575.08","581.25","570.91","205.20M","0.74%"
"2025- 10- 30","575.21","574.75","582.25","571.79","204.78M","0.65%"
"2025- 10- 29","571.51","567.44","571.97","560.25","188.76M","2.14%"
"2025- 10- 28","559.51","560.19","561.50","554.75","162.84M","-1.09%"
"2025- 10- 27","565.69","558.99","565.79","558.60","180.34M","2.85%"
"2025- 10- 24","550.01","543.65","551.51","542.68","157.07M","2.54%"
"2025- 10- 23","536.37","534.75","545.12","532.84","128.02M","-1.15%"
"2025- 10- 22","542.59","534.98","542.59","529.59","118.05M","1.37%"
"2025- 10- 21","535.28","540.75","546.96","534.23","159.42M","0.00%"
"2025- 10- 20","535.28","529.82","535.28","522.07","119.84M","1.86%"
"2025- 10- 17","525.48","522.18","532.28","520.58","151.50M","0.20%"
"2025- 10- 16","524.45","513.17","524.45","513.08","146.21M","2.72%"
"2025- 10- 15","510.55","499.89","511.13","499.21","119.83M","2.75%"
"2025- 10- 14","496.89","505.46","511.59","493.06","161.91M","-0.99%"
"2025- 10- 13","501.87","496.45","501.87","492.46","135.81M","-1.01%"
"2025- 10- 10","506.97","504.20","508.52","500.49","168.78M","2.75%"
"2025- 10- 06","493.41","491.25","493.41","493.41","160.78M","0.00%"
"2025- 10- 02","493.41","491.25","498.22","489.53","160.78M","2.93%"
"2025- 10- 01","479.37","477.16","479.81","476.49","89.11M","1.13%"
"2025- 09- 30","474.03","476.34","477.35","473.51","88.32M","-0.25%"
"2025- 09- 29","475.22","472.11","476.57","471.80","80.87M","1.54%"
"2025- 09- 26","468.03","475.84","476.38","464.83","110.11M","-2.62%"
"2025- 09- 25","480.63","477.72","481.74","477.17","107.23M","0.05%"
"2025- 09- 24","480.39","482.10","483.61","475.65","104.59M","-0.24%"
"2025- 09- 23","481.54","482.08","482.92","478.51","107.44M","0.68%"
"2025- 09- 22","478.29","476.34","480.38","475.97","103.64M","1.02%"
"2025- 09- 19","473.44","475.59","477.13","471.85","135.32M","-0.40%"
"2025- 09- 18","475.34","470.02","475.34","468.51","112.06M","1.79%"
"2025- 09- 17","466.99","469.81","469.94","465.48","102.02M","-1.24%"
"2025- 09- 16","472.85","466.88","473.35","466.30","138.90M","1.76%"
"2025- 09- 15","464.65","465.30","467.44","462.34","120.63M","0.41%"
"2025- 09- 12","462.74","459.26","462.76","457.54","126.56M","1.93%"
"2025- 09- 11","454.00","453.39","454.78","449.42","135.32M","0.88%"
"2025- 09- 10","450.05","443.28","450.76","442.95","114.22M","1.99%"
"2025- 09- 09","441.28","436.17","441.28","435.02","93.38M","1.48%"
"2025- 09- 08","434.85","433.95","435.14","432.87","69.73M","0.46%"
"2025- 09- 05","432.86","433.78","434.55","431.78","96.64M","0.12%"
"2025- 09- 04","432.32","430.42","433.03","430.10","79.65M","0.45%"
"2025- 09- 03","430.37","428.83","430.56","427.37","83.40M","0.52%"
"2025- 09- 02","428.15","424.98","428.65","424.78","77.01M","1.14%"
"2025- 09- 01","423.33","426.31","428.31","422.19","74.09M","-1.58%"
"2025- 08- 29","430.12","433.69","434.36","429.95","82.96M","-0.39%"
"2025- 08- 28","431.81","428.34","434.21","426.75","89.92M","0.35%"
"2025- 08- 27","430.31","429.86","430.44","427.07","92.76M","0.21%"
"2025- 08- 26","429.41","432.13","432.18","428.74","143.62M","-1.03%"
"2025- 08- 25","433.89","431.84","433.89","429.90","87.41M","1.26%"
"2025- 08- 22","428.50","428.00","430.31","426.94","96.32M","0.96%"
"2025- 08- 21","424.41","425.12","428.31","424.15","134.47M","0.18%"
"2025- 08- 20","423.66","422.21","424.14","416.91","143.92M","-0.59%"
"2025- 08- 19","426.18","430.28","430.60","424.77","107.42M","-0.70%"
"2025- 08- 18","429.19","433.01","433.23","429.17","111.49M","-1.69%"
"2025- 08- 14","436.57","436.93","438.66","434.52","135.97M","-0.08%"
"2025- 08- 13","436.92","436.93","437.21","432.24","131.26M","1.23%"
"2025- 08- 12","431.63","434.11","438.99","431.54","106.16M","-0.38%"
"2025- 08- 11","433.29","434.93","435.21","432.13","108.46M","-0.04%"
"2025- 08- 08","433.47","434.44","436.04","431.62","114.73M","-0.43%"
"2025- 08- 07","435.35","433.40","435.35","430.86","116.32M","1.08%"
"2025- 08- 06","430.68","428.90","431.11","427.89","115.46M","-0.13%"
"2025- 08- 05","431.25","430.62","433.68","428.03","116.56M","1.52%"
"2025- 08- 04","424.79","420.23","426.37","418.85","110.02M","0.97%"
"2025- 08- 01","420.72","432.75","432.81","420.42","150.51M","-4.08%"
"2025- 07- 31","438.60","442.53","444.33","436.16","173.10M","-0.28%"
"2025- 07- 30","439.81","436.40","442.14","436.02","145.50M","0.91%"
"2025- 07- 29","435.84","430.77","436.17","427.23","145.29M","0.57%"
"2025- 07- 28","433.37","435.04","435.07","428.16","161.89M","0.60%"
"2025- 07- 25","430.78","429.49","432.20","429.34","118.07M","0.17%"
"2025- 07- 24","430.03","433.62","437.02","429.06","141.56M","0.00%"
"2025- 07- 23","430.04","430.72","432.16","424.17","132.96M","0.46%"
"2025- 07- 22","428.05","434.41","436.06","426.15","124.13M","-1.50%"
"2025- 07- 21","434.56","431.60","434.97","431.26","125.92M","0.80%"
"2025- 07- 18","431.10","432.83","433.76","428.53","127.93M","-0.13%"
"2025- 07- 17","431.64","432.72","432.87","425.99","160.81M","0.11%"
"2025- 07- 16","431.16","433.77","434.08","429.64","125.14M","-0.83%"
"2025- 07- 15","434.78","431.04","434.90","429.54","137.55M","0.53%"
"2025- 07- 14","432.49","428.21","432.52","427.28","128.56M","1.03%"
