,USA,Japan,UK,France,Canada,Switzerland,Germany,Australia,Netherlands,Sweden,Denmark,Spain,Italy,Hong Kong,Singapore,Belgium,Finland,Israel,Norway,Ireland,New Zealand,Austria,Portugal,China,India,Taiwan,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Malaysia,UAE,Thailand,Kuwait,Qatar,Poland,Chile,Turkey,Greece,Philippines,Hungary,Egypt,Czech Republic,Colombia,Peru
2000-01-31,0.7431380675426855,0.5574130315337185,0.8293785684362428,0.5888424400238441,0.572536096761792,0.7066780964665368,0.5979707903765807,0.6939183059398648,0.679101227168178,0.5962274808997998,0.39595810387441044,0.5795916197985498,0.477106668231267,0.17514874436646077,0.4254226679048013,0.4378653393343344,0.6994610203942119,0.5215008250175798,0.37699055328312947,0.6909471785513944,0.5419581103847424,0.33310235051013465,0.4150424648984178,0.4367095719229342,0.19189656682207934,0.4740022078231412,0.4467629602454487,0.4431067750033338,0.12274632870488009,0.52254844939615,0.5058138400652998,0.3249805533882941,0.31275050753712014,0.45463365902660924,0.2792040024653136,0.306961826264283,1.5,0.3159290478028521,0.25379982115141225,0.23466604449803008,0.4586429581035057,0.2349225502948354,0.6435332288716085,0.21503054567727442,0.4093906355982357,0.17515013660489429,0.5645301866257207
2000-02-29,0.7431380675426855,0.5574130315337185,0.8293785684362428,0.5888424400238441,0.572536096761792,0.7066780964665368,0.5979707903765807,0.6939183059398648,0.679101227168178,0.5962274808997998,0.39595810387441044,0.5795916197985498,0.477106668231267,0.17514874436646077,0.4254226679048013,0.4378653393343344,0.6994610203942119,0.5215008250175798,0.37699055328312947,0.6909471785513944,0.5419581103847424,0.33310235051013465,0.4150424648984178,0.4367095719229342,0.19189656682207934,0.4740022078231412,0.4467629602454487,0.4431067750033338,0.12274632870488009,0.52254844939615,0.5058138400652998,0.3249805533882941,0.31275050753712014,0.45463365902660924,0.2792040024653136,0.306961826264283,1.5,0.3159290478028521,0.25379982115141225,0.23466604449803008,0.4586429581035057,0.2349225502948354,0.6435332288716085,0.21503054567727442,0.4093906355982357,0.17515013660489429,0.5645301866257207
2000-03-31,0.7431380675426855,0.5574130315337185,0.8293785684362428,0.5888424400238441,0.572536096761792,0.7066780964665368,0.5979707903765807,0.6939183059398648,0.679101227168178,0.5962274808997998,0.39595810387441044,0.5795916197985498,0.477106668231267,0.17514874436646077,0.4254226679048013,0.4378653393343344,0.6994610203942119,0.5215008250175798,0.37699055328312947,0.6909471785513944,0.5419581103847424,0.33310235051013465,0.4150424648984178,0.4367095719229342,0.19189656682207934,0.4740022078231412,0.4467629602454487,0.4431067750033338,0.12274632870488009,0.52254844939615,0.5058138400652998,0.3249805533882941,0.31275050753712014,0.45463365902660924,0.2792040024653136,0.306961826264283,1.5,0.3159290478028521,0.25379982115141225,0.23466604449803008,0.4586429581035057,0.2349225502948354,0.6435332288716085,0.21503054567727442,0.4093906355982357,0.17515013660489429,0.5645301866257207
2000-04-28,0.7431380675426855,0.5574130315337185,0.8293785684362428,0.5888424400238441,0.572536096761792,0.7066780964665368,0.5979707903765807,0.6939183059398648,0.679101227168178,0.5962274808997998,0.39595810387441044,0.5795916197985498,0.477106668231267,0.17514874436646077,0.4254226679048013,0.4378653393343344,0.6994610203942119,0.5215008250175798,0.37699055328312947,0.6909471785513944,0.5419581103847424,0.33310235051013465,0.4150424648984178,0.4367095719229342,0.19189656682207934,0.4740022078231412,0.4467629602454487,0.4431067750033338,0.12274632870488009,0.52254844939615,0.5058138400652998,0.3249805533882941,0.31275050753712014,0.45463365902660924,0.2792040024653136,0.306961826264283,1.5,0.3159290478028521,0.25379982115141225,0.23466604449803008,0.4586429581035057,0.2349225502948354,0.6435332288716085,0.21503054567727442,0.4093906355982357,0.17515013660489429,0.5645301866257207
2000-05-31,0.7431380675426855,0.5574130315337185,0.8293785684362428,0.5888424400238441,0.572536096761792,0.7066780964665368,0.5979707903765807,0.6939183059398648,0.679101227168178,0.5962274808997998,0.39595810387441044,0.5795916197985498,0.477106668231267,0.17514874436646077,0.4254226679048013,0.4378653393343344,0.6994610203942119,0.5215008250175798,0.37699055328312947,0.6909471785513944,0.5419581103847424,0.33310235051013465,0.4150424648984178,0.4367095719229342,0.19189656682207934,0.4740022078231412,0.4467629602454487,0.4431067750033338,0.12274632870488009,0.52254844939615,0.5058138400652998,0.3249805533882941,0.31275050753712014,0.45463365902660924,0.2792040024653136,0.306961826264283,1.5,0.3159290478028521,0.25379982115141225,0.23466604449803008,0.4586429581035057,0.2349225502948354,0.6435332288716085,0.21503054567727442,0.4093906355982357,0.17515013660489429,0.5645301866257207
2000-06-30,0.7431380675426855,0.5574130315337185,0.8293785684362428,0.5888424400238441,0.572536096761792,0.7066780964665368,0.5979707903765807,0.6939183059398648,0.679101227168178,0.5962274808997998,0.39595810387441044,0.5795916197985498,0.477106668231267,0.17514874436646077,0.4254226679048013,0.4378653393343344,0.6994610203942119,0.5215008250175798,0.37699055328312947,0.6909471785513944,0.5419581103847424,0.33310235051013465,0.4150424648984178,0.4367095719229342,0.19189656682207934,0.4740022078231412,0.4467629602454487,0.4431067750033338,0.12274632870488009,0.52254844939615,0.5058138400652998,0.3249805533882941,0.31275050753712014,0.45463365902660924,0.2792040024653136,0.306961826264283,1.5,0.3159290478028521,0.25379982115141225,0.23466604449803008,0.4586429581035057,0.2349225502948354,0.6435332288716085,0.21503054567727442,0.4093906355982357,0.17515013660489429,0.5645301866257207
2000-07-31,0.7431380675426855,0.5574130315337185,0.8293785684362428,0.5888424400238441,0.572536096761792,0.7066780964665368,0.5979707903765807,0.6939183059398648,0.679101227168178,0.5962274808997998,0.39595810387441044,0.5795916197985498,0.477106668231267,0.17514874436646077,0.4254226679048013,0.4378653393343344,0.6994610203942119,0.5215008250175798,0.37699055328312947,0.6909471785513944,0.5419581103847424,0.33310235051013465,0.4150424648984178,0.4367095719229342,0.19189656682207934,0.4740022078231412,0.4467629602454487,0.4431067750033338,0.12274632870488009,0.52254844939615,0.5058138400652998,0.3249805533882941,0.31275050753712014,0.45463365902660924,0.2792040024653136,0.306961826264283,1.5,0.3159290478028521,0.25379982115141225,0.23466604449803008,0.4586429581035057,0.2349225502948354,0.6435332288716085,0.21503054567727442,0.4093906355982357,0.17515013660489429,0.5645301866257207
2000-08-31,0.7431380675426855,0.5574130315337185,0.8293785684362428,0.5888424400238441,0.572536096761792,0.7066780964665368,0.5979707903765807,0.6939183059398648,0.679101227168178,0.5962274808997998,0.39595810387441044,0.5795916197985498,0.477106668231267,0.17514874436646077,0.4254226679048013,0.4378653393343344,0.6994610203942119,0.5215008250175798,0.37699055328312947,0.6909471785513944,0.5419581103847424,0.33310235051013465,0.4150424648984178,0.4367095719229342,0.19189656682207934,0.4740022078231412,0.4467629602454487,0.4431067750033338,0.12274632870488009,0.52254844939615,0.5058138400652998,0.3249805533882941,0.31275050753712014,0.45463365902660924,0.2792040024653136,0.306961826264283,1.5,0.3159290478028521,0.25379982115141225,0.23466604449803008,0.4586429581035057,0.2349225502948354,0.6435332288716085,0.21503054567727442,0.4093906355982357,0.17515013660489429,0.5645301866257207
2000-09-29,0.7431380675426855,0.5574130315337185,0.8293785684362428,0.5888424400238441,0.572536096761792,0.7066780964665368,0.5979707903765807,0.6939183059398648,0.679101227168178,0.5962274808997998,0.39595810387441044,0.5795916197985498,0.477106668231267,0.17514874436646077,0.4254226679048013,0.4378653393343344,0.6994610203942119,0.5215008250175798,0.37699055328312947,0.6909471785513944,0.5419581103847424,0.33310235051013465,0.4150424648984178,0.4367095719229342,0.19189656682207934,0.4740022078231412,0.4467629602454487,0.4431067750033338,0.12274632870488009,0.52254844939615,0.5058138400652998,0.3249805533882941,0.31275050753712014,0.45463365902660924,0.2792040024653136,0.306961826264283,1.5,0.3159290478028521,0.25379982115141225,0.23466604449803008,0.4586429581035057,0.2349225502948354,0.6435332288716085,0.21503054567727442,0.4093906355982357,0.17515013660489429,0.5645301866257207
2000-10-31,0.7431380675426855,0.5574130315337185,0.8293785684362428,0.5888424400238441,0.572536096761792,0.7066780964665368,0.5979707903765807,0.6939183059398648,0.679101227168178,0.5962274808997998,0.39595810387441044,0.5795916197985498,0.477106668231267,0.17514874436646077,0.4254226679048013,0.4378653393343344,0.6994610203942119,0.5215008250175798,0.37699055328312947,0.6909471785513944,0.5419581103847424,0.33310235051013465,0.4150424648984178,0.4367095719229342,0.19189656682207934,0.4740022078231412,0.4467629602454487,0.4431067750033338,0.12274632870488009,0.52254844939615,0.5058138400652998,0.3249805533882941,0.31275050753712014,0.45463365902660924,0.2792040024653136,0.306961826264283,1.5,0.3159290478028521,0.25379982115141225,0.23466604449803008,0.4586429581035057,0.2349225502948354,0.6435332288716085,0.21503054567727442,0.4093906355982357,0.17515013660489429,0.5645301866257207
