code,name,weight,expected_return_ann,current_price
001440,대한전선,0.07500000000000001,-5.473122444329265,37750.0
003530,한화투자증권,0.07500000000000001,-5.162976598636669,5430.0
001500,현대차증권,0.07500000000000001,-4.220539646494106,8720.0
000270,기아,0.07500000000000001,-3.3425679356264735,161500.0
003490,대한항공,0.07500000000000001,-3.296232591859589,24550.0
001720,신영증권,0.2,-3.251085344697789,168000.0
000720,현대건설,0.07500000000000001,-5.203237089899266,118300.0
000880,한화,0.07500000000000001,-4.5979507964000765,114600.0
001200,유진투자증권,0.07500000000000001,-4.420908992365896,4290.0
002350,넥센타이어,0.2,-1.4475021534503592,6710.0
