code,name,side,quantity,ref_price,amount,reason
017670,,SELL,50,108100.0,5405000.0,remove non-target
030200,,SELL,95,53800.0,5111000.0,remove non-target
402340,,SELL,3,1269000.0,3807000.0,remove non-target
001440,대한전선,BUY,40,37750.0,1510000.0,target_weight=0.0750
003530,한화투자증권,BUY,283,5430.0,1536690.0,target_weight=0.0750
001500,현대차증권,BUY,176,8720.0,1534720.0,target_weight=0.0750
000270,기아,BUY,9,161500.0,1453500.0,target_weight=0.0750
003490,대한항공,BUY,62,24550.0,1522100.0,target_weight=0.0750
001720,신영증권,BUY,24,168000.0,4032000.0,target_weight=0.2000
000720,현대건설,BUY,13,118300.0,1537900.0,target_weight=0.0750
000880,한화,BUY,13,114600.0,1489800.0,target_weight=0.0750
001200,유진투자증권,BUY,358,4290.0,1535820.0,target_weight=0.0750
002350,넥센타이어,BUY,611,6710.0,4099810.0,target_weight=0.2000
