theme_no,테마명,테마등락률,종목코드,종목명,종목명.1,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,토론,Unnamed: 11,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
599,소캠(SOCAMM),-9.06,356860,티엘비 *,테마 편입 사유,56200.0,"하락  4,400",-7.26,56200.0,56300.0,182970.0,10218.0,235415.0,,,0.5,-6.08,"5,251.87",-333.00,-5.96,2026-03-09 15:34:22
599,소캠(SOCAMM),-9.06,005930,삼성전자,테마 편입 사유,173500.0,"하락  14,700",-7.81,172400.0,172500.0,42999541.0,7364991.0,29522650.0,,,0.5,-6.08,"5,251.87",-333.00,-5.96,2026-03-09 15:34:22
599,소캠(SOCAMM),-9.06,309960,LB인베스트먼트 *,테마 편입 사유,5800.0,하락  500,-7.94,5810.0,5850.0,164040.0,944.0,144649.0,,,0.5,-6.08,"5,251.87",-333.00,-5.96,2026-03-09 15:34:22
599,소캠(SOCAMM),-9.06,168360,펨트론 *,테마 편입 사유,21350.0,"하락  1,950",-8.37,20900.0,21050.0,229797.0,4830.0,357935.0,,,0.5,-6.08,"5,251.87",-333.00,-5.96,2026-03-09 15:34:22
599,소캠(SOCAMM),-9.06,033160,엠케이전자 *,테마 편입 사유,8800.0,하락  840,-8.71,8730.0,8760.0,214030.0,1878.0,164900.0,,,0.5,-6.08,"5,251.87",-333.00,-5.96,2026-03-09 15:34:22
599,소캠(SOCAMM),-9.06,222800,심텍 *,테마 편입 사유,51800.0,"하락  5,200",-9.12,51100.0,51300.0,636160.0,33044.0,1477360.0,,,0.5,-6.08,"5,251.87",-333.00,-5.96,2026-03-09 15:34:22
599,소캠(SOCAMM),-9.06,095340,ISC *,테마 편입 사유,191500.0,"하락  20,000",-9.46,191000.0,191100.0,312979.0,59866.0,336247.0,,,0.5,-6.08,"5,251.87",-333.00,-5.96,2026-03-09 15:34:22
599,소캠(SOCAMM),-9.06,000660,SK하이닉스,테마 편입 사유,836000.0,"하락  88,000",-9.52,830000.0,831000.0,7249201.0,6022565.0,3744322.0,,,0.5,-6.08,"5,251.87",-333.00,-5.96,2026-03-09 15:34:22
599,소캠(SOCAMM),-9.06,353200,대덕전자,테마 편입 사유,60200.0,"하락  6,500",-9.75,59800.0,59900.0,1195909.0,72978.0,2244904.0,,,0.5,-6.08,"5,251.87",-333.00,-5.96,2026-03-09 15:34:22
599,소캠(SOCAMM),-9.06,425420,티에프이 *,테마 편입 사유,40550.0,"하락  4,500",-9.99,40550.0,40750.0,109689.0,4465.0,174775.0,,,0.5,-6.08,"5,251.87",-333.00,-5.96,2026-03-09 15:34:22
