theme_no,테마명,등락률,평균등락률,상승종목수,보합종목수,하락종목수,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
319,화학섬유,7.83,1.03,5,0,1,0.128588,7.58439692,"6,083.86",114.22,1.91,2026-02-25 15:44:03
390,마이크로 LED,6.12,2.43,8,1,2,0.575023,5.0217060700000005,"6,083.86",114.22,1.91,2026-02-25 15:44:03
38,홈쇼핑,6.02,1.48,4,0,1,0.069492,5.887270279999999,"6,083.86",114.22,1.91,2026-02-25 15:44:03
159,자동차 대표주,5.75,-0.61,6,0,1,0.510147,4.77561923,"6,083.86",114.22,1.91,2026-02-25 15:44:03
587,피지컬 AI/휴머노이드 로봇,5.17,0.15,31,0,7,0.5,4.215,"6,083.86",114.22,1.91,2026-02-25 15:44:03
154,건설 대표주,4.74,1.53,6,0,0,0.784495,3.2416145500000004,"6,083.86",114.22,1.91,2026-02-25 15:44:03
593,귀금속(금/은),4.45,2.61,3,0,1,0.5,3.495,"6,083.86",114.22,1.91,2026-02-25 15:44:03
268,전기자전거,3.93,-0.52,3,0,1,0.287817,3.38026953,"6,083.86",114.22,1.91,2026-02-25 15:44:03
505,로봇(산업용/협동로봇 등),3.83,0.42,51,2,10,0.532839,2.8122775100000004,"6,083.86",114.22,1.91,2026-02-25 15:44:03
546,마이코플라스마 폐렴,3.76,2.27,3,1,8,0.145236,3.48259924,"6,083.86",114.22,1.91,2026-02-25 15:44:03
178,전선,2.9,5.95,4,0,4,1.020705,0.9504534500000001,"6,083.86",114.22,1.91,2026-02-25 15:44:03
408,마리화나(대마),2.81,0.42,6,1,3,0.161438,2.5016534200000002,"6,083.86",114.22,1.91,2026-02-25 15:44:03
17,SI(시스템통합),2.6,0.81,20,1,9,0.46072,1.7200248,"6,083.86",114.22,1.91,2026-02-25 15:44:03
180,석유화학,2.52,1.31,10,1,6,0.490725,1.5827152500000001,"6,083.86",114.22,1.91,2026-02-25 15:44:03
27,자동차부품,2.5,0.83,100,5,42,0.344112,1.84274608,"6,083.86",114.22,1.91,2026-02-25 15:44:03
33,LED,2.5,1.98,17,0,22,0.455069,1.6308182100000002,"6,083.86",114.22,1.91,2026-02-25 15:44:03
227,전기차,2.5,1.0,65,4,29,0.560405,1.42962645,"6,083.86",114.22,1.91,2026-02-25 15:44:03
188,풍력에너지,2.27,1.28,26,1,8,0.623109,1.07986181,"6,083.86",114.22,1.91,2026-02-25 15:44:03
362,자율주행차,2.2,0.17,38,1,19,0.542481,1.1638612900000003,"6,083.86",114.22,1.91,2026-02-25 15:44:03
590,2026 상반기 신규상장,2.17,0.09,2,0,2,0.5,1.2149999999999999,"6,083.86",114.22,1.91,2026-02-25 15:44:03
501,리비안(RIVIAN),2.11,0.37,14,0,7,0.374867,1.39400403,"6,083.86",114.22,1.91,2026-02-25 15:44:03
173,IT 대표주,2.1,2.63,5,0,1,0.903146,0.3749911400000001,"6,083.86",114.22,1.91,2026-02-25 15:44:03
242,탄소나노튜브(CNT),1.98,-0.24,2,0,3,0.525903,0.9755252700000001,"6,083.86",114.22,1.91,2026-02-25 15:44:03
181,테마파크,1.95,0.39,3,1,2,0.44185,1.1060664999999998,"6,083.86",114.22,1.91,2026-02-25 15:44:03
289,증강현실(AR),1.94,-0.56,10,0,11,0.514479,0.95734511,"6,083.86",114.22,1.91,2026-02-25 15:44:03
325,종합상사,1.94,1.25,6,1,1,0.346361,1.27845049,"6,083.86",114.22,1.91,2026-02-25 15:44:03
388,아이폰,1.92,1.85,11,0,9,0.624797,0.72663773,"6,083.86",114.22,1.91,2026-02-25 15:44:03
166,항공/저가 항공사(LCC),1.9,1.11,6,0,3,0.357297,1.21756273,"6,083.86",114.22,1.91,2026-02-25 15:44:03
511,니켈,1.79,0.68,9,4,3,0.35488,1.1121792000000001,"6,083.86",114.22,1.91,2026-02-25 15:44:03
200,우주항공산업(누리호/인공위성 등),1.78,-0.25,22,1,12,0.724925,0.3953932499999999,"6,083.86",114.22,1.91,2026-02-25 15:44:03
318,백화점,1.76,1.2,4,0,2,0.059804,1.64577436,"6,083.86",114.22,1.91,2026-02-25 15:44:03
386,수소차(연료전지/부품/충전소 등),1.65,0.16,47,3,23,0.542222,0.61435598,"6,083.86",114.22,1.91,2026-02-25 15:44:03
