theme_no,테마명,테마등락률,종목코드,종목명,종목명.1,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,토론,Unnamed: 11,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
185,정유,4.58,078930,GS,테마 편입 사유,76800.0,"상승  6,000",8.47,76800.0,77000.0,419018.0,31150.0,168093.0,,,0.656208,3.9894128,"6,475.81",57.88,0.90,2026-04-23 15:33:58
185,정유,4.58,010950,S-Oil,테마 편입 사유,120800.0,"상승  6,700",5.87,120500.0,120600.0,701966.0,83128.0,272328.0,,,0.656208,3.9894128,"6,475.81",57.88,0.90,2026-04-23 15:33:58
185,정유,4.58,096770,SK이노베이션,테마 편입 사유,133200.0,하락  800,-0.6,132900.0,133000.0,568532.0,74916.0,618073.0,,,0.656208,3.9894128,"6,475.81",57.88,0.90,2026-04-23 15:33:58
401,원자력발전소 해체,3.8,046120,오르비텍 *,테마 편입 사유,12420.0,"상승  1,470",13.42,12420.0,12430.0,19477949.0,248198.0,1223339.0,,,0.808677,3.0721906999999997,"6,475.81",57.88,0.90,2026-04-23 15:33:58
401,원자력발전소 해체,3.8,032820,우리기술 *,테마 편입 사유,23400.0,"상승  1,350",6.12,23300.0,23350.0,35040027.0,825775.0,6074398.0,,,0.808677,3.0721906999999997,"6,475.81",57.88,0.90,2026-04-23 15:33:58
401,원자력발전소 해체,3.8,034020,두산에너빌리티,테마 편입 사유,122600.0,"상승  6,700",5.78,122400.0,122500.0,8116503.0,986418.0,3779530.0,,,0.808677,3.0721906999999997,"6,475.81",57.88,0.90,2026-04-23 15:33:58
401,원자력발전소 해체,3.8,136150,원일티엔아이 *,테마 편입 사유,18370.0,상승  970,5.57,18320.0,18340.0,136977.0,2447.0,22740.0,,,0.808677,3.0721906999999997,"6,475.81",57.88,0.90,2026-04-23 15:33:58
401,원자력발전소 해체,3.8,105840,우진,테마 편입 사유,28800.0,"상승  1,350",4.92,28850.0,28900.0,4309391.0,128265.0,928942.0,,,0.808677,3.0721906999999997,"6,475.81",57.88,0.90,2026-04-23 15:33:58
401,원자력발전소 해체,3.8,052690,한전기술,테마 편입 사유,189200.0,"상승  8,800",4.88,188700.0,188800.0,466977.0,88779.0,176500.0,,,0.808677,3.0721906999999997,"6,475.81",57.88,0.90,2026-04-23 15:33:58
401,원자력발전소 해체,3.8,000720,현대건설,테마 편입 사유,175400.0,"상승  6,600",3.91,174900.0,175000.0,1925155.0,336825.0,1864120.0,,,0.808677,3.0721906999999997,"6,475.81",57.88,0.90,2026-04-23 15:33:58
401,원자력발전소 해체,3.8,051600,한전KPS,테마 편입 사유,62700.0,"상승  2,000",3.29,62500.0,62600.0,376497.0,23595.0,138221.0,,,0.808677,3.0721906999999997,"6,475.81",57.88,0.90,2026-04-23 15:33:58
401,원자력발전소 해체,3.8,083650,비에이치아이 *,테마 편입 사유,101400.0,"상승  3,200",3.26,101200.0,101300.0,568672.0,57483.0,278703.0,,,0.808677,3.0721906999999997,"6,475.81",57.88,0.90,2026-04-23 15:33:58
401,원자력발전소 해체,3.8,098070,한텍 *,테마 편입 사유,43900.0,"상승  1,000",2.33,43800.0,43850.0,254449.0,11214.0,94428.0,,,0.808677,3.0721906999999997,"6,475.81",57.88,0.90,2026-04-23 15:33:58
401,원자력발전소 해체,3.8,096350,대창솔루션 *,테마 편입 사유,3085.0,상승  70,2.32,3070.0,3075.0,2745995.0,8710.0,811146.0,,,0.808677,3.0721906999999997,"6,475.81",57.88,0.90,2026-04-23 15:33:58
401,원자력발전소 해체,3.8,103230,에스앤더블류 *,테마 편입 사유,4070.0,상승  90,2.26,4035.0,4050.0,242276.0,986.0,132242.0,,,0.808677,3.0721906999999997,"6,475.81",57.88,0.90,2026-04-23 15:33:58
401,원자력발전소 해체,3.8,348350,위드텍 *,테마 편입 사유,10540.0,상승  120,1.15,10550.0,10560.0,98395.0,1052.0,29166.0,,,0.808677,3.0721906999999997,"6,475.81",57.88,0.90,2026-04-23 15:33:58
401,원자력발전소 해체,3.8,199430,케이엔알시스템 *,테마 편입 사유,23250.0,하락  200,-0.85,23150.0,23250.0,57678.0,1347.0,37769.0,,,0.808677,3.0721906999999997,"6,475.81",57.88,0.90,2026-04-23 15:33:58
401,원자력발전소 해체,3.8,042370,비츠로테크 *,테마 편입 사유,16580.0,하락  220,-1.31,16580.0,16590.0,901870.0,14949.0,1126732.0,,,0.808677,3.0721906999999997,"6,475.81",57.88,0.90,2026-04-23 15:33:58
590,2026 상반기 신규상장,3.41,0131D0,키움히어로제2호스팩 *,테마 편입 사유,2735.0,상승  735,36.75,2570.0,2575.0,191638492.0,1113783.0,0.0,,,0.5,2.96,"6,475.81",57.88,0.90,2026-04-23 15:33:58
590,2026 상반기 신규상장,3.41,394420,리센스메디컬 *,테마 편입 사유,26350.0,"상승  4,450",20.32,26250.0,26300.0,2198393.0,56517.0,749514.0,,,0.5,2.96,"6,475.81",57.88,0.90,2026-04-23 15:33:58
590,2026 상반기 신규상장,3.41,0088M0,메쥬 *,테마 편입 사유,41600.0,"상승  5,150",14.13,41750.0,41950.0,895576.0,36966.0,244740.0,,,0.5,2.96,"6,475.81",57.88,0.90,2026-04-23 15:33:58
590,2026 상반기 신규상장,3.41,0007J0,인벤테라 *,테마 편입 사유,21400.0,상승  900,4.39,21450.0,21500.0,788683.0,17047.0,330581.0,,,0.5,2.96,"6,475.81",57.88,0.90,2026-04-23 15:33:58
590,2026 상반기 신규상장,3.41,493280,아이엠바이오로직스 *,테마 편입 사유,52000.0,상승  600,1.17,52100.0,52200.0,126985.0,6770.0,130463.0,,,0.5,2.96,"6,475.81",57.88,0.90,2026-04-23 15:33:58
590,2026 상반기 신규상장,3.41,493330,지에프아이 *,테마 편입 사유,19320.0,상승  200,1.05,19200.0,19350.0,138899.0,2596.0,231375.0,,,0.5,2.96,"6,475.81",57.88,0.90,2026-04-23 15:33:58
590,2026 상반기 신규상장,3.41,0132G0,교보20호스팩 *,테마 편입 사유,2005.0,상승  5,0.25,2000.0,2005.0,80196.0,160.0,75674.0,,,0.5,2.96,"6,475.81",57.88,0.90,2026-04-23 15:33:58
590,2026 상반기 신규상장,3.41,0001A0,덕양에너젠 *,테마 편입 사유,17160.0,상승  30,0.18,17170.0,17180.0,355568.0,6198.0,192662.0,,,0.5,2.96,"6,475.81",57.88,0.90,2026-04-23 15:33:58
590,2026 상반기 신규상장,3.41,0130D0,신한제17호스팩 *,테마 편입 사유,2000.0,상승  3,0.15,1995.0,1996.0,99263.0,198.0,75699.0,,,0.5,2.96,"6,475.81",57.88,0.90,2026-04-23 15:33:58
590,2026 상반기 신규상장,3.41,279570,케이뱅크,테마 편입 사유,6360.0,하락  10,-0.16,6370.0,6380.0,2253327.0,14291.0,2015730.0,,,0.5,2.96,"6,475.81",57.88,0.90,2026-04-23 15:33:58
590,2026 상반기 신규상장,3.41,0115H0,삼성스팩13호 *,테마 편입 사유,2020.0,하락  10,-0.49,2015.0,2020.0,58088.0,117.0,25472.0,,,0.5,2.96,"6,475.81",57.88,0.90,2026-04-23 15:33:58
590,2026 상반기 신규상장,3.41,0130H0,엔에이치스팩33호 *,테마 편입 사유,2010.0,하락  10,-0.5,2010.0,2015.0,35877.0,72.0,39794.0,,,0.5,2.96,"6,475.81",57.88,0.90,2026-04-23 15:33:58
590,2026 상반기 신규상장,3.41,0082N0,카나프테라퓨틱스 *,테마 편입 사유,36700.0,하락  200,-0.54,36650.0,36700.0,213786.0,7917.0,168711.0,,,0.5,2.96,"6,475.81",57.88,0.90,2026-04-23 15:33:58
590,2026 상반기 신규상장,3.41,0010F0,보원케미칼 *,테마 편입 사유,6910.0,하락  50,-0.72,6940.0,6950.0,1148494.0,8169.0,823558.0,,,0.5,2.96,"6,475.81",57.88,0.90,2026-04-23 15:33:58
590,2026 상반기 신규상장,3.41,408470,한패스 *,테마 편입 사유,15800.0,하락  460,-2.83,15830.0,15840.0,191395.0,3043.0,215229.0,,,0.5,2.96,"6,475.81",57.88,0.90,2026-04-23 15:33:58
590,2026 상반기 신규상장,3.41,0011A0,액스비스 *,테마 편입 사유,26250.0,하락  800,-2.96,26400.0,26450.0,375753.0,10103.0,524321.0,,,0.5,2.96,"6,475.81",57.88,0.90,2026-04-23 15:33:58
590,2026 상반기 신규상장,3.41,458350,에스팀 *,테마 편입 사유,9000.0,하락  300,-3.23,9010.0,9020.0,81792.0,745.0,62790.0,,,0.5,2.96,"6,475.81",57.88,0.90,2026-04-23 15:33:58
590,2026 상반기 신규상장,3.41,0004V0,엔비알모션 *,테마 편입 사유,22050.0,"하락  1,300",-5.57,21900.0,21950.0,848118.0,18613.0,555700.0,,,0.5,2.96,"6,475.81",57.88,0.90,2026-04-23 15:33:58
205,원자력발전,3.2,189860,서전기전 *,테마 편입 사유,6450.0,"상승  1,010",18.57,6410.0,6440.0,6480662.0,44244.0,155199.0,,,0.73439,2.5390490000000003,"6,475.81",57.88,0.90,2026-04-23 15:33:58
205,원자력발전,3.2,006910,보성파워텍 *,테마 편입 사유,11870.0,"상승  1,840",18.34,11830.0,11840.0,40141812.0,477814.0,1500985.0,,,0.73439,2.5390490000000003,"6,475.81",57.88,0.90,2026-04-23 15:33:58
205,원자력발전,3.2,046120,오르비텍 *,테마 편입 사유,12420.0,"상승  1,470",13.42,12420.0,12430.0,19477949.0,248198.0,1223339.0,,,0.73439,2.5390490000000003,"6,475.81",57.88,0.90,2026-04-23 15:33:58
205,원자력발전,3.2,044490,태웅 *,테마 편입 사유,53000.0,"상승  6,000",12.77,52000.0,52100.0,913309.0,46324.0,282890.0,,,0.73439,2.5390490000000003,"6,475.81",57.88,0.90,2026-04-23 15:33:58
205,원자력발전,3.2,010120,LS ELECTRIC,테마 편입 사유,217000.0,"상승  22,800",11.74,216000.0,216500.0,3163391.0,684646.0,1498778.0,,,0.73439,2.5390490000000003,"6,475.81",57.88,0.90,2026-04-23 15:33:58
205,원자력발전,3.2,126720,수산인더스트리,테마 편입 사유,30650.0,"상승  2,050",7.17,30700.0,30750.0,285823.0,8667.0,69649.0,,,0.73439,2.5390490000000003,"6,475.81",57.88,0.90,2026-04-23 15:33:58
205,원자력발전,3.2,130660,한전산업,테마 편입 사유,20950.0,"상승  1,270",6.45,20800.0,20850.0,2750723.0,57488.0,325015.0,,,0.73439,2.5390490000000003,"6,475.81",57.88,0.90,2026-04-23 15:33:58
205,원자력발전,3.2,457550,우진엔텍 *,테마 편입 사유,28150.0,"상승  1,700",6.43,28000.0,28100.0,692290.0,19290.0,114719.0,,,0.73439,2.5390490000000003,"6,475.81",57.88,0.90,2026-04-23 15:33:58
