theme_no,테마명,등락률,평균등락률,상승종목수,보합종목수,하락종목수,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
405,MLCC(적층세라믹콘덴서),12.75,8.24,10,0,0,0.637938,11.123258100000001,"8,047.51",199.80,2.55,2026-05-26 18:17:20
155,반도체 대표주(생산),9.9,3.6,3,0,0,1.35572,6.442914,"8,047.51",199.80,2.55,2026-05-26 18:17:20
426,양자암호/양자컴퓨팅,9.25,2.39,18,0,8,0.458166,8.0816767,"8,047.51",199.80,2.55,2026-05-26 18:17:20
608,반도체 기판(FC-BGA/PCB/MLB 등),8.67,5.99,11,0,3,0.5,7.395,"8,047.51",199.80,2.55,2026-05-26 18:17:20
556,뉴로모픽 반도체,7.42,3.03,7,0,0,1.083941,4.655950450000001,"8,047.51",199.80,2.55,2026-05-26 18:17:20
242,탄소나노튜브(CNT),7.07,0.25,3,1,1,0.525903,5.72894735,"8,047.51",199.80,2.55,2026-05-26 18:17:20
584,스페이스X(SpaceX),6.74,-0.57,10,0,2,1.139472,3.8343464000000003,"8,047.51",199.80,2.55,2026-05-26 18:17:20
586,광통신(광케이블/광섬유 등),6.1,2.99,10,0,4,0.5,4.824999999999999,"8,047.51",199.80,2.55,2026-05-26 18:17:20
599,소캠(SOCAMM),4.97,4.33,8,0,3,0.5,3.695,"8,047.51",199.80,2.55,2026-05-26 18:17:20
545,온디바이스 AI,4.69,4.33,21,0,3,0.894704,2.4085048000000002,"8,047.51",199.80,2.55,2026-05-26 18:17:20
557,유리 기판,4.15,2.22,15,0,5,0.713941,2.3294504500000004,"8,047.51",199.80,2.55,2026-05-26 18:17:20
404,폴더블폰,3.94,1.91,17,1,6,0.551849,2.53278505,"8,047.51",199.80,2.55,2026-05-26 18:17:20
373,5G(5세대 이동통신),3.73,2.25,29,3,22,0.568068,2.2814266,"8,047.51",199.80,2.55,2026-05-26 18:17:20
