theme_no,테마명,등락률,평균등락률,상승종목수,보합종목수,하락종목수,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
154,건설 대표주,21.27,1.99,6,0,0,0.784495,15.88051935,"5,872.34",377.56,6.87,2026-04-08 16:01:24
237,GTX(수도권 광역급행철도),11.04,0.61,21,1,2,0.491396,7.664109479999999,"5,872.34",377.56,6.87,2026-04-08 16:01:24
322,건설 중소형,10.48,0.11,25,0,0,0.336376,8.16909688,"5,872.34",377.56,6.87,2026-04-08 16:01:24
524,모듈러주택,10.39,0.65,10,0,0,0.402032,7.628040160000001,"5,872.34",377.56,6.87,2026-04-08 16:01:24
599,소캠(SOCAMM),10.24,0.98,10,0,1,0.5,6.805,"5,872.34",377.56,6.87,2026-04-08 16:01:24
378,건설기계,9.94,1.41,16,0,0,0.410589,7.11925357,"5,872.34",377.56,6.87,2026-04-08 16:01:24
547,CXL(컴퓨트익스프레스링크),9.39,0.41,12,0,1,0.856396,3.50655948,"5,872.34",377.56,6.87,2026-04-08 16:01:24
580,유심(USIM),9.16,0.28,5,0,0,0.369213,6.62350669,"5,872.34",377.56,6.87,2026-04-08 16:01:24
155,반도체 대표주(생산),9.14,2.85,3,0,0,1.35572,-0.17379640000000052,"5,872.34",377.56,6.87,2026-04-08 16:01:24
556,뉴로모픽 반도체,8.81,3.56,7,0,0,1.083941,1.3633253300000003,"5,872.34",377.56,6.87,2026-04-08 16:01:24
536,HBM(고대역폭메모리),8.7,0.54,32,0,0,0.981374,1.9579606199999997,"5,872.34",377.56,6.87,2026-04-08 16:01:24
545,온디바이스 AI,8.5,1.44,24,0,0,0.894704,2.3533835199999995,"5,872.34",377.56,6.87,2026-04-08 16:01:24
388,아이폰,8.42,0.72,20,0,0,0.624797,4.12764461,"5,872.34",377.56,6.87,2026-04-08 16:01:24
307,시스템반도체,8.04,0.58,54,1,1,0.824204,2.3777185199999984,"5,872.34",377.56,6.87,2026-04-08 16:01:24
151,증권,8.0,0.32,20,1,0,0.761878,2.765898139999999,"5,872.34",377.56,6.87,2026-04-08 16:01:24
517,우크라이나 재건,7.89,1.46,29,2,3,0.423375,4.98141375,"5,872.34",377.56,6.87,2026-04-08 16:01:24
584,스페이스X(SpaceX),7.87,-1.32,11,0,1,1.139472,0.04182736000000009,"5,872.34",377.56,6.87,2026-04-08 16:01:24
505,로봇(산업용/협동로봇 등),7.86,-0.72,62,1,1,0.532839,4.199396070000001,"5,872.34",377.56,6.87,2026-04-08 16:01:24
178,전선,7.79,0.54,8,0,0,1.020705,0.7777566499999997,"5,872.34",377.56,6.87,2026-04-08 16:01:24
