theme_no,테마명,등락률,평균등락률,상승종목수,보합종목수,하락종목수,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
178,전선,17.03,7.58,8,0,0,1.020705,11.8039904,"6,936.99",338.12,5.12,2026-05-05 14:19:40
123,전력설비,11.4,3.39,31,2,1,0.770416,7.45547008,"6,936.99",338.12,5.12,2026-05-05 14:19:40
586,광통신(광케이블/광섬유 등),10.53,-0.23,14,0,0,0.5,7.969999999999999,"6,936.99",338.12,5.12,2026-05-05 14:19:40
213,해저터널(지하화/지하도로 등),8.75,1.2,9,0,0,0.550928,5.92924864,"6,936.99",338.12,5.12,2026-05-05 14:19:40
151,증권,6.87,-1.26,20,0,1,0.761878,2.96918464,"6,936.99",338.12,5.12,2026-05-05 14:19:40
155,반도체 대표주(생산),6.66,-0.27,3,0,0,1.35572,-0.28128639999999994,"6,936.99",338.12,5.12,2026-05-05 14:19:40
229,스마트그리드(지능형전력망),5.76,0.71,14,2,4,0.50188,3.1903743999999996,"6,936.99",338.12,5.12,2026-05-05 14:19:40
92,통신장비,5.54,-1.52,34,2,10,0.60181,2.4587328000000004,"6,936.99",338.12,5.12,2026-05-05 14:19:40
536,HBM(고대역폭메모리),5.42,-0.72,27,1,5,0.981374,0.3953651200000001,"6,936.99",338.12,5.12,2026-05-05 14:19:40
547,CXL(컴퓨트익스프레스링크),5.29,0.06,10,0,3,0.856396,0.9052524799999997,"6,936.99",338.12,5.12,2026-05-05 14:19:40
593,귀금속(금/은),5.0,-0.26,3,1,0,0.5,2.44,"6,936.99",338.12,5.12,2026-05-05 14:19:40
373,5G(5세대 이동통신),4.84,-0.74,42,2,10,0.568068,1.9314918399999996,"6,936.99",338.12,5.12,2026-05-05 14:19:40
556,뉴로모픽 반도체,4.81,-0.81,6,1,0,1.083941,-0.7397779200000008,"6,936.99",338.12,5.12,2026-05-05 14:19:40
533,전력반도체,4.74,-1.19,15,2,2,0.5,2.18,"6,936.99",338.12,5.12,2026-05-05 14:19:40
545,온디바이스 AI,4.63,-0.8,21,0,3,0.894704,0.04911551999999908,"6,936.99",338.12,5.12,2026-05-05 14:19:40
405,MLCC(적층세라믹콘덴서),4.39,-0.4,8,1,1,0.637938,1.1237574399999994,"6,936.99",338.12,5.12,2026-05-05 14:19:40
390,마이크로 LED,4.28,0.05,10,1,0,0.575023,1.3358822400000006,"6,936.99",338.12,5.12,2026-05-05 14:19:40
307,시스템반도체,4.26,-0.9,47,3,6,0.824204,0.040075519999999365,"6,936.99",338.12,5.12,2026-05-05 14:19:40
514,전기차(충전소/충전기),4.18,1.84,18,1,7,0.397477,2.1449177599999993,"6,936.99",338.12,5.12,2026-05-05 14:19:40
173,IT 대표주,3.64,0.58,6,0,0,0.903146,-0.9841075199999998,"6,936.99",338.12,5.12,2026-05-05 14:19:40
426,양자암호/양자컴퓨팅,3.61,-1.07,21,2,3,0.458166,1.2641900799999997,"6,936.99",338.12,5.12,2026-05-05 14:19:40
472,2차전지(전고체),3.48,-0.14,25,0,5,0.825888,-0.7485465599999999,"6,936.99",338.12,5.12,2026-05-05 14:19:40
12,반도체 장비,3.47,-0.7,73,3,18,0.836701,-0.8139091200000004,"6,936.99",338.12,5.12,2026-05-05 14:19:40
187,핵융합에너지,3.47,-0.55,7,0,1,0.717944,-0.20587328000000005,"6,936.99",338.12,5.12,2026-05-05 14:19:40
587,피지컬 AI/휴머노이드 로봇,3.47,0.08,29,2,9,0.5,0.9100000000000001,"6,936.99",338.12,5.12,2026-05-05 14:19:40
250,철도,3.4,1.15,26,1,13,0.35862,1.5638656,"6,936.99",338.12,5.12,2026-05-05 14:19:40
560,냉각시스템(액침냉각 등),3.4,0.97,9,0,3,0.816544,-0.7807052800000007,"6,936.99",338.12,5.12,2026-05-05 14:19:40
584,스페이스X(SpaceX),3.39,-1.64,10,0,2,1.139472,-2.44409664,"6,936.99",338.12,5.12,2026-05-05 14:19:40
159,자동차 대표주,3.34,-0.06,7,0,0,0.510147,0.7280473599999997,"6,936.99",338.12,5.12,2026-05-05 14:19:40
503,2차전지(LFP/리튬인산철),3.34,0.15,7,1,4,0.571104,0.41594752,"6,936.99",338.12,5.12,2026-05-05 14:19:40
531,STO(토큰증권 발행),3.33,-0.67,19,0,6,0.620891,0.15103808000000019,"6,936.99",338.12,5.12,2026-05-05 14:19:40
599,소캠(SOCAMM),3.31,0.2,9,0,2,0.5,0.75,"6,936.99",338.12,5.12,2026-05-05 14:19:40
321,무선충전기술,3.3,0.18,10,1,1,0.651058,-0.03341696000000027,"6,936.99",338.12,5.12,2026-05-05 14:19:40
200,우주항공산업(누리호/인공위성 등),3.24,-0.86,30,1,5,0.724925,-0.47161600000000004,"6,936.99",338.12,5.12,2026-05-05 14:19:40
576,퓨리오사AI,2.94,0.08,9,0,2,0.558657,0.07967616,"6,936.99",338.12,5.12,2026-05-05 14:19:40
287,PCB(FPCB 등),2.91,-0.02,20,0,11,0.632153,-0.3266233599999997,"6,936.99",338.12,5.12,2026-05-05 14:19:40
415,그래핀,2.87,0.42,7,2,4,0.333319,1.1634067200000002,"6,936.99",338.12,5.12,2026-05-05 14:19:40
205,원자력발전,2.86,-0.2,32,3,15,0.73439,-0.9000768000000003,"6,936.99",338.12,5.12,2026-05-05 14:19:40
380,면세점,2.79,-0.23,3,2,3,0.08202,2.3700576,"6,936.99",338.12,5.12,2026-05-05 14:19:40
388,아이폰,2.77,-0.13,15,0,5,0.624797,-0.4289606400000001,"6,936.99",338.12,5.12,2026-05-05 14:19:40
104,스마트홈(홈네트워크),2.75,0.27,14,1,8,0.288624,1.27224512,"6,936.99",338.12,5.12,2026-05-05 14:19:40
14,반도체 재료/부품,2.72,-0.26,49,3,15,0.786443,-1.30658816,"6,936.99",338.12,5.12,2026-05-05 14:19:40
18,전자파,2.67,-0.06,8,0,4,0.468353,0.27203263999999994,"6,936.99",338.12,5.12,2026-05-05 14:19:40
33,LED,2.65,-0.05,25,3,11,0.455069,0.3200467199999997,"6,936.99",338.12,5.12,2026-05-05 14:19:40
523,리튬,2.65,-0.02,16,2,4,0.779965,-1.3434208,"6,936.99",338.12,5.12,2026-05-05 14:19:40
537,초전도체,2.56,-0.57,10,1,4,0.567394,-0.3450572799999998,"6,936.99",338.12,5.12,2026-05-05 14:19:40
335,재난/안전(지진/화재 등),2.53,0.52,7,1,13,0.334496,0.8173804799999997,"6,936.99",338.12,5.12,2026-05-05 14:19:40
559,고체산화물 연료전지(SOFC),2.5,3.24,10,0,3,0.953675,-2.382816,"6,936.99",338.12,5.12,2026-05-05 14:19:40
378,건설기계,2.47,-0.57,12,0,4,0.410589,0.36778432000000016,"6,936.99",338.12,5.12,2026-05-05 14:19:40
404,폴더블폰,2.45,-0.28,14,3,7,0.551849,-0.37546687999999984,"6,936.99",338.12,5.12,2026-05-05 14:19:40
362,자율주행차,2.35,-0.52,40,5,13,0.542481,-0.4275027200000001,"6,936.99",338.12,5.12,2026-05-05 14:19:40
64,2차전지,2.29,-0.24,102,7,35,0.624611,-0.90800832,"6,936.99",338.12,5.12,2026-05-05 14:19:40
582,스테이블코인,2.24,-0.81,18,3,4,0.66569,-1.1683328,"6,936.99",338.12,5.12,2026-05-05 14:19:40
446,2차전지(소재/부품),2.23,-0.25,54,3,18,0.598749,-0.8355948799999999,"6,936.99",338.12,5.12,2026-05-05 14:19:40
422,日 수출 규제(국산화 등),2.22,-0.53,12,1,7,0.643653,-1.07550336,"6,936.99",338.12,5.12,2026-05-05 14:19:40
56,NI(네트워크통합),2.16,-1.3,5,1,1,0.255145,0.8536576,"6,936.99",338.12,5.12,2026-05-05 14:19:40
279,스마트폰,2.14,-0.02,34,6,22,0.379963,0.1945894400000001,"6,936.99",338.12,5.12,2026-05-05 14:19:40
483,야놀자(Yanolja),2.13,-1.48,3,1,1,0.408392,0.039032960000000116,"6,936.99",338.12,5.12,2026-05-05 14:19:40
242,탄소나노튜브(CNT),2.11,0.01,3,1,1,0.525903,-0.5826233600000004,"6,936.99",338.12,5.12,2026-05-05 14:19:40
382,플렉서블 디스플레이,2.09,-0.8,16,1,8,0.633484,-1.1534380800000004,"6,936.99",338.12,5.12,2026-05-05 14:19:40
283,생명보험,2.08,-0.88,3,0,2,0.411472,-0.0267366400000002,"6,936.99",338.12,5.12,2026-05-05 14:19:40
106,바이오인식(생체인식),2.04,-0.12,13,0,6,0.327651,0.3624268799999999,"6,936.99",338.12,5.12,2026-05-05 14:19:40
392,스마트팩토리(스마트공장),2.03,-0.21,26,2,11,0.688181,-1.4934867200000004,"6,936.99",338.12,5.12,2026-05-05 14:19:40
342,핀테크(FinTech),1.94,-1.08,19,3,11,0.473814,-0.4859276800000001,"6,936.99",338.12,5.12,2026-05-05 14:19:40
505,로봇(산업용/협동로봇 등),1.94,-0.23,42,4,21,0.532839,-0.7881356799999999,"6,936.99",338.12,5.12,2026-05-05 14:19:40
568,코리아 밸류업 지수(Korea Value-up Index),1.94,-0.32,58,1,40,0.542066,-0.8353779200000004,"6,936.99",338.12,5.12,2026-05-05 14:19:40
9,OLED(유기 발광 다이오드),1.92,-0.92,51,4,24,0.525413,-0.7701145600000001,"6,936.99",338.12,5.12,2026-05-05 14:19:40
467,모더나(MODERNA),1.92,-1.24,4,1,1,0.27897,0.49167359999999993,"6,936.99",338.12,5.12,2026-05-05 14:19:40
445,2차전지(장비),1.9,-0.54,32,4,11,0.623215,-1.2908608,"6,936.99",338.12,5.12,2026-05-05 14:19:40
