theme_no,테마명,등락률,평균등락률,상승종목수,보합종목수,하락종목수,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
559,고체산화물 연료전지(SOFC),11.31,1.87,9,0,2,0.953675,11.767764,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
520,피팅(관이음쇠)/밸브,10.81,1.17,9,0,0,0.824895,11.2059496,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
580,유심(USIM),8.85,1.55,3,0,2,0.369213,9.02722224,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
504,요소수,4.91,1.94,5,0,0,0.079321,4.9480740800000005,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
188,풍력에너지,4.4,0.74,30,0,6,0.623109,4.69909232,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
92,통신장비,4.35,4.82,31,2,12,0.60181,4.6388688,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
191,태양광에너지,4.32,-0.45,32,0,13,0.622351,4.618728480000001,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
521,애플페이,4.16,0.61,4,1,3,0.193589,4.25292272,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
401,원자력발전소 해체,4.02,2.4,11,0,4,0.808677,4.40816496,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
373,5G(5세대 이동통신),3.99,3.98,33,1,19,0.568068,4.26267264,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
204,비료,3.54,1.23,8,0,2,0.222217,3.64666416,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
595,우주태양광(페로브스카이트 등),3.49,-1.04,6,1,3,0.5,3.7300000000000004,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
45,캐릭터상품,3.46,0.85,5,0,4,0.31585,3.611608,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
178,전선,3.43,-0.29,7,0,1,1.020705,3.9199384000000004,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
297,공작기계,3.4,0.94,10,0,3,0.116663,3.45599824,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
94,조선기자재,3.32,1.93,32,1,2,0.644782,3.62949536,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
317,SNS(소셜네트워크서비스),3.32,0.67,5,1,4,0.363899,3.49467152,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
205,원자력발전,3.27,1.7,37,2,12,0.73439,3.6225072,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
82,태풍 및 장마,3.06,0.44,8,1,1,0.262217,3.18586416,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
329,전력저장장치(ESS),2.98,0.14,24,2,16,0.803023,3.36545104,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
124,제대혈,2.94,0.69,4,0,1,0.430958,3.14685984,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
426,양자암호/양자컴퓨팅,2.94,1.95,17,0,7,0.458166,3.15991968,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
379,항공기부품,2.93,0.42,9,0,5,0.563288,3.20037824,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
534,페라이트,2.82,0.78,7,2,5,0.261044,2.94530112,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
288,모바일솔루션(스마트폰),2.79,0.37,16,0,7,0.338846,2.95264608,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
30,조선,2.74,0.7,6,0,1,0.420477,2.94182896,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
313,남-북-러 가스관사업,2.66,0.61,13,0,1,0.425606,2.86429088,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
152,온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS),2.64,0.3,10,1,6,0.487755,2.8741224,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
33,LED,2.63,0.9,25,1,13,0.455069,2.8484331199999997,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
517,우크라이나 재건,2.61,0.31,29,1,5,0.423375,2.81322,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
298,희귀금속(희토류 등),2.57,-0.01,14,0,2,0.148761,2.64140528,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
223,강관업체(Steel pipe),2.48,0.41,10,0,1,0.433156,2.68791488,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
381,LNG(액화천연가스),2.43,0.93,22,0,4,0.574881,2.7059428800000003,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
335,재난/안전(지진/화재 등),2.42,0.2,17,0,4,0.334496,2.58055808,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
583,2025 하반기 신규상장,2.41,0.23,48,4,15,0.499296,2.64966208,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
564,전기차 화재 방지(배터리 열폭주 등),2.37,-0.08,20,1,8,0.497987,2.60903376,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
213,해저터널(지하화/지하도로 등),2.36,0.53,9,0,0,0.550928,2.6244454399999997,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
543,의료AI,2.36,0.67,27,0,3,0.174013,2.4435262399999997,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
56,NI(네트워크통합),2.33,-0.19,6,0,1,0.255145,2.4524696,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
529,AI 챗봇(챗GPT 등),2.33,0.06,20,1,10,0.536537,2.58753776,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
62,철강 주요종목,2.21,0.23,11,0,0,0.210304,2.31094592,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
185,정유,2.16,-1.87,3,0,0,0.656208,2.47497984,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
422,日 수출 규제(국산화 등),2.12,-0.36,13,0,7,0.643653,2.42895344,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
206,농업,2.11,0.64,14,1,8,0.201703,2.20681744,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
106,바이오인식(생체인식),2.01,0.69,13,1,5,0.327651,2.16727248,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
149,원격진료/비대면진료(U-Healthcare),1.96,0.0,16,0,5,0.237293,2.0739006399999997,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
462,UAM(도심항공모빌리티),1.94,0.19,19,0,6,0.511028,2.18529344,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
449,2차전지(생산),1.92,-0.96,2,1,0,0.950035,2.3760168,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
177,LPG(액화석유가스),1.88,-1.03,8,0,1,0.490787,2.11557776,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
181,테마파크,1.88,-0.52,5,0,1,0.44185,2.092088,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
276,클라우드 컴퓨팅,1.81,-0.2,24,1,11,0.510725,2.055148,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
448,코로나19(치료제/백신 개발 등),1.79,0.4,17,0,11,0.265703,1.91753744,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
18,전자파,1.78,-0.53,8,1,3,0.468353,2.00480944,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
55,보안주(정보),1.75,0.21,40,0,11,0.449101,1.96556848,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
237,GTX(수도권 광역급행철도),1.75,0.46,16,2,7,0.491396,1.98587008,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
386,수소에너지(수소차/연료전지 등),1.73,0.33,49,2,22,0.542222,1.99026656,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
349,드론(Drone),1.71,0.63,21,0,8,0.531453,1.9650974399999999,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
470,마이크로바이옴,1.68,-0.7,15,0,3,0.214696,1.7830540799999999,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
598,콩/대두,1.66,-0.31,4,0,1,0.5,1.9,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
250,철도,1.63,0.75,29,4,9,0.35862,1.8021376,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
348,삼성페이,1.63,0.55,12,3,11,0.46179,1.8516591999999998,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
269,LED장비,1.57,-0.23,8,0,3,0.732768,1.92172864,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
389,면역항암제,1.54,0.53,21,0,13,0.253966,1.66190368,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
385,키오스크(KIOSK),1.51,0.22,7,2,1,0.492421,1.74636208,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
325,종합상사,1.49,0.97,5,0,3,0.346361,1.65625328,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
36,해운,1.45,-1.89,5,0,1,0.287513,1.58800624,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
72,철강 중소형,1.45,0.08,30,0,7,0.203882,1.54786336,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
480,메타버스(Metaverse),1.45,0.48,28,3,18,0.46086,1.6712128,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
376,유전자 치료제/분석,1.44,0.34,28,1,12,0.255605,1.5626904,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
589,밸류업(26년 기업가치 제고계획 발표),1.44,0.28,23,0,10,0.5,1.68,"5,583.25",-26.70,-0.48,2026-03-12 16:12:13
