theme_no,테마명,테마등락률,종목코드,종목명,종목명.1,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,토론,Unnamed: 11,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
585,김밥(냉동김밥 등),6.15,276730,한울앤제주 *,테마 편입 사유,871.0,상한가  201,30.0,871.0,0.0,755368.0,628.0,70979.0,,,0.293976,5.67081912,"5,640.48",90.63,1.63,2026-03-17 15:41:52
585,김밥(냉동김밥 등),6.15,003960,사조대림,테마 편입 사유,33250.0,상승  800,2.47,33350.0,33600.0,6498.0,214.0,14850.0,,,0.293976,5.67081912,"5,640.48",90.63,1.63,2026-03-17 15:41:52
585,김밥(냉동김밥 등),6.15,011150,CJ씨푸드,테마 편입 사유,2695.0,상승  55,2.08,2695.0,2700.0,103300.0,275.0,107843.0,,,0.293976,5.67081912,"5,640.48",90.63,1.63,2026-03-17 15:41:52
585,김밥(냉동김밥 등),6.15,103840,우양 *,테마 편입 사유,3015.0,상승  55,1.86,3000.0,3015.0,98265.0,296.0,86633.0,,,0.293976,5.67081912,"5,640.48",90.63,1.63,2026-03-17 15:41:52
585,김밥(냉동김밥 등),6.15,017810,풀무원,테마 편입 사유,12040.0,상승  200,1.69,12060.0,12070.0,19601.0,235.0,43759.0,,,0.293976,5.67081912,"5,640.48",90.63,1.63,2026-03-17 15:41:52
585,김밥(냉동김밥 등),6.15,003680,한성기업,테마 편입 사유,5030.0,하락  60,-1.18,5030.0,5040.0,20486.0,102.0,16563.0,,,0.293976,5.67081912,"5,640.48",90.63,1.63,2026-03-17 15:41:52
242,탄소나노튜브(CNT),5.66,418550,제이오 *,테마 편입 사유,8380.0,상승  840,11.14,8330.0,8380.0,3628665.0,32031.0,78660.0,,,0.525903,4.80277811,"5,640.48",90.63,1.63,2026-03-17 15:41:52
242,탄소나노튜브(CNT),5.66,011780,금호석유화학,테마 편입 사유,122900.0,"상승  7,800",6.78,123700.0,123800.0,121492.0,14801.0,64917.0,,,0.525903,4.80277811,"5,640.48",90.63,1.63,2026-03-17 15:41:52
242,탄소나노튜브(CNT),5.66,051910,LG화학,테마 편입 사유,307500.0,"상승  15,500",5.31,298000.0,298500.0,256068.0,78703.0,325789.0,,,0.525903,4.80277811,"5,640.48",90.63,1.63,2026-03-17 15:41:52
242,탄소나노튜브(CNT),5.66,027580,상보 *,테마 편입 사유,578.0,상승  18,3.21,571.0,573.0,1746348.0,1049.0,198295.0,,,0.525903,4.80277811,"5,640.48",90.63,1.63,2026-03-17 15:41:52
242,탄소나노튜브(CNT),5.66,049480,오픈베이스 *,테마 편입 사유,2195.0,상승  40,1.86,2195.0,2200.0,159336.0,350.0,117149.0,,,0.525903,4.80277811,"5,640.48",90.63,1.63,2026-03-17 15:41:52
579,2차전지(나트륨이온),4.94,393890,더블유씨피 *,테마 편입 사유,12520.0,"상승  2,390",23.59,12520.0,12530.0,6273117.0,76241.0,553768.0,,,0.716009,3.7729053300000004,"5,640.48",90.63,1.63,2026-03-17 15:41:52
579,2차전지(나트륨이온),4.94,373220,LG에너지솔루션,테마 편입 사유,380500.0,"상승  14,500",3.96,379500.0,380000.0,345240.0,129787.0,280349.0,,,0.716009,3.7729053300000004,"5,640.48",90.63,1.63,2026-03-17 15:41:52
579,2차전지(나트륨이온),4.94,446540,메가터치 *,테마 편입 사유,3995.0,상승  135,3.5,3990.0,3995.0,91711.0,363.0,123386.0,,,0.716009,3.7729053300000004,"5,640.48",90.63,1.63,2026-03-17 15:41:52
