theme_no,테마명,등락률,평균등락률,상승종목수,보합종목수,하락종목수,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
166,항공/저가 항공사(LCC),14.18,0.68,9,0,0,0.357297,12.3220556,"8,545.98",422.36,5.20,2026-06-15 15:49:09
563,낙태/피임,10.26,-0.13,3,1,0,0.373161,8.3195628,"8,545.98",422.36,5.20,2026-06-15 15:49:09
506,탈모 치료,7.5,0.84,21,0,5,0.022729,7.3818092,"8,545.98",422.36,5.20,2026-06-15 15:49:09
159,자동차 대표주,7.23,1.78,7,0,0,0.510147,4.5772356,"8,545.98",422.36,5.20,2026-06-15 15:49:09
30,조선,7.14,1.86,7,0,0,0.420477,4.9535196,"8,545.98",422.36,5.20,2026-06-15 15:49:09
556,뉴로모픽 반도체,6.63,1.61,7,0,0,1.083941,0.9935067999999996,"8,545.98",422.36,5.20,2026-06-15 15:49:09
405,MLCC(적층세라믹콘덴서),6.38,-0.82,10,0,1,0.637938,3.0627223999999997,"8,545.98",422.36,5.20,2026-06-15 15:49:09
332,스마트카(SMART CAR),5.64,0.69,10,1,2,0.453456,3.2820287999999995,"8,545.98",422.36,5.20,2026-06-15 15:49:09
520,피팅(관이음쇠)/밸브,5.44,1.03,9,0,0,0.824895,1.1505460000000003,"8,545.98",422.36,5.20,2026-06-15 15:49:09
178,전선,5.4,-0.59,7,1,0,1.020705,0.09233400000000014,"8,545.98",422.36,5.20,2026-06-15 15:49:09
580,유심(USIM),4.85,3.03,4,0,1,0.369213,2.9300923999999995,"8,545.98",422.36,5.20,2026-06-15 15:49:09
94,조선기자재,4.67,2.0,31,1,4,0.644782,1.3171336,"8,545.98",422.36,5.20,2026-06-15 15:49:09
449,2차전지(생산),4.65,0.71,3,0,0,0.950035,-0.2901819999999997,"8,545.98",422.36,5.20,2026-06-15 15:49:09
167,타이어,4.62,1.45,8,0,1,0.299876,3.0606448000000004,"8,545.98",422.36,5.20,2026-06-15 15:49:09
298,희귀금속(희토류 등),4.45,0.8,15,0,2,0.148761,3.6764428000000002,"8,545.98",422.36,5.20,2026-06-15 15:49:09
590,2026 상반기 신규상장,4.45,-0.64,20,1,6,0.5,1.85,"8,545.98",422.36,5.20,2026-06-15 15:49:09
123,전력설비,4.39,0.79,30,2,2,0.770416,0.3838367999999992,"8,545.98",422.36,5.20,2026-06-15 15:49:09
381,LNG(액화천연가스),4.39,1.73,25,0,1,0.574881,1.4006187999999997,"8,545.98",422.36,5.20,2026-06-15 15:49:09
325,종합상사,4.35,0.69,7,0,1,0.346361,2.5489227999999997,"8,545.98",422.36,5.20,2026-06-15 15:49:09
329,전력저장장치(ESS),4.31,1.28,36,2,3,0.803023,0.13428039999999886,"8,545.98",422.36,5.20,2026-06-15 15:49:09
154,건설 대표주,4.3,2.77,5,0,1,0.784495,0.22062599999999932,"8,545.98",422.36,5.20,2026-06-15 15:49:09
283,생명보험,4.27,1.4,5,0,0,0.411472,2.1303455999999996,"8,545.98",422.36,5.20,2026-06-15 15:49:09
503,2차전지(LFP/리튬인산철),4.21,1.45,8,0,4,0.571104,1.2402592000000001,"8,545.98",422.36,5.20,2026-06-15 15:49:09
185,정유,4.19,-0.09,3,0,0,0.656208,0.7777184000000004,"8,545.98",422.36,5.20,2026-06-15 15:49:09
121,남북경협,4.16,1.68,24,1,4,0.350191,2.3390068,"8,545.98",422.36,5.20,2026-06-15 15:49:09
523,리튬,4.06,2.33,20,0,2,0.779965,0.004181999999999242,"8,545.98",422.36,5.20,2026-06-15 15:49:09
173,IT 대표주,4.03,-0.64,6,0,0,0.903146,-0.6663591999999996,"8,545.98",422.36,5.20,2026-06-15 15:49:09
229,스마트그리드(지능형전력망),3.98,0.79,17,0,3,0.50188,1.3702239999999999,"8,545.98",422.36,5.20,2026-06-15 15:49:09
213,해저터널(지하화/지하도로 등),3.96,1.06,8,0,1,0.550928,1.0951743999999999,"8,545.98",422.36,5.20,2026-06-15 15:49:09
511,니켈,3.94,0.64,12,0,2,0.35488,2.094624,"8,545.98",422.36,5.20,2026-06-15 15:49:09
328,제습기,3.93,0.08,8,0,0,0.274735,2.501378,"8,545.98",422.36,5.20,2026-06-15 15:49:09
44,시멘트/레미콘,3.92,2.98,10,1,4,0.161184,3.0818432,"8,545.98",422.36,5.20,2026-06-15 15:49:09
524,모듈러주택,3.9,1.63,8,0,2,0.402032,1.8094335999999998,"8,545.98",422.36,5.20,2026-06-15 15:49:09
321,무선충전기술,3.72,0.5,9,2,1,0.651058,0.33449839999999975,"8,545.98",422.36,5.20,2026-06-15 15:49:09
