theme_no,테마명,테마등락률,종목코드,종목명,종목명.1,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,토론,Unnamed: 11,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
590,2026 상반기 신규상장,48.68,458350,에스팀 *,테마 편입 사유,34000.0,"상한가  25,500",300.0,34000.0,0.0,2949912.0,98082.0,0.0,,,0.5,48.67,"5,584.87",0.97,0.02,2026-03-06 16:02:25
590,2026 상반기 신규상장,48.68,0001A0,덕양에너젠 *,테마 편입 사유,19750.0,상승  620,3.24,19740.0,19750.0,907343.0,17999.0,920786.0,,,0.5,48.67,"5,584.87",0.97,0.02,2026-03-06 16:02:25
590,2026 상반기 신규상장,48.68,0115H0,삼성스팩13호 *,테마 편입 사유,2060.0,상승  35,1.73,2060.0,2065.0,207836.0,423.0,260207.0,,,0.5,48.67,"5,584.87",0.97,0.02,2026-03-06 16:02:25
590,2026 상반기 신규상장,48.68,493330,지에프아이 *,테마 편입 사유,14890.0,하락  400,-2.62,14890.0,14930.0,49358.0,733.0,17755.0,,,0.5,48.67,"5,584.87",0.97,0.02,2026-03-06 16:02:25
590,2026 상반기 신규상장,48.68,0004V0,엔비알모션 *,테마 편입 사유,20500.0,하락  700,-3.3,20500.0,20550.0,871331.0,17993.0,1296595.0,,,0.5,48.67,"5,584.87",0.97,0.02,2026-03-06 16:02:25
590,2026 상반기 신규상장,48.68,279570,케이뱅크,테마 편입 사유,7750.0,하락  580,-6.96,7750.0,7760.0,44432894.0,356957.0,181485877.0,,,0.5,48.67,"5,584.87",0.97,0.02,2026-03-06 16:02:25
598,콩/대두,0.18,006880,신송홀딩스,테마 편입 사유,6980.0,상승  240,3.56,6980.0,6990.0,564142.0,3969.0,147448.0,,,0.5,0.16999999999999998,"5,584.87",0.97,0.02,2026-03-06 16:02:25
598,콩/대두,0.18,007540,샘표,테마 편입 사유,56300.0,하락  300,-0.53,56300.0,56700.0,19698.0,1099.0,38404.0,,,0.5,0.16999999999999998,"5,584.87",0.97,0.02,2026-03-06 16:02:25
598,콩/대두,0.18,248170,샘표식품,테마 편입 사유,27800.0,하락  150,-0.54,27800.0,27900.0,12629.0,350.0,23904.0,,,0.5,0.16999999999999998,"5,584.87",0.97,0.02,2026-03-06 16:02:25
598,콩/대두,0.18,017810,풀무원,테마 편입 사유,12030.0,하락  70,-0.58,12020.0,12030.0,35036.0,420.0,70263.0,,,0.5,0.16999999999999998,"5,584.87",0.97,0.02,2026-03-06 16:02:25
