theme_no,테마명,등락률,평균등락률,상승종목수,보합종목수,하락종목수,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
556,뉴로모픽 반도체,5.89,-0.52,5,0,2,1.083941,5.001168379999999,"5,494.78",44.45,0.82,2026-04-07 16:16:40
390,마이크로 LED,3.31,1.21,4,0,7,0.575023,2.8384811400000003,"5,494.78",44.45,0.82,2026-04-07 16:16:40
86,"주류업(주정, 에탄올 등)",3.25,0.95,8,2,3,0.103404,3.16520872,"5,494.78",44.45,0.82,2026-04-07 16:16:40
234,보안주(물리),2.88,-0.69,10,0,9,0.367844,2.57836792,"5,494.78",44.45,0.82,2026-04-07 16:16:40
28,CCTV＆DVR,1.95,-1.44,2,0,5,0.206311,1.78082498,"5,494.78",44.45,0.82,2026-04-07 16:16:40
496,골프,1.83,-0.58,8,0,7,0.257391,1.61893938,"5,494.78",44.45,0.82,2026-04-07 16:16:40
104,스마트홈(홈네트워크),1.54,0.18,12,0,11,0.288624,1.30332832,"5,494.78",44.45,0.82,2026-04-07 16:16:40
49,인터넷 대표주,1.5,-2.23,1,0,1,0.654288,0.9634838400000001,"5,494.78",44.45,0.82,2026-04-07 16:16:40
599,소캠(SOCAMM),1.42,-1.95,7,0,4,0.5,1.01,"5,494.78",44.45,0.82,2026-04-07 16:16:40
32,패션/의류,1.25,-1.0,30,4,24,0.140377,1.13489086,"5,494.78",44.45,0.82,2026-04-07 16:16:40
585,김밥(냉동김밥 등),1.15,-0.06,3,0,3,0.293976,0.9089396799999999,"5,494.78",44.45,0.82,2026-04-07 16:16:40
33,LED,1.09,-0.9,20,0,19,0.455069,0.7168434200000001,"5,494.78",44.45,0.82,2026-04-07 16:16:40
560,냉각시스템(액침냉각 등),1.03,-0.66,6,0,5,0.816544,0.3604339200000001,"5,494.78",44.45,0.82,2026-04-07 16:16:40
579,2차전지(나트륨이온),1.0,-1.34,4,1,4,0.716009,0.41287262,"5,494.78",44.45,0.82,2026-04-07 16:16:40
173,IT 대표주,0.98,-0.13,4,0,2,0.903146,0.23942028000000004,"5,494.78",44.45,0.82,2026-04-07 16:16:40
503,2차전지(LFP/리튬인산철),0.91,-0.05,5,1,6,0.571104,0.4416947200000001,"5,494.78",44.45,0.82,2026-04-07 16:16:40
154,건설 대표주,0.85,-0.73,4,0,2,0.784495,0.2067141,"5,494.78",44.45,0.82,2026-04-07 16:16:40
493,mRNA(메신저 리보핵산),0.74,-2.74,6,1,6,-0.002494,0.74204508,"5,494.78",44.45,0.82,2026-04-07 16:16:40
121,남북경협,0.67,-0.8,15,0,14,0.350191,0.38284338000000007,"5,494.78",44.45,0.82,2026-04-07 16:16:40
317,SNS(소셜네트워크서비스),0.6,-0.96,4,0,6,0.363899,0.30160282,"5,494.78",44.45,0.82,2026-04-07 16:16:40
407,호텔/리조트,0.5,-1.8,7,0,7,0.070259,0.44238762,"5,494.78",44.45,0.82,2026-04-07 16:16:40
529,AI 챗봇(챗GPT 등),0.5,-1.51,12,2,17,0.536537,0.060039659999999995,"5,494.78",44.45,0.82,2026-04-07 16:16:40
52,교육/온라인 교육,0.49,-0.8,11,1,15,0.298331,0.24536858,"5,494.78",44.45,0.82,2026-04-07 16:16:40
598,콩/대두,0.47,-0.64,4,0,1,0.5,0.06,"5,494.78",44.45,0.82,2026-04-07 16:16:40
126,통신,0.46,0.04,2,0,1,0.117303,0.36381154000000004,"5,494.78",44.45,0.82,2026-04-07 16:16:40
421,日제품 불매운동(수혜),0.44,-0.49,12,2,6,0.133229,0.33075222000000004,"5,494.78",44.45,0.82,2026-04-07 16:16:40
177,LPG(액화석유가스),0.42,0.99,2,0,7,0.490787,0.017554660000000055,"5,494.78",44.45,0.82,2026-04-07 16:16:40
119,창투사,0.34,-1.88,5,2,13,0.368216,0.03806288000000008,"5,494.78",44.45,0.82,2026-04-07 16:16:40
446,2차전지(소재/부품),0.34,-0.26,31,6,39,0.598749,-0.1509741799999999,"5,494.78",44.45,0.82,2026-04-07 16:16:40
155,반도체 대표주(생산),0.33,0.93,2,0,1,1.35572,-0.7816903999999998,"5,494.78",44.45,0.82,2026-04-07 16:16:40
328,제습기,0.33,-0.57,3,0,5,0.274735,0.10471730000000001,"5,494.78",44.45,0.82,2026-04-07 16:16:40
184,수자원(양적/질적 개선),0.31,-0.42,10,0,17,0.401481,-0.019214419999999954,"5,494.78",44.45,0.82,2026-04-07 16:16:40
547,CXL(컴퓨트익스프레스링크),0.29,-1.8,8,0,5,0.856396,-0.41224472000000006,"5,494.78",44.45,0.82,2026-04-07 16:16:40
56,NI(네트워크통합),0.17,-0.76,3,0,4,0.255145,-0.03921889999999997,"5,494.78",44.45,0.82,2026-04-07 16:16:40
384,편의점,0.17,-1.22,3,0,2,0.08108,0.10351440000000002,"5,494.78",44.45,0.82,2026-04-07 16:16:40
112,공기청정기,0.14,-0.61,5,1,6,0.377729,-0.16973777999999995,"5,494.78",44.45,0.82,2026-04-07 16:16:40
600,주유소,0.13,0.56,5,1,9,0.5,-0.27999999999999997,"5,494.78",44.45,0.82,2026-04-07 16:16:40
527,윤활유,0.1,1.73,1,0,6,0.390276,-0.22002631999999997,"5,494.78",44.45,0.82,2026-04-07 16:16:40
310,리츠(REITs),0.09,0.18,11,1,11,0.148746,-0.03197171999999998,"5,494.78",44.45,0.82,2026-04-07 16:16:40
284,기업인수목적회사(SPAC),0.06,0.02,26,38,15,0.053159,0.01640962,"5,494.78",44.45,0.82,2026-04-07 16:16:40
536,HBM(고대역폭메모리),0.06,-1.7,18,0,14,0.981374,-0.7447266799999999,"5,494.78",44.45,0.82,2026-04-07 16:16:40
166,항공/저가 항공사(LCC),0.04,-1.24,2,1,6,0.357297,-0.25298354,"5,494.78",44.45,0.82,2026-04-07 16:16:40
468,화이자(PFIZER),0.01,-1.63,1,0,4,0.235245,-0.18290089999999998,"5,494.78",44.45,0.82,2026-04-07 16:16:40
60,육계,0.0,-0.15,4,0,5,0.179797,-0.14743354,"5,494.78",44.45,0.82,2026-04-07 16:16:40
501,리비안(RIVIAN),-0.01,-0.2,9,3,9,0.374867,-0.31739094,"5,494.78",44.45,0.82,2026-04-07 16:16:40
504,요소수,-0.03,-0.83,2,0,3,0.079321,-0.09504322,"5,494.78",44.45,0.82,2026-04-07 16:16:40
571,밸류업(25년 기업가치 제고계획 발표),-0.04,-1.32,33,5,47,0.456112,-0.41401183999999996,"5,494.78",44.45,0.82,2026-04-07 16:16:40
545,온디바이스 AI,-0.05,-0.59,12,0,12,0.894704,-0.78365728,"5,494.78",44.45,0.82,2026-04-07 16:16:40
13,리모델링/인테리어,-0.06,-0.36,8,3,13,0.110766,-0.15082812,"5,494.78",44.45,0.82,2026-04-07 16:16:40
