theme_no,테마명,등락률,평균등락률,상승종목수,보합종목수,하락종목수,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
563,낙태/피임,2.62,-1.66,3,1,0,0.373161,-0.5742581600000003,"5,485.03",432.57,8.56,2026-04-01 15:07:25
113,음식료업종,2.6,-0.61,61,2,3,0.09173,1.8147912,"5,485.03",432.57,8.56,2026-04-01 15:07:25
128,엔터테인먼트,2.58,-0.58,29,0,2,0.048797,2.16229768,"5,485.03",432.57,8.56,2026-04-01 15:07:25
474,쿠팡(coupang),2.58,-0.98,18,1,2,0.261037,0.34552327999999966,"5,485.03",432.57,8.56,2026-04-01 15:07:25
13,리모델링/인테리어,2.51,-1.07,21,1,2,0.110766,1.5618430399999998,"5,485.03",432.57,8.56,2026-04-01 15:07:25
105,사료,2.5,-0.43,15,1,2,0.029914,2.24393616,"5,485.03",432.57,8.56,2026-04-01 15:07:25
598,콩/대두,2.47,-0.91,4,1,0,0.5,-1.81,"5,485.03",432.57,8.56,2026-04-01 15:07:25
504,요소수,2.46,-1.8,4,0,1,0.079321,1.78101224,"5,485.03",432.57,8.56,2026-04-01 15:07:25
470,마이크로바이옴,2.39,-0.98,14,0,4,0.214696,0.55220224,"5,485.03",432.57,8.56,2026-04-01 15:07:25
400,조림사업,2.35,-1.25,9,1,1,0.186854,0.75052976,"5,485.03",432.57,8.56,2026-04-01 15:07:25
98,음원/음반,2.23,-1.62,13,0,2,0.026165,2.0060276,"5,485.03",432.57,8.56,2026-04-01 15:07:25
402,아스콘(아스팔트 콘크리트),2.2,-0.68,8,0,1,0.134931,1.0449906400000002,"5,485.03",432.57,8.56,2026-04-01 15:07:25
60,육계,2.12,-0.12,9,0,0,0.179797,0.5809376799999999,"5,485.03",432.57,8.56,2026-04-01 15:07:25
126,통신,2.0,-0.66,3,0,0,0.117303,0.9958863199999999,"5,485.03",432.57,8.56,2026-04-01 15:07:25
63,제지,1.99,-1.28,10,2,2,0.083505,1.2751972,"5,485.03",432.57,8.56,2026-04-01 15:07:25
204,비료,1.99,-1.49,8,0,2,0.222217,0.08782247999999981,"5,485.03",432.57,8.56,2026-04-01 15:07:25
417,아프리카 돼지열병(ASF),1.96,-0.11,29,1,1,0.219328,0.08255231999999979,"5,485.03",432.57,8.56,2026-04-01 15:07:25
232,미디어(방송/신문),1.91,-1.7,11,0,1,0.135226,0.7524654399999997,"5,485.03",432.57,8.56,2026-04-01 15:07:25
290,"스포츠행사 수혜(올림픽, 월드컵 등)",1.89,-0.42,9,0,0,0.139531,0.6956146399999998,"5,485.03",432.57,8.56,2026-04-01 15:07:25
16,구제역/광우병 수혜,1.88,-0.61,19,0,1,0.168139,0.44073015999999976,"5,485.03",432.57,8.56,2026-04-01 15:07:25
385,키오스크(KIOSK),1.85,-0.84,8,0,2,0.492421,-2.36512376,"5,485.03",432.57,8.56,2026-04-01 15:07:25
76,여름,1.8,-0.32,23,0,5,0.179819,0.26074935999999993,"5,485.03",432.57,8.56,2026-04-01 15:07:25
141,종합 물류,1.77,-0.65,14,0,2,0.204126,0.02268143999999994,"5,485.03",432.57,8.56,2026-04-01 15:07:25
38,홈쇼핑,1.76,-1.19,4,0,1,0.069492,1.16514848,"5,485.03",432.57,8.56,2026-04-01 15:07:25
86,"주류업(주정, 에탄올 등)",1.75,-0.54,11,0,2,0.103404,0.86486176,"5,485.03",432.57,8.56,2026-04-01 15:07:25
384,편의점,1.74,-0.07,4,0,1,0.08108,1.0459551999999999,"5,485.03",432.57,8.56,2026-04-01 15:07:25
523,리튬,1.72,0.47,17,0,5,0.779965,-4.9565004,"5,485.03",432.57,8.56,2026-04-01 15:07:25
600,주유소,1.55,-1.97,11,0,4,0.5,-2.7300000000000004,"5,485.03",432.57,8.56,2026-04-01 15:07:25
176,도시가스,1.52,-1.57,7,1,1,0.202386,-0.21242416000000008,"5,485.03",432.57,8.56,2026-04-01 15:07:25
45,캐릭터상품,1.34,-0.64,6,0,3,0.31585,-1.363676,"5,485.03",432.57,8.56,2026-04-01 15:07:25
177,LPG(액화석유가스),1.3,-1.15,5,0,4,0.490787,-2.9011367200000002,"5,485.03",432.57,8.56,2026-04-01 15:07:25
59,광고,1.23,-0.69,21,0,4,0.196435,-0.4514836000000002,"5,485.03",432.57,8.56,2026-04-01 15:07:25
546,마이코플라스마 폐렴,1.19,0.53,9,0,3,0.145236,-0.05322016000000018,"5,485.03",432.57,8.56,2026-04-01 15:07:25
310,리츠(REITs),1.13,-0.69,19,1,3,0.148746,-0.14326576000000002,"5,485.03",432.57,8.56,2026-04-01 15:07:25
171,비철금속,0.84,1.46,17,1,8,0.359222,-2.23494032,"5,485.03",432.57,8.56,2026-04-01 15:07:25
82,태풍 및 장마,0.74,0.45,6,0,4,0.262217,-1.50457752,"5,485.03",432.57,8.56,2026-04-01 15:07:25
170,골판지 제조,0.56,-2.48,7,0,3,0.060068,0.045817919999999956,"5,485.03",432.57,8.56,2026-04-01 15:07:25
210,자전거,0.26,0.31,1,0,1,0.192109,-1.3844530400000001,"5,485.03",432.57,8.56,2026-04-01 15:07:25
284,기업인수목적회사(SPAC),0.16,0.03,32,27,21,0.053159,-0.29504104,"5,485.03",432.57,8.56,2026-04-01 15:07:25
36,해운,-0.71,2.45,4,0,2,0.287513,-3.1711112800000003,"5,485.03",432.57,8.56,2026-04-01 15:07:25
581,탈 플라스틱(친환경/생분해성 등),-2.88,-3.32,1,1,7,0.207469,-4.65593464,"5,485.03",432.57,8.56,2026-04-01 15:07:25
525,렌터카,-4.08,-0.25,1,0,3,0.065427,-4.64005512,"5,485.03",432.57,8.56,2026-04-01 15:07:25
