theme_no,테마명,등락률,평균등락률,상승종목수,보합종목수,하락종목수,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
313,남-북-러 가스관사업,5.42,0.09,11,0,3,0.425606,6.10522566,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
72,철강 중소형,4.49,0.35,23,1,12,0.203882,4.818250020000001,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
223,강관업체(Steel pipe),4.21,-0.61,8,0,3,0.433156,4.90738116,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
185,정유,3.62,1.23,3,0,0,0.656208,4.67649488,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
521,애플페이,3.25,2.19,3,0,5,0.193589,3.56167829,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
319,화학섬유,2.99,0.3,4,0,2,0.128588,3.1970266800000005,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
167,타이어,2.92,2.12,7,0,2,0.299876,3.40280036,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
408,마리화나(대마),2.87,-1.34,5,1,4,0.161438,3.1299151800000002,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
449,2차전지(생산),2.83,1.25,3,0,0,0.950035,4.35955635,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
228,국내 상장 중국기업,2.67,-0.45,7,1,3,0.317304,3.18085944,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
210,자전거,2.57,-6.05,1,0,1,0.192109,2.8792954899999996,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
384,편의점,2.46,0.75,3,0,2,0.08108,2.5905388,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
581,탈 플라스틱(친환경/생분해성 등),2.35,-0.4,6,2,1,0.207469,2.68402509,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
62,철강 주요종목,2.32,1.03,10,1,0,0.210304,2.65858944,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
586,광통신(광케이블/광섬유 등),1.97,1.06,4,1,8,0.5,2.775,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
126,통신,1.92,1.96,2,1,0,0.117303,2.10885783,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
317,SNS(소셜네트워크서비스),1.88,2.25,5,2,3,0.363899,2.4658773899999997,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
527,윤활유,1.82,-0.39,6,0,1,0.390276,2.44834436,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
580,유심(USIM),1.67,2.63,1,0,4,0.369213,2.26443293,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
600,주유소,1.63,-0.51,11,0,4,0.5,2.435,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
598,콩/대두,1.56,-0.31,3,1,1,0.5,2.365,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
517,우크라이나 재건,1.55,2.84,13,2,19,0.423375,2.2316337500000003,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
36,해운,1.48,-2.19,6,0,0,0.287513,1.9428959300000002,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
177,LPG(액화석유가스),1.44,-0.84,6,0,3,0.490787,2.23016707,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
422,日 수출 규제(국산화 등),1.44,1.14,8,0,12,0.643653,2.47628133,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
316,엔젤산업,1.38,-0.11,10,0,15,0.133206,1.59446166,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
523,리튬,1.37,1.36,8,1,13,0.779965,2.6257436500000004,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
390,마이크로 LED,1.36,4.03,4,1,6,0.575023,2.28578703,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
174,치아 치료(임플란트 등),1.23,-0.26,4,0,10,0.314147,1.73577667,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
171,비철금속,1.19,1.61,14,2,9,0.359222,1.76834742,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
380,면세점,1.14,1.24,5,0,3,0.08202,1.2720521999999999,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
180,석유화학,1.13,1.54,9,1,7,0.490725,1.92006725,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
288,모바일솔루션(스마트폰),1.12,1.82,8,3,12,0.338846,1.6655420600000002,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
318,백화점,1.03,1.66,3,0,3,0.059804,1.12628444,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
47,카지노,0.92,0.4,3,1,2,-0.018279,0.89057081,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
105,사료,0.9,-0.12,10,1,7,0.029914,0.9481615400000001,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
232,미디어(방송/신문),0.86,0.15,7,1,4,0.135226,1.07771386,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
110,화장품,0.8,0.44,53,3,35,0.142937,1.03012857,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
398,DMZ 평화공원,0.78,0.22,8,0,10,0.302546,1.26709906,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
13,리모델링/인테리어,0.73,1.42,8,2,14,0.110766,0.90833326,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
462,UAM(도심항공모빌리티),0.7,1.18,9,1,15,0.511028,1.52275508,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
30,조선,0.66,0.35,2,0,5,0.420477,1.33696797,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
285,마스크,0.62,-0.03,10,1,12,0.185793,0.9191267300000001,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
310,리츠(REITs),0.62,0.35,17,2,4,0.148746,0.85948106,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
417,아프리카 돼지열병(ASF),0.61,0.2,15,1,15,0.219328,0.96311808,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
468,화이자(PFIZER),0.6,0.72,2,0,3,0.235245,0.97874445,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
121,남북경협,0.57,1.62,17,2,10,0.350191,1.13380751,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
31,환율하락 수혜,0.56,0.96,14,1,8,0.275169,1.00302209,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
204,비료,0.56,-0.46,6,0,4,0.222217,0.91776937,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
128,엔터테인먼트,0.55,0.14,11,3,17,0.048797,0.6285631700000001,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
38,홈쇼핑,0.53,0.9,2,0,3,0.069492,0.64188212,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
144,방위산업/전쟁 및 테러,0.53,0.36,25,3,38,0.536835,1.39430435,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
290,"스포츠행사 수혜(올림픽, 월드컵 등)",0.52,0.0,5,0,4,0.139531,0.74464491,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
42,게임,0.51,0.09,14,4,12,0.387229,1.1334386900000002,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
571,밸류업(25년 기업가치 제고계획 발표),0.49,1.3,39,3,43,0.456112,1.22434032,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
176,도시가스,0.48,-0.4,5,0,4,0.202386,0.80584146,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
265,모바일게임(스마트폰),0.46,0.13,16,4,16,0.384521,1.0790788100000002,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
402,아스콘(아스팔트 콘크리트),0.46,0.2,5,0,4,0.134931,0.67723891,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
503,2차전지(LFP/리튬인산철),0.44,1.65,6,1,5,0.571104,1.35947744,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
139,출산장려정책,0.42,-0.03,10,1,11,0.067107,0.52804227,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
33,LED,0.36,2.12,16,2,21,0.455069,1.09266109,"5,778.01",-94.33,-1.61,2026-04-09 15:45:21
