theme_no,테마명,테마등락률,종목코드,종목명,종목명.1,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,토론,Unnamed: 11,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
310,리츠(REITs),-4.41,145270,케이탑리츠,테마 편입 사유,902.0,보합0,0.0,901.0,902.0,89738.0,80.0,34619.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
310,리츠(REITs),-4.41,0030R0,대신밸류리츠,테마 편입 사유,4365.0,하락  55,-1.24,4345.0,4365.0,218603.0,948.0,95995.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
310,리츠(REITs),-4.41,357250,미래에셋맵스리츠,테마 편입 사유,2420.0,하락  35,-1.43,2410.0,2420.0,78906.0,190.0,16081.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
310,리츠(REITs),-4.41,396690,미래에셋글로벌리츠,테마 편입 사유,2255.0,하락  35,-1.53,2250.0,2255.0,187006.0,420.0,241445.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
310,리츠(REITs),-4.41,417310,코람코더원리츠,테마 편입 사유,10240.0,하락  190,-1.82,10230.0,10270.0,163380.0,1676.0,91706.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
310,리츠(REITs),-4.41,350520,이지스레지던스리츠,테마 편입 사유,3930.0,하락  80,-2.0,3915.0,3930.0,87045.0,343.0,98777.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
310,리츠(REITs),-4.41,338100,NH프라임리츠,테마 편입 사유,4735.0,하락  130,-2.67,4730.0,4745.0,188061.0,895.0,65311.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
310,리츠(REITs),-4.41,432320,KB스타리츠,테마 편입 사유,2140.0,하락  65,-2.95,2145.0,2150.0,770425.0,1662.0,452997.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
310,리츠(REITs),-4.41,481850,신한글로벌액티브리츠,테마 편입 사유,1150.0,하락  38,-3.2,1150.0,1155.0,202977.0,231.0,151877.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
310,리츠(REITs),-4.41,400760,NH올원리츠,테마 편입 사유,3380.0,하락  120,-3.43,3380.0,3390.0,329404.0,1117.0,202530.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
310,리츠(REITs),-4.41,357120,코람코라이프인프라리츠,테마 편입 사유,4650.0,하락  200,-4.12,4650.0,4655.0,321226.0,1498.0,189237.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
310,리츠(REITs),-4.41,334890,이지스밸류플러스리츠,테마 편입 사유,4170.0,하락  190,-4.36,4170.0,4190.0,450910.0,1904.0,125375.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
310,리츠(REITs),-4.41,365550,ESR켄달스퀘어리츠,테마 편입 사유,4380.0,하락  200,-4.37,4380.0,4385.0,874996.0,3864.0,400705.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
310,리츠(REITs),-4.41,293940,신한알파리츠,테마 편입 사유,5900.0,하락  270,-4.38,5900.0,5910.0,513033.0,3058.0,284763.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
310,리츠(REITs),-4.41,404990,신한서부티엔디리츠,테마 편입 사유,4585.0,하락  285,-5.85,4570.0,4600.0,209034.0,972.0,209063.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
310,리츠(REITs),-4.41,395400,SK리츠,테마 편입 사유,6570.0,하락  420,-6.01,6550.0,6580.0,878070.0,5820.0,694101.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
310,리츠(REITs),-4.41,448730,삼성FN리츠,테마 편입 사유,6240.0,하락  430,-6.45,6230.0,6240.0,280083.0,1776.0,159124.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
310,리츠(REITs),-4.41,377190,디앤디플랫폼리츠,테마 편입 사유,3185.0,하락  220,-6.46,3160.0,3165.0,392265.0,1275.0,200678.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
310,리츠(REITs),-4.41,088260,이리츠코크렙,테마 편입 사유,4860.0,하락  360,-6.9,4855.0,4860.0,156159.0,774.0,85300.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
310,리츠(REITs),-4.41,330590,롯데리츠,테마 편입 사유,4365.0,하락  385,-8.11,4355.0,4365.0,980913.0,4389.0,505943.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
310,리츠(REITs),-4.41,357430,마스턴프리미어리츠,테마 편입 사유,1236.0,하락  135,-9.85,1236.0,1237.0,378017.0,475.0,200061.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
310,리츠(REITs),-4.41,451800,한화리츠,테마 편입 사유,5930.0,하락  660,-10.02,5920.0,5930.0,556259.0,3388.0,323604.0,,,0.148746,-4.5215595,"6,690.90",49.88,0.75,2026-04-29 15:46:31
584,스페이스X(SpaceX),-2.38,347700,스피어 *,테마 편입 사유,40600.0,상승  900,2.27,40550.0,40600.0,514081.0,20560.0,897727.0,,,1.139472,-3.234604,"6,690.90",49.88,0.75,2026-04-29 15:46:31
584,스페이스X(SpaceX),-2.38,272290,이녹스첨단소재 *,테마 편입 사유,35350.0,상승  150,0.43,35350.0,35400.0,179088.0,6288.0,268117.0,,,1.139472,-3.234604,"6,690.90",49.88,0.75,2026-04-29 15:46:31
584,스페이스X(SpaceX),-2.38,373220,LG에너지솔루션,테마 편입 사유,473000.0,"상승  1,000",0.21,472000.0,472500.0,306771.0,144278.0,431570.0,,,1.139472,-3.234604,"6,690.90",49.88,0.75,2026-04-29 15:46:31
584,스페이스X(SpaceX),-2.38,001430,세아베스틸지주,테마 편입 사유,73100.0,보합0,0.0,72900.0,73000.0,486199.0,35329.0,246252.0,,,1.139472,-3.234604,"6,690.90",49.88,0.75,2026-04-29 15:46:31
584,스페이스X(SpaceX),-2.38,321370,센서뷰 *,테마 편입 사유,2940.0,보합0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.139472,-3.234604,"6,690.90",49.88,0.75,2026-04-29 15:46:31
584,스페이스X(SpaceX),-2.38,006800,미래에셋증권,테마 편입 사유,67700.0,하락  800,-1.17,67700.0,67800.0,1504748.0,101517.0,2888899.0,,,1.139472,-3.234604,"6,690.90",49.88,0.75,2026-04-29 15:46:31
584,스페이스X(SpaceX),-2.38,295310,에이치브이엠 *,테마 편입 사유,89700.0,"하락  1,600",-1.75,89600.0,89700.0,92857.0,8345.0,254199.0,,,1.139472,-3.234604,"6,690.90",49.88,0.75,2026-04-29 15:46:31
584,스페이스X(SpaceX),-2.38,274090,켄코아에어로스페이스 *,테마 편입 사유,22650.0,하락  550,-2.37,22550.0,22600.0,259485.0,5853.0,449746.0,,,1.139472,-3.234604,"6,690.90",49.88,0.75,2026-04-29 15:46:31
584,스페이스X(SpaceX),-2.38,417010,나노팀 *,테마 편입 사유,11720.0,하락  510,-4.17,11720.0,11760.0,342441.0,4032.0,389076.0,,,1.139472,-3.234604,"6,690.90",49.88,0.75,2026-04-29 15:46:31
584,스페이스X(SpaceX),-2.38,209640,와이제이링크 *,테마 편입 사유,8580.0,하락  470,-5.19,8600.0,8610.0,4287786.0,36153.0,5105617.0,,,1.139472,-3.234604,"6,690.90",49.88,0.75,2026-04-29 15:46:31
584,스페이스X(SpaceX),-2.38,100790,미래에셋벤처투자 *,테마 편입 사유,57000.0,"하락  3,300",-5.47,56900.0,57000.0,3475382.0,194418.0,1630092.0,,,1.139472,-3.234604,"6,690.90",49.88,0.75,2026-04-29 15:46:31
584,스페이스X(SpaceX),-2.38,027360,아주IB투자 *,테마 편입 사유,16580.0,"하락  2,120",-11.34,16580.0,16590.0,48533684.0,807769.0,12996616.0,,,1.139472,-3.234604,"6,690.90",49.88,0.75,2026-04-29 15:46:31
119,창투사,-2.08,026890,스틱인베스트먼트,테마 편입 사유,10560.0,상승  850,8.75,10590.0,10600.0,395815.0,4130.0,62074.0,,,0.368216,-2.3561620000000003,"6,690.90",49.88,0.75,2026-04-29 15:46:31
