theme_no,테마명,테마등락률,종목코드,종목명,종목명.1,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,토론,Unnamed: 11,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
154,건설 대표주,6.27,047040,대우건설,테마 편입 사유,32850.0,"상승  4,750",16.9,32850.0,32900.0,94111627.0,3072114.0,17633319.0,,,0.784495,4.136173599999999,"6,388.47",169.38,2.72,2026-04-21 15:35:03
154,건설 대표주,6.27,006360,GS건설,테마 편입 사유,43100.0,"상승  5,050",13.27,43100.0,43150.0,10077785.0,425058.0,1299270.0,,,0.784495,4.136173599999999,"6,388.47",169.38,2.72,2026-04-21 15:35:03
154,건설 대표주,6.27,375500,DL이앤씨,테마 편입 사유,100600.0,"상승  5,100",5.34,100500.0,100700.0,2159706.0,217835.0,714031.0,,,0.784495,4.136173599999999,"6,388.47",169.38,2.72,2026-04-21 15:35:03
154,건설 대표주,6.27,028260,삼성물산,테마 편입 사유,304000.0,"상승  4,000",1.33,303000.0,303500.0,303600.0,91940.0,176568.0,,,0.784495,4.136173599999999,"6,388.47",169.38,2.72,2026-04-21 15:35:03
154,건설 대표주,6.27,294870,IPARK현대산업개발,테마 편입 사유,23200.0,상승  100,0.43,23100.0,23150.0,375717.0,8823.0,263449.0,,,0.784495,4.136173599999999,"6,388.47",169.38,2.72,2026-04-21 15:35:03
154,건설 대표주,6.27,000720,현대건설,테마 편입 사유,174900.0,상승  600,0.34,174600.0,174700.0,1387960.0,244265.0,2193984.0,,,0.784495,4.136173599999999,"6,388.47",169.38,2.72,2026-04-21 15:35:03
63,제지,1.71,078130,국일제지 *,테마 편입 사유,470.0,상한가  108,29.83,470.0,0.0,75763848.0,33720.0,5476782.0,,,0.083505,1.4828664,"6,388.47",169.38,2.72,2026-04-21 15:35:03
63,제지,1.71,001810,무림SP *,테마 편입 사유,1812.0,상승  72,4.14,1809.0,1811.0,4387869.0,8574.0,1846958.0,,,0.083505,1.4828664,"6,388.47",169.38,2.72,2026-04-21 15:35:03
63,제지,1.71,002310,아세아제지,테마 편입 사유,9430.0,상승  140,1.51,9390.0,9400.0,154207.0,1456.0,192536.0,,,0.083505,1.4828664,"6,388.47",169.38,2.72,2026-04-21 15:35:03
63,제지,1.71,001020,페이퍼코리아,테마 편입 사유,680.0,상승  7,1.04,679.0,680.0,164812.0,111.0,244749.0,,,0.083505,1.4828664,"6,388.47",169.38,2.72,2026-04-21 15:35:03
63,제지,1.71,009580,무림P&P,테마 편입 사유,3750.0,상승  5,0.13,3750.0,3755.0,20364526.0,81754.0,24271282.0,,,0.083505,1.4828664,"6,388.47",169.38,2.72,2026-04-21 15:35:03
63,제지,1.71,027970,한국제지,테마 편입 사유,806.0,보합0,0.0,804.0,806.0,302030.0,243.0,129752.0,,,0.083505,1.4828664,"6,388.47",169.38,2.72,2026-04-21 15:35:03
63,제지,1.71,002200,한국수출포장,테마 편입 사유,2995.0,하락  5,-0.17,2990.0,2995.0,216709.0,647.0,233611.0,,,0.083505,1.4828664,"6,388.47",169.38,2.72,2026-04-21 15:35:03
63,제지,1.71,034810,해성산업 *,테마 편입 사유,7650.0,하락  20,-0.26,7630.0,7640.0,36471.0,278.0,20735.0,,,0.083505,1.4828664,"6,388.47",169.38,2.72,2026-04-21 15:35:03
63,제지,1.71,002870,신풍,테마 편입 사유,1176.0,하락  10,-0.84,1160.0,1166.0,181283.0,210.0,137407.0,,,0.083505,1.4828664,"6,388.47",169.38,2.72,2026-04-21 15:35:03
63,제지,1.71,213500,한솔제지,테마 편입 사유,8840.0,하락  90,-1.01,8820.0,8830.0,127208.0,1128.0,146341.0,,,0.083505,1.4828664,"6,388.47",169.38,2.72,2026-04-21 15:35:03
63,제지,1.71,009200,무림페이퍼,테마 편입 사유,2225.0,하락  25,-1.11,2220.0,2225.0,3136329.0,7197.0,2679089.0,,,0.083505,1.4828664,"6,388.47",169.38,2.72,2026-04-21 15:35:03
63,제지,1.71,009460,한창제지,테마 편입 사유,539.0,하락  15,-2.71,537.0,538.0,551612.0,298.0,233849.0,,,0.083505,1.4828664,"6,388.47",169.38,2.72,2026-04-21 15:35:03
63,제지,1.71,004540,깨끗한나라,테마 편입 사유,2030.0,하락  65,-3.1,2025.0,2030.0,201955.0,416.0,84824.0,,,0.083505,1.4828664,"6,388.47",169.38,2.72,2026-04-21 15:35:03
63,제지,1.71,009770,삼정펄프,테마 편입 사유,31700.0,"하락  1,150",-3.5,31700.0,31800.0,1913.0,61.0,1898.0,,,0.083505,1.4828664,"6,388.47",169.38,2.72,2026-04-21 15:35:03
330,페인트,1.46,000860,강남제비스코,테마 편입 사유,16090.0,상승  860,5.65,16060.0,16070.0,49346.0,776.0,45807.0,,,0.111751,1.15603728,"6,388.47",169.38,2.72,2026-04-21 15:35:03
330,페인트,1.46,000390,삼화페인트,테마 편입 사유,9540.0,상승  230,2.47,9540.0,9560.0,1762056.0,17048.0,325126.0,,,0.111751,1.15603728,"6,388.47",169.38,2.72,2026-04-21 15:35:03
330,페인트,1.46,090350,노루페인트,테마 편입 사유,8870.0,상승  200,2.31,8800.0,8810.0,195630.0,1724.0,105604.0,,,0.111751,1.15603728,"6,388.47",169.38,2.72,2026-04-21 15:35:03
330,페인트,1.46,000320,노루홀딩스,테마 편입 사유,22150.0,상승  200,0.91,22050.0,22200.0,10876.0,240.0,20837.0,,,0.111751,1.15603728,"6,388.47",169.38,2.72,2026-04-21 15:35:03
330,페인트,1.46,007210,벽산,테마 편입 사유,2100.0,상승  10,0.48,2090.0,2100.0,405428.0,852.0,325790.0,,,0.111751,1.15603728,"6,388.47",169.38,2.72,2026-04-21 15:35:03
330,페인트,1.46,002380,KCC,테마 편입 사유,555000.0,"상승  1,000",0.18,554000.0,555000.0,40896.0,22574.0,45469.0,,,0.111751,1.15603728,"6,388.47",169.38,2.72,2026-04-21 15:35:03
330,페인트,1.46,006840,AK홀딩스,테마 편입 사유,8510.0,하락  10,-0.12,8500.0,8510.0,7382.0,63.0,9559.0,,,0.111751,1.15603728,"6,388.47",169.38,2.72,2026-04-21 15:35:03
330,페인트,1.46,004910,조광페인트,테마 편입 사유,5000.0,하락  10,-0.2,5010.0,5030.0,44319.0,223.0,14772.0,,,0.111751,1.15603728,"6,388.47",169.38,2.72,2026-04-21 15:35:03
415,그래핀,1.95,078130,국일제지 *,테마 편입 사유,470.0,상한가  108,29.83,470.0,0.0,75763848.0,33720.0,5476782.0,,,0.333319,1.04337232,"6,388.47",169.38,2.72,2026-04-21 15:35:03
415,그래핀,1.95,079980,휴비스,테마 편입 사유,3260.0,상승  85,2.68,3245.0,3250.0,692156.0,2271.0,255529.0,,,0.333319,1.04337232,"6,388.47",169.38,2.72,2026-04-21 15:35:03
415,그래핀,1.95,065500,오리엔트정공 *,테마 편입 사유,2225.0,상승  35,1.6,2215.0,2220.0,184601.0,411.0,192198.0,,,0.333319,1.04337232,"6,388.47",169.38,2.72,2026-04-21 15:35:03
