theme_no,테마명,등락률,평균등락률,상승종목수,보합종목수,하락종목수,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
483,야놀자(Yanolja),4.87,-2.96,2,0,3,0.408392,5.278392,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
62,철강 주요종목,4.22,-0.18,10,0,1,0.210304,4.430304,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
44,시멘트/레미콘,3.42,-0.95,9,1,5,0.161184,3.581184,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
452,코로나19(음압병실/음압구급차),3.14,0.05,4,0,3,0.477986,3.617986,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
546,마이코플라스마 폐렴,2.89,2.47,3,1,8,0.145236,3.0352360000000003,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
590,2026 상반기 신규상장,2.59,0.82,1,1,2,0.5,3.09,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
174,치아 치료(임플란트 등),2.42,-0.19,9,2,3,0.314147,2.734147,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
595,우주태양광(페로브스카이트 등),2.17,0.77,4,0,6,0.5,2.67,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
119,창투사,1.76,-2.21,10,1,9,0.368216,2.128216,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
124,제대혈,1.75,-0.81,5,0,0,0.430958,2.180958,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
159,자동차 대표주,1.73,3.26,2,0,5,0.510147,2.240147,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
178,전선,1.73,2.71,7,0,1,1.020705,2.750705,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
63,제지,1.5,0.3,6,2,6,0.083505,1.583505,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
482,두나무(Dunamu),1.48,-0.1,7,0,4,0.593077,2.073077,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
540,비만치료제,1.46,-0.29,13,1,22,0.215839,1.6758389999999999,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
397,보톡스(보툴리눔톡신),1.43,0.0,4,1,8,0.231463,1.661463,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
30,조선,1.3,-1.17,6,0,1,0.420477,1.720477,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
379,항공기부품,1.17,-0.44,8,1,5,0.563288,1.733288,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
493,mRNA(메신저 리보핵산),1.12,-0.27,8,0,7,-0.002494,1.117506,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
584,스페이스X(SpaceX),1.02,-0.2,4,1,7,1.139472,2.159472,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
321,무선충전기술,1.0,2.75,3,0,9,0.651058,1.651058,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
8,화폐/금융자동화기기(디지털화폐 등),0.87,-0.03,5,0,5,0.425976,1.295976,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
389,면역항암제,0.83,-0.36,13,3,18,0.253966,1.083966,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
448,코로나19(치료제/백신 개발 등),0.74,-0.65,10,1,17,0.265703,1.005703,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
377,치매,0.73,-0.01,21,2,27,0.081769,0.811769,"6,244.13",-63.14,-1.00,2026-02-27 15:36:52
