theme_no,테마명,테마등락률,종목코드,종목명,종목명.1,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,토론,Unnamed: 11,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
390,마이크로 LED,-4.87,038060,루멘스 *,테마 편입 사유,736.0,상승  10,1.38,735.0,737.0,607700.0,453.0,209311.0,,,0.575023,-2.9034213400000004,"5,449.18",-193.03,-3.42,2026-03-26 15:02:35
390,마이크로 LED,-4.87,008290,원풍물산 *,테마 편입 사유,362.0,하락  5,-1.36,362.0,363.0,47436.0,17.0,159190.0,,,0.575023,-2.9034213400000004,"5,449.18",-193.03,-3.42,2026-03-26 15:02:35
390,마이크로 LED,-4.87,066570,LG전자,테마 편입 사유,112400.0,"하락  2,300",-2.01,112800.0,112900.0,490063.0,55366.0,757815.0,,,0.575023,-2.9034213400000004,"5,449.18",-193.03,-3.42,2026-03-26 15:02:35
390,마이크로 LED,-4.87,143540,영우디에스피 *,테마 편입 사유,1305.0,하락  39,-2.9,1305.0,1309.0,241766.0,316.0,1083626.0,,,0.575023,-2.9034213400000004,"5,449.18",-193.03,-3.42,2026-03-26 15:02:35
390,마이크로 LED,-4.87,046890,서울반도체 *,테마 편입 사유,9410.0,하락  390,-3.98,9450.0,9460.0,481333.0,4594.0,550479.0,,,0.575023,-2.9034213400000004,"5,449.18",-193.03,-3.42,2026-03-26 15:02:35
390,마이크로 LED,-4.87,005930,삼성전자,테마 편입 사유,180200.0,"하락  8,800",-4.66,180500.0,180600.0,28769372.0,5246423.0,22995904.0,,,0.575023,-2.9034213400000004,"5,449.18",-193.03,-3.42,2026-03-26 15:02:35
390,마이크로 LED,-4.87,452430,사피엔반도체 *,테마 편입 사유,32550.0,"하락  2,150",-6.2,32500.0,32600.0,56874.0,1893.0,57493.0,,,0.575023,-2.9034213400000004,"5,449.18",-193.03,-3.42,2026-03-26 15:02:35
390,마이크로 LED,-4.87,418420,라온텍 *,테마 편입 사유,5870.0,하락  420,-6.68,5880.0,5900.0,227388.0,1362.0,273822.0,,,0.575023,-2.9034213400000004,"5,449.18",-193.03,-3.42,2026-03-26 15:02:35
390,마이크로 LED,-4.87,089890,코세스 *,테마 편입 사유,22300.0,"하락  1,700",-7.08,22050.0,22100.0,263625.0,5875.0,85391.0,,,0.575023,-2.9034213400000004,"5,449.18",-193.03,-3.42,2026-03-26 15:02:35
390,마이크로 LED,-4.87,017900,광전자,테마 편입 사유,3105.0,하락  290,-8.54,3080.0,3090.0,30505856.0,109588.0,31706353.0,,,0.575023,-2.9034213400000004,"5,449.18",-193.03,-3.42,2026-03-26 15:02:35
