theme_no,테마명,등락률,평균등락률,상승종목수,보합종목수,하락종목수,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
586,광통신(광케이블/광섬유 등),10.5,6.97,10,2,1,0.5,10.93,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
92,통신장비,10.42,5.49,36,2,7,0.60181,10.9375566,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
373,5G(5세대 이동통신),7.79,5.21,41,2,11,0.568068,8.27853848,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
534,페라이트,6.81,1.59,11,2,1,0.261044,7.034497839999999,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
124,제대혈,5.78,1.83,3,0,2,0.430958,6.15062388,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
581,탈 플라스틱(친환경/생분해성 등),5.64,-1.06,7,1,1,0.207469,5.81842334,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
426,양자암호/양자컴퓨팅,5.27,3.28,18,1,5,0.458166,5.66402276,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
56,NI(네트워크통합),5.25,2.1,4,3,0,0.255145,5.4694247,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
171,비철금속,5.11,1.83,17,1,7,0.359222,5.41893092,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
33,LED,5.1,3.28,24,1,14,0.455069,5.49135934,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
18,전자파,5.05,2.32,9,0,3,0.468353,5.45278358,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
390,마이크로 LED,4.66,3.2,4,0,7,0.575023,5.15451978,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
204,비료,4.21,0.57,9,0,1,0.222217,4.40110662,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
408,마리화나(대마),3.9,1.8,7,2,1,0.161438,4.03883668,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
537,초전도체,3.85,2.91,10,1,4,0.567394,4.33795884,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
82,태풍 및 장마,3.84,0.42,7,0,3,0.262217,4.06550662,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
321,무선충전기술,3.79,3.74,4,1,7,0.651058,4.34990988,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
269,LED장비,3.58,2.6,9,0,2,0.732768,4.21018048,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
566,딥페이크(deepfake),3.45,1.79,10,0,4,0.457181,3.84317566,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
559,고체산화물 연료전지(SOFC),3.33,1.59,7,1,3,0.953675,4.1501605,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
170,골판지 제조,3.28,0.25,8,0,2,0.060068,3.3316584799999998,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
580,유심(USIM),3.19,5.27,4,0,1,0.369213,3.5075231799999997,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
66,줄기세포,3.13,1.34,12,2,4,0.343164,3.42512104,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
144,방위산업/전쟁 및 테러,3.12,2.92,36,5,25,0.536835,3.5816781,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
348,삼성페이,2.93,3.08,15,3,8,0.46179,3.3271394,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
106,바이오인식(생체인식),2.89,2.59,14,0,5,0.327651,3.17177986,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
206,농업,2.86,1.57,17,0,6,0.201703,3.03346458,"5,808.62",-50.25,-0.86,2026-04-13 15:34:09
