정기변경일,직전정기변경일,종목코드,종목명,케이스,이전섹터,신규섹터,이전비중_T1,신규비중_T,비중변화량(Δw)_회귀기준,이전비중_prevRebal,이전AUM_cur(백만원),신규AUM_cur(백만원),이전금액(백만원),신규금액(백만원),차이(백만원),차이(억원),이득여부,전날종가(T-1),당일종가(T),종목수익률,코스피수익률(벤치마크),초과수익률,초과승리여부
2026-03-12,2025-09-11,A003030,세아제강지주,중형주→소형주,중형주,소형주,0.00158527,0.00582093,0.00423566,0.00236923,7075582,1458656,16763.7,8490.7,-8272.9,-82.73,0,140600.0,146400.0,0.041252,-0.004759,0.046011,1
2026-03-12,2025-09-11,A019170,신풍제약,중형주→소형주,중형주,소형주,0.00158091,0.00558512,0.0040042,0.00217601,7075582,1458656,15396.6,8146.8,-7249.8,-72.5,0,10960.0,10980.0,0.001825,-0.004759,0.006584,1
2026-03-12,2025-09-11,A005090,SGC에너지,소형주→중형주,소형주,중형주,0.00778592,0.00234899,-0.00543692,0.00353065,1458656,7075582,5150.0,16620.5,11470.5,114.7,1,56500.0,60800.0,0.076106,-0.004759,0.080866,1
2026-03-12,2025-09-11,A336370,솔루스첨단소재,중형주→소형주,중형주,소형주,0.00158469,0.00589834,0.00431365,0.00175521,7075582,1458656,12419.1,8603.6,-3815.5,-38.15,0,8290.0,8750.0,0.055489,-0.004759,0.060248,1
2026-03-12,2025-09-11,A456040,OCI,소형주→중형주,소형주,중형주,0.00714048,0.00212193,-0.00501855,0.00518399,1458656,7075582,7561.7,15013.9,7452.2,74.52,1,83400.0,88400.0,0.059952,-0.004759,0.064711,1
2026-03-12,2025-09-11,A267270,HD건설기계,중형주→대형주,중형주,대형주,0.01679549,0.00155273,-0.01524276,0.00533796,7075582,71405146,37769.2,110873.1,73103.9,731.04,1,128600.0,129000.0,0.00311,-0.004759,0.00787,1
2026-03-12,2025-09-11,A000400,롯데손해보험,소형주→중형주,소형주,중형주,0.00621776,0.00178482,-0.00443294,0.00523833,1458656,7075582,7640.9,12628.6,4987.7,49.88,1,2095.0,2145.0,0.023866,-0.004759,0.028626,1
2026-03-12,2025-09-11,A251270,넷마블,대형주→중형주,대형주,중형주,0.0010712,0.01162503,0.01055382,0.0023477,71405146,7075582,167637.8,82253.8,-85383.9,-853.84,0,52200.0,52900.0,0.01341,-0.004759,0.018169,1
2026-03-12,2025-09-11,A017810,풀무원,중형주→소형주,중형주,소형주,0.00125675,0.0044135,0.00315676,0.00181456,7075582,1458656,12839.1,6437.8,-6401.3,-64.01,0,12110.0,12060.0,-0.004129,-0.004759,0.000631,1
2026-03-12,2025-09-11,A017940,E1,소형주→중형주,소형주,중형주,0.00638999,0.00179334,-0.00459665,0.00559573,1458656,7075582,8162.2,12688.9,4526.7,45.27,1,97400.0,97500.0,0.001027,-0.004759,0.005786,1
2026-03-12,2025-09-11,A130660,한전산업,소형주→중형주,소형주,중형주,0.0066563,0.00188365,-0.00477265,0.00414752,1458656,7075582,6049.8,13327.9,7278.1,72.78,1,21350.0,21550.0,0.009368,-0.004759,0.014127,1
2026-03-12,2025-09-11,A097520,엠씨넥스,중형주→소형주,중형주,소형주,0.0011109,0.00401771,0.00290682,0.00175568,7075582,1458656,12422.5,5860.5,-6562.0,-65.62,0,23450.0,24050.0,0.025586,-0.004759,0.030346,1
2026-03-12,2025-09-11,A195870,해성디에스,소형주→중형주,소형주,중형주,0.00884433,0.00247505,-0.00636929,0.00437014,1458656,7075582,6374.5,17512.4,11137.9,111.38,1,54400.0,54300.0,-0.001838,-0.004759,0.002921,1
2026-03-12,2025-09-11,A002020,코오롱,소형주→중형주,소형주,중형주,0.00724609,0.00198999,-0.0052561,0.00561907,1458656,7075582,8196.3,14080.3,5884.0,58.84,1,58700.0,57500.0,-0.020443,-0.004759,-0.015684,0
2026-03-12,2025-09-11,A348950,제이알글로벌리츠,중형주→소형주,중형주,소형주,0.00085166,0.00307911,0.00222744,0.00192755,7075582,1458656,13638.6,4491.4,-9147.2,-91.47,0,1585.0,1625.0,0.025237,-0.004759,0.029996,1
2026-03-12,2025-09-11,A001510,SK증권,소형주→중형주,소형주,중형주,0.0083613,0.00228716,-0.00607414,0.0034442,1458656,7075582,5023.9,16183.0,11159.1,111.59,1,1850.0,1805.0,-0.024324,-0.004759,-0.019565,0
2026-03-12,2025-09-11,A284740,쿠쿠홈시스,중형주→소형주,중형주,소형주,0.0014843,0.00527733,0.00379303,0.00193363,7075582,1458656,13681.6,7697.8,-5983.7,-59.84,0,24300.0,24500.0,0.00823,-0.004759,0.01299,1
2026-03-12,2025-09-11,A003300,한일홀딩스,중형주→소형주,중형주,소형주,0.00147143,0.00519184,0.0037204,0.00180766,7075582,1458656,12790.2,7573.1,-5217.1,-52.17,0,17530.0,17540.0,0.00057,-0.004759,0.00533,1
2026-03-12,2025-09-11,A090460,비에이치,중형주→소형주,중형주,소형주,0.00161615,0.00568951,0.00407335,0.00197487,7075582,1458656,13973.4,8299.0,-5674.3,-56.74,0,17610.0,17580.0,-0.001704,-0.004759,0.003056,1
2026-03-12,2025-09-11,A001500,현대차증권,소형주→중형주,소형주,중형주,0.00669398,0.00186844,-0.00482554,0.00565236,1458656,7075582,8244.8,13220.3,4975.4,49.75,1,11320.0,11270.0,-0.004417,-0.004759,0.000342,1
2026-03-12,2025-09-11,A051900,LG생활건강,대형주→중형주,대형주,중형주,0.00095019,0.0103189,0.00936871,0.0019916,71405146,7075582,142210.5,73012.3,-69198.2,-691.98,0,248000.0,251500.0,0.014113,-0.004759,0.018872,1
2026-03-12,2025-09-11,A005810,풍산홀딩스,중형주→소형주,중형주,소형주,0.00151697,0.00537715,0.00386017,0.00188585,7075582,1458656,13343.5,7843.4,-5500.1,-55.0,0,38650.0,38850.0,0.005175,-0.004759,0.009934,1
2026-03-12,2025-09-11,A128940,한미약품,중형주→대형주,중형주,대형주,0.01708927,0.00156856,-0.0155207,0.0120968,7075582,71405146,85591.9,112003.6,26411.7,264.12,1,490000.0,488000.0,-0.004082,-0.004759,0.000678,1
2026-03-12,2025-09-11,A001060,JW중외제약,소형주→중형주,소형주,중형주,0.00703717,0.00196358,-0.00507359,0.00549838,1458656,7075582,8020.2,13893.5,5873.2,58.73,1,31600.0,31450.0,-0.004747,-0.004759,1.3e-05,1
2026-03-12,2025-09-11,A036570,엔씨소프트,대형주→중형주,대형주,중형주,0.00113278,0.01224608,0.0111133,0.00192651,71405146,7075582,137562.9,86648.1,-50914.8,-509.15,0,210000.0,212000.0,0.009524,-0.004759,0.014283,1
