정기변경일,직전정기변경일,종목코드,종목명,케이스,이전섹터,신규섹터,이전비중_T1,신규비중_T,비중변화량(Δw)_회귀기준,이전비중_prevRebal,이전AUM_cur(백만원),신규AUM_cur(백만원),이전금액(백만원),신규금액(백만원),차이(백만원),차이(억원),이득여부,전날종가(T-1),당일종가(T),종목수익률,코스닥수익률(벤치마크),초과수익률,초과승리여부
2025-09-11,2025-03-13,A458650,성우,중형주→소형주,중형주,소형주,0.00218782,0.00137686,-0.00081096,0.00380291,1085683,1360212,4128.8,1872.8,-2255.9,-22.56,0,12480.0,12420.0,-0.004808,0.002113,-0.006921,0
2025-09-11,2025-03-13,A445680,큐리옥스바이오시스템즈,소형주→대형주,소형주,대형주,0.00555017,0.00381182,-0.00173835,0.00200018,1360212,3778928,2720.7,14404.6,11683.9,116.84,1,44550.0,48250.0,0.083053,0.002113,0.08094,1
2025-09-11,2025-03-13,A417200,LS머트리얼즈,대형주→중형주,대형주,중형주,0.00328126,0.00780841,0.00452715,0.00416119,3778928,1085683,15724.8,8477.5,-7247.4,-72.47,0,10000.0,10230.0,0.023,0.002113,0.020887,1
2025-09-11,2025-03-13,A475960,토모큐브,소형주→중형주,소형주,중형주,0.00417841,0.00677418,0.00259577,0.00176327,1360212,1085683,2398.4,7354.6,4956.2,49.56,1,42700.0,45300.0,0.06089,0.002113,0.058777,1
2025-09-11,2025-03-13,A194700,노바렉스,소형주→중형주,소형주,중형주,0.0026973,0.00425316,0.00155586,0.00139732,1360212,1085683,1900.6,4617.6,2716.9,27.17,1,19480.0,20100.0,0.031828,0.002113,0.029715,1
2025-09-11,2025-03-13,A126700,하이비젼시스템,중형주→소형주,중형주,소형주,0.00271073,0.00171859,-0.00099214,0.00354343,1085683,1360212,3847.0,2337.6,-1509.4,-15.09,0,15570.0,15610.0,0.002569,0.002113,0.000456,1
2025-09-11,2025-03-13,A183300,코미코,중형주→대형주,중형주,대형주,0.0107136,0.00432438,-0.00638922,0.00718246,1085683,3778928,7797.9,16341.5,8543.6,85.44,1,87900.0,88300.0,0.004551,0.002113,0.002438,1
2025-09-11,2025-03-13,A092460,한라IMS,소형주→중형주,소형주,중형주,0.00234069,0.00355963,0.00121894,0.00132191,1360212,1085683,1798.1,3864.6,2066.6,20.67,1,18530.0,18440.0,-0.004857,0.002113,-0.00697,0
2025-09-11,2025-03-13,A394280,오픈엣지테크놀로지,중형주→소형주,중형주,소형주,0.00312678,0.00199352,-0.00113326,0.00407062,1085683,1360212,4419.4,2711.6,-1707.8,-17.08,0,12180.0,12280.0,0.00821,0.002113,0.006097,1
2025-09-11,2025-03-13,A179290,엠아이텍,중형주→소형주,중형주,소형주,0.00261716,0.00165502,-0.00096215,0.00346088,1085683,1360212,3757.4,2251.2,-1506.2,-15.06,0,6940.0,6940.0,0.0,0.002113,-0.002113,0
2025-09-11,2025-03-13,A333430,일승,소형주→중형주,소형주,중형주,0.00205528,0.00343552,0.00138024,0.00125977,1360212,1085683,1713.5,3729.9,2016.3,20.16,1,9060.0,9910.0,0.093819,0.002113,0.091706,1
