정기변경일,직전정기변경일,종목코드,종목명,케이스,이전섹터,신규섹터,이전비중_T1,신규비중_T,비중변화량(Δw)_회귀기준,이전비중_prevRebal,이전AUM_cur(백만원),신규AUM_cur(백만원),이전금액(백만원),신규금액(백만원),차이(백만원),차이(억원),이득여부,전날종가(T-1),당일종가(T),종목수익률,코스닥수익률(벤치마크),초과수익률,초과승리여부
2023-09-14,2023-03-09,A082270,젬백스,대형주→중형주,대형주,중형주,0.00313636,0.00649472,0.00335837,0.00418474,777035,811047,3251.7,5267.5,2015.8,20.16,1,13250.0,13150.0,-0.007547,0.018975,-0.026523,0
2023-09-14,2023-03-09,A080580,오킨스전자,중형주→소형주,중형주,소형주,0.0010725,0.00067326,-0.00039923,0.00450045,811047,439393,3650.1,295.8,-3354.2,-33.54,0,4955.0,5020.0,0.013118,0.018975,-0.005857,0
2023-09-14,2023-03-09,A065350,신성델타테크,중형주→대형주,중형주,대형주,0.01541106,0.00716239,-0.00824867,0.00384761,811047,777035,3120.6,5565.4,2444.8,24.45,1,45800.0,49000.0,0.069869,0.018975,0.050894,1
2023-09-14,2023-03-09,A204270,제이앤티씨,중형주→대형주,중형주,대형주,0.00839263,0.00356273,-0.0048299,0.00573545,811047,777035,4651.7,2768.4,-1883.3,-18.83,0,11850.0,11580.0,-0.022785,0.018975,-0.04176,0
2023-09-14,2023-03-09,A079810,디이엔티,소형주→대형주,소형주,대형주,0.00525108,0.00456528,-0.0006858,0.00189622,439393,777035,833.2,3547.4,2714.2,27.14,1,31600.0,39000.0,0.234177,0.018975,0.215202,1
2023-09-14,2023-03-09,A270520,앱튼,소형주→중형주,소형주,중형주,0.00348094,0.00582778,0.00234684,0.00191983,439393,811047,843.6,4726.6,3883.0,38.83,1,11040.0,11300.0,0.023551,0.018975,0.004575,1
2023-09-14,2023-03-09,A047310,파워로직스,소형주→중형주,소형주,중형주,0.00209666,0.00370645,0.00160979,0.0015999,439393,811047,703.0,3006.1,2303.1,23.03,1,7800.0,8430.0,0.080769,0.018975,0.061794,1
2023-09-14,2023-03-09,A220260,켐트로스,중형주→소형주,중형주,소형주,0.00227933,0.00141031,-0.00086901,0.00388327,811047,439393,3149.5,619.7,-2529.8,-25.3,0,7010.0,7000.0,-0.001427,0.018975,-0.020402,0
2023-09-14,2023-03-09,A045100,한양이엔지,중형주→소형주,중형주,소형주,0.00333426,0.00209876,-0.0012355,0.00362769,811047,439393,2942.2,922.2,-2020.0,-20.2,0,15130.0,15370.0,0.015863,0.018975,-0.003113,0
2023-09-14,2023-03-09,A083930,아바코,소형주→중형주,소형주,중형주,0.00214112,0.00360305,0.00146193,0.00183629,439393,811047,806.9,2922.2,2115.4,21.15,1,18400.0,18930.0,0.028804,0.018975,0.009829,1
2023-09-14,2023-03-09,A052020,에스티큐브,대형주→중형주,대형주,중형주,0.0031745,0.00702947,0.00385497,0.00534125,777035,811047,4150.3,5701.2,1550.9,15.51,1,11590.0,12300.0,0.06126,0.018975,0.042284,1
2023-09-14,2023-03-09,A039440,에스티아이,소형주→중형주,소형주,중형주,0.00366911,0.00599169,0.00232258,0.00144551,439393,811047,635.1,4859.5,4224.4,42.24,1,30700.0,30650.0,-0.001629,0.018975,-0.020604,0
2023-09-14,2023-03-09,A099190,아이센스,중형주→대형주,중형주,대형주,0.01051148,0.00446379,-0.00604769,0.00670653,811047,777035,5439.3,3468.5,-1970.8,-19.71,0,31200.0,30500.0,-0.022436,0.018975,-0.041411,0
2023-09-14,2023-03-09,A109610,에스와이,소형주→중형주,소형주,중형주,0.00230779,0.00386538,0.0015576,0.0012497,439393,811047,549.1,3135.0,2585.9,25.86,1,6250.0,6400.0,0.024,0.018975,0.005025,1
