정기변경일,직전정기변경일,종목코드,종목명,케이스,이전섹터,신규섹터,이전비중_T1,신규비중_T,비중변화량(Δw)_회귀기준,이전비중_prevRebal,이전AUM_cur(백만원),신규AUM_cur(백만원),이전금액(백만원),신규금액(백만원),차이(백만원),차이(억원),이득여부,전날종가(T-1),당일종가(T),종목수익률,코스닥수익률(벤치마크),초과수익률,초과승리여부
2026-03-12,2025-09-11,A054950,제이브이엠,중형주→소형주,중형주,소형주,0.00247014,0.00211939,-0.00035076,0.00454223,1798344,1238289,8168.5,2624.4,-5544.1,-55.44,0,26400.0,26500.0,0.003788,0.010177,-0.00639,0
2026-03-12,2025-09-11,A010170,대한광통신,소형주→중형주,소형주,중형주,0.0070022,0.00937423,0.00237203,0.00149237,1238289,1798344,1848.0,16858.1,15010.1,150.1,1,7160.0,7670.0,0.071229,0.010177,0.061052,1
2026-03-12,2025-09-11,A073010,케이에스피,중형주→소형주,중형주,소형주,0.00115088,0.00105152,-9.935e-05,0.00362764,1798344,1238289,6523.7,1302.1,-5221.6,-52.22,0,3700.0,3955.0,0.068919,0.010177,0.058741,1
2026-03-12,2025-09-11,A014620,성광벤드,대형주→중형주,대형주,중형주,0.00266044,0.00749427,0.00483383,0.00444492,1960818,1798344,8715.7,13477.3,4761.6,47.62,1,32100.0,35900.0,0.11838,0.010177,0.108203,1
2026-03-12,2025-09-11,A481070,에이유브랜즈,중형주→소형주,중형주,소형주,0.00216982,0.00186405,-0.00030577,0.00345878,1798344,1238289,6220.1,2308.2,-3911.9,-39.12,0,19800.0,19900.0,0.005051,0.010177,-0.005127,0
2026-03-12,2025-09-11,A065660,안트로젠,소형주→중형주,소형주,중형주,0.00342369,0.00456187,0.00113818,0.0018321,1238289,1798344,2268.7,8203.8,5935.1,59.35,1,54400.0,58000.0,0.066176,0.010177,0.055999,1
2026-03-12,2025-09-11,A037460,삼지전자,소형주→중형주,소형주,중형주,0.00244794,0.00295025,0.00050231,0.00137551,1238289,1798344,1703.3,5305.6,3602.3,36.02,1,23850.0,23000.0,-0.035639,0.010177,-0.045817,0
2026-03-12,2025-09-11,A253450,스튜디오드래곤,대형주→중형주,대형주,중형주,0.00368658,0.00930923,0.00562265,0.00650148,1960818,1798344,12748.2,16741.2,3993.0,39.93,1,39300.0,39400.0,0.002545,0.010177,-0.007633,0
2026-03-12,2025-09-11,A290550,디케이티,소형주→중형주,소형주,중형주,0.00238143,0.0028614,0.00047996,0.00126003,1238289,1798344,1560.3,5145.8,3585.5,35.85,1,18930.0,18200.0,-0.038563,0.010177,-0.048741,0
2026-03-12,2025-09-11,A338840,와이바이오로직스,소형주→중형주,소형주,중형주,0.00239619,0.00314375,0.00074755,0.0014187,1238289,1798344,1756.8,5653.5,3896.8,38.97,1,25100.0,26350.0,0.049801,0.010177,0.039623,1
2026-03-12,2025-09-11,A304100,솔트룩스,중형주→소형주,중형주,소형주,0.00206629,0.00177035,-0.00029594,0.00462785,1798344,1238289,8322.5,2192.2,-6130.3,-61.3,0,21200.0,21250.0,0.002358,0.010177,-0.007819,0
2026-03-12,2025-09-11,A452450,피아이이,중형주→소형주,중형주,소형주,0.00157717,0.001322,-0.00025517,0.00325456,1798344,1238289,5852.8,1637.0,-4215.8,-42.16,0,5680.0,5570.0,-0.019366,0.010177,-0.029544,0
2026-03-12,2025-09-11,A416180,신성에스티,중형주→소형주,중형주,소형주,0.00246611,0.00209299,-0.00037312,0.00387054,1798344,1238289,6960.6,2591.7,-4368.8,-43.69,0,35250.0,35000.0,-0.007092,0.010177,-0.01727,0
2026-03-12,2025-09-11,A419530,SAMG엔터,중형주→소형주,중형주,소형주,0.00267172,0.00232334,-0.00034837,0.00584997,1798344,1238289,10520.3,2877.0,-7643.3,-76.43,0,34550.0,35150.0,0.017366,0.010177,0.007189,1
2026-03-12,2025-09-11,A094360,칩스앤미디어,중형주→소형주,중형주,소형주,0.00276558,0.00231734,-0.00044824,0.0039518,1798344,1238289,7106.7,2869.5,-4237.2,-42.37,0,16750.0,16420.0,-0.019701,0.010177,-0.029879,0
2026-03-12,2025-09-11,A327260,RF머트리얼즈,소형주→중형주,소형주,중형주,0.00353064,0.00427304,0.0007424,0.0007413,1238289,1798344,917.9,7684.4,6766.5,67.66,1,66500.0,64400.0,-0.031579,0.010177,-0.041756,0
2026-03-12,2025-09-11,A131290,티에스이,중형주→대형주,중형주,대형주,0.00860346,0.00343493,-0.00516853,0.00506063,1798344,1960818,9100.8,6735.3,-2365.5,-23.65,0,100500.0,110000.0,0.094527,0.010177,0.08435,1
2026-03-12,2025-09-11,A086900,메디톡스,대형주→중형주,대형주,중형주,0.00273552,0.00679832,0.0040628,0.00412765,1960818,1798344,8093.6,12225.7,4132.2,41.32,1,120100.0,118500.0,-0.013322,0.010177,-0.0235,0
2026-03-12,2025-09-11,A317330,덕산테코피아,중형주→소형주,중형주,소형주,0.00274632,0.0023163,-0.00043002,0.00416308,1798344,1238289,7486.6,2868.3,-4618.4,-46.18,0,17330.0,17100.0,-0.013272,0.010177,-0.023449,0
2026-03-12,2025-09-11,A042000,카페24,대형주→중형주,대형주,중형주,0.00219118,0.0055,0.00330881,0.00460426,1960818,1798344,9028.1,9890.9,862.8,8.63,1,28950.0,28850.0,-0.003454,0.010177,-0.013632,0
2026-03-12,2025-09-11,A180400,DXVX,소형주→중형주,소형주,중형주,0.00267758,0.00332693,0.00064935,0.00089213,1238289,1798344,1104.7,5983.0,4878.2,48.78,1,4325.0,4300.0,-0.00578,0.010177,-0.015958,0
2026-03-12,2025-09-11,A089890,코세스,소형주→중형주,소형주,중형주,0.00267567,0.00332433,0.00064866,0.00146152,1238289,1798344,1809.8,5978.3,4168.5,41.69,1,25650.0,25500.0,-0.005848,0.010177,-0.016025,0
2026-03-12,2025-09-11,A437730,삼현,중형주→대형주,중형주,대형주,0.01268672,0.00464562,-0.0080411,0.00767348,1798344,1960818,13799.6,9109.2,-4690.3,-46.9,0,51700.0,51900.0,0.003868,0.010177,-0.006309,0
2026-03-12,2025-09-11,A472850,폰드그룹,중형주→소형주,중형주,소형주,0.00242829,0.00212893,-0.00029936,0.00392652,1798344,1238289,7061.2,2636.2,-4425.0,-44.25,0,5450.0,5590.0,0.025688,0.010177,0.015511,1
2026-03-12,2025-09-11,A0008Z0,에스엔시스,중형주→소형주,중형주,소형주,0.00226397,0.00193828,-0.00032569,0.00517431,1798344,1238289,9305.2,2400.2,-6905.0,-69.05,0,31000.0,31050.0,0.001613,0.010177,-0.008565,0
2026-03-12,2025-09-11,A462350,이노스페이스,소형주→중형주,소형주,중형주,0.00237686,0.00295746,0.00058061,0.00106851,1238289,1798344,1323.1,5318.5,3995.4,39.95,1,18300.0,18220.0,-0.004372,0.010177,-0.014549,0
2026-03-12,2025-09-11,A293490,카카오게임즈,대형주→중형주,대형주,중형주,0.00366228,0.00928087,0.00561859,0.00623056,1960818,1798344,12217.0,16690.2,4473.2,44.73,1,13070.0,13150.0,0.006121,0.010177,-0.004057,0
2026-03-12,2025-09-11,A018310,삼목에스폼,중형주→소형주,중형주,소형주,0.00214335,0.00182817,-0.00031518,0.00374825,1798344,1238289,6740.6,2263.8,-4476.8,-44.77,0,18840.0,18800.0,-0.002123,0.010177,-0.012301,0
2026-03-12,2025-09-11,A402030,코난테크놀로지,중형주→소형주,중형주,소형주,0.00178735,0.00154018,-0.00024717,0.00377111,1798344,1238289,6781.8,1907.2,-4874.6,-48.75,0,18450.0,18600.0,0.00813,0.010177,-0.002047,0
2026-03-12,2025-09-11,A221800,유투바이오,소형주→중형주,소형주,중형주,0.00269567,0.00329374,0.00059807,0.00025781,1238289,1798344,319.2,5923.3,5604.0,56.04,1,26900.0,26300.0,-0.022305,0.010177,-0.032482,0
2026-03-12,2025-09-11,A458870,씨어스테크놀로지,중형주→대형주,중형주,대형주,0.01451158,0.00574822,-0.00876337,0.00821685,1798344,1960818,14776.7,11271.2,-3505.5,-35.06,0,147800.0,160500.0,0.085927,0.010177,0.07575,1
2026-03-12,2025-09-11,A251970,펌텍코리아,대형주→중형주,대형주,중형주,0.00178009,0.00450312,0.00272303,0.00362831,1960818,1798344,7114.5,8098.2,983.7,9.84,1,46000.0,46200.0,0.004348,0.010177,-0.00583,0
2026-03-12,2025-09-11,A101970,우양에이치씨,중형주→소형주,중형주,소형주,0.00141133,0.00125038,-0.00016095,0.00330729,1798344,1238289,5947.6,1548.3,-4399.3,-43.99,0,12330.0,12780.0,0.036496,0.010177,0.026319,1
2026-03-12,2025-09-11,A024060,흥구석유,소형주→중형주,소형주,중형주,0.00240582,0.00306559,0.00065978,0.00138153,1238289,1798344,1710.7,5513.0,3802.3,38.02,1,25500.0,26000.0,0.019608,0.010177,0.00943,1
2026-03-12,2025-09-11,A462860,더즌,중형주→소형주,중형주,소형주,0.00208505,0.00178222,-0.00030283,0.00371377,1798344,1238289,6678.6,2206.9,-4471.7,-44.72,0,3750.0,3750.0,0.0,0.010177,-0.010177,0
2026-03-12,2025-09-11,A093520,매커스,중형주→소형주,중형주,소형주,0.00285536,0.00240787,-0.0004475,0.00388299,1798344,1238289,6983.0,2981.6,-4001.3,-40.01,0,26050.0,25700.0,-0.013436,0.010177,-0.023613,0
2026-03-12,2025-09-11,A136480,하림,중형주→소형주,중형주,소형주,0.00253991,0.00217454,-0.00036538,0.00361887,1798344,1238289,6508.0,2692.7,-3815.3,-38.15,0,3090.0,3095.0,0.001618,0.010177,-0.008559,0
2026-03-12,2025-09-11,A095500,미래나노텍,중형주→소형주,중형주,소형주,0.00231593,0.0019488,-0.00036713,0.00337273,1798344,1238289,6065.3,2413.2,-3652.1,-36.52,0,9650.0,9500.0,-0.015544,0.010177,-0.025721,0
2026-03-12,2025-09-11,A053300,한국정보인증,중형주→소형주,중형주,소형주,0.00197077,0.0017042,-0.00026658,0.00346681,1798344,1238289,6234.5,2110.3,-4124.2,-41.24,0,6000.0,6070.0,0.011667,0.010177,0.001489,1
2026-03-12,2025-09-11,A230240,에치에프알,소형주→중형주,소형주,중형주,0.00177883,0.00288738,0.00110855,0.00168766,1238289,1798344,2089.8,5192.5,3102.7,31.03,1,21250.0,27600.0,0.298824,0.010177,0.288646,1
2026-03-12,2025-09-11,A243070,휴온스,중형주→소형주,중형주,소형주,0.00244762,0.00212384,-0.00032379,0.00423725,1798344,1238289,7620.0,2629.9,-4990.1,-49.9,0,26400.0,26800.0,0.015152,0.010177,0.004974,1
2026-03-12,2025-09-11,A064550,바이오니아,중형주→소형주,중형주,소형주,0.00245694,0.00211376,-0.00034318,0.00423117,1798344,1238289,7609.1,2617.4,-4991.7,-49.92,0,12300.0,12380.0,0.006504,0.010177,-0.003673,0
2026-03-12,2025-09-11,A043150,바텍,중형주→소형주,중형주,소형주,0.00268432,0.0022748,-0.00040951,0.00372054,1798344,1238289,6690.8,2816.9,-3874.0,-38.74,0,23350.0,23150.0,-0.008565,0.010177,-0.018743,0
2026-03-12,2025-09-11,A033500,동성화인텍,대형주→중형주,대형주,중형주,0.00249887,0.00649443,0.00399556,0.00471047,1960818,1798344,9236.4,11679.2,2442.8,24.43,1,26700.0,27550.0,0.031835,0.010177,0.021658,1
2026-03-12,2025-09-11,A348340,뉴로메카,소형주→중형주,소형주,중형주,0.00593266,0.00719078,0.00125811,0.00202365,1238289,1798344,2505.9,12931.5,10425.6,104.26,1,76300.0,74000.0,-0.030144,0.010177,-0.040322,0
2026-03-12,2025-09-11,A018290,브이티,대형주→중형주,대형주,중형주,0.00165422,0.0040842,0.00242997,0.00510327,1960818,1798344,10006.6,7344.8,-2661.8,-26.62,0,15170.0,14870.0,-0.019776,0.010177,-0.029953,0
2026-03-12,2025-09-11,A376900,로킷헬스케어,소형주→대형주,소형주,대형주,0.00955511,0.00451411,-0.005041,0.00189775,1238289,1960818,2350.0,8851.4,6501.4,65.01,1,97000.0,102100.0,0.052577,0.010177,0.0424,1
2026-03-12,2025-09-11,A174900,앱클론,소형주→대형주,소형주,대형주,0.00914878,0.00447751,-0.00467128,0.00174724,1238289,1960818,2163.6,8779.6,6616.0,66.16,1,73000.0,79600.0,0.090411,0.010177,0.080234,1
2026-03-12,2025-09-11,A095610,테스,중형주→대형주,중형주,대형주,0.00996375,0.00353062,-0.00643313,0.00738241,1798344,1960818,13276.1,6922.9,-6353.2,-63.53,0,66500.0,64600.0,-0.028571,0.010177,-0.038749,0
2026-03-12,2025-09-11,A035810,이지홀딩스,소형주→중형주,소형주,중형주,0.00258082,0.00309349,0.00051267,0.0018563,1238289,1798344,2298.6,5563.2,3264.5,32.65,1,6360.0,6100.0,-0.040881,0.010177,-0.051058,0
2026-03-12,2025-09-11,A041190,우리기술투자,대형주→중형주,대형주,중형주,0.00177997,0.00441729,0.00263732,0.00431408,1960818,1798344,8459.1,7943.8,-515.3,-5.15,0,6790.0,6690.0,-0.014728,0.010177,-0.024905,0
2026-03-12,2025-09-11,A336570,원텍,대형주→중형주,대형주,중형주,0.00197103,0.00491504,0.00294401,0.00449427,1960818,1798344,8812.5,8838.9,26.5,0.26,1,7020.0,6950.0,-0.009972,0.010177,-0.020149,0
2026-03-12,2025-09-11,A256840,한국비엔씨,중형주→소형주,중형주,소형주,0.00211729,0.0018324,-0.00028489,0.00393547,1798344,1238289,7077.3,2269.0,-4808.3,-48.08,0,4000.0,4050.0,0.0125,0.010177,0.002323,1
2026-03-12,2025-09-11,A080220,제주반도체,중형주→대형주,중형주,대형주,0.01158202,0.0040935,-0.00748853,0.00708027,1798344,1960818,12732.8,8026.6,-4706.2,-47.06,0,43450.0,42100.0,-0.03107,0.010177,-0.041248,0
2026-03-12,2025-09-11,A357550,석경에이티,중형주→소형주,중형주,소형주,0.00228396,0.00202441,-0.00025954,0.0033727,1798344,1238289,6065.3,2506.8,-3558.5,-35.58,0,54100.0,56100.0,0.036969,0.010177,0.026791,1
2026-03-12,2025-09-11,A466100,클로봇,중형주→대형주,중형주,대형주,0.01125699,0.00399331,-0.00726368,0.00743218,1798344,1960818,13365.6,7830.2,-5535.4,-55.35,0,58200.0,56600.0,-0.027491,0.010177,-0.037669,0
2026-03-12,2025-09-11,A048410,현대바이오,중형주→대형주,중형주,대형주,0.0111715,0.00451424,-0.00665726,0.00617638,1798344,1960818,11107.2,8851.6,-2255.7,-22.56,0,15030.0,16650.0,0.107784,0.010177,0.097607,1
2026-03-12,2025-09-11,A117730,티로보틱스,소형주→중형주,소형주,중형주,0.00293014,0.00361831,0.00068817,0.00160947,1238289,1798344,1993.0,6507.0,4514.0,45.14,1,21000.0,20750.0,-0.011905,0.010177,-0.022082,0
2026-03-12,2025-09-11,A298830,슈어소프트테크,소형주→중형주,소형주,중형주,0.00238057,0.00304653,0.00066595,0.00186486,1238289,1798344,2309.2,5478.7,3169.5,31.69,1,7080.0,7250.0,0.024011,0.010177,0.013834,1
2026-03-12,2025-09-11,A314930,바이오다인,중형주→소형주,중형주,소형주,0.0026951,0.0023332,-0.00036189,0.00495657,1798344,1238289,8913.6,2889.2,-6024.4,-60.24,0,11700.0,11850.0,0.012821,0.010177,0.002643,1
2026-03-12,2025-09-11,A094480,갤럭시아머니트리,중형주→소형주,중형주,소형주,0.00267175,0.00225257,-0.00041918,0.00473147,1798344,1238289,8508.8,2789.3,-5719.5,-57.19,0,8800.0,8680.0,-0.013636,0.010177,-0.023814,0
2026-03-12,2025-09-11,A092730,네오팜,중형주→소형주,중형주,소형주,0.00220674,0.00187776,-0.00032898,0.00356967,1798344,1238289,6419.5,2325.2,-4094.3,-40.94,0,17790.0,17710.0,-0.004497,0.010177,-0.014674,0
2026-03-12,2025-09-11,A460930,현대힘스,대형주→중형주,대형주,중형주,0.00200143,0.00504391,0.00304248,0.00505792,1960818,1798344,9917.7,9070.7,-847.0,-8.47,0,18060.0,18070.0,0.000554,0.010177,-0.009624,0
2026-03-12,2025-09-11,A052400,코나아이,대형주→중형주,대형주,중형주,0.00311325,0.00755533,0.00444209,0.00350449,1960818,1798344,6871.7,13587.1,6715.4,67.15,1,68500.0,66000.0,-0.036496,0.010177,-0.046674,0
2026-03-12,2025-09-11,A234340,헥토파이낸셜,소형주→중형주,소형주,중형주,0.0032117,0.00408517,0.00087346,0.00168406,1238289,1798344,2085.4,7346.5,5261.2,52.61,1,36550.0,37200.0,0.017784,0.010177,0.007606,1
2026-03-12,2025-09-11,A122870,와이지엔터테인먼트,대형주→중형주,대형주,중형주,0.00370983,0.00927071,0.00556088,0.00857556,1960818,1798344,16815.1,16671.9,-143.2,-1.43,0,63600.0,63100.0,-0.007862,0.010177,-0.018039,0
2026-03-12,2025-09-11,A358570,지아이이노베이션,대형주→중형주,대형주,중형주,0.00264611,0.00655912,0.00391301,0.0055538,1960818,1798344,10890.0,11795.5,905.6,9.06,1,13230.0,13020.0,-0.015873,0.010177,-0.02605,0
