정기변경일,직전정기변경일,종목코드,종목명,케이스,이전섹터,신규섹터,이전비중_T1,신규비중_T,비중변화량(Δw)_회귀기준,이전비중_prevRebal,이전AUM_cur(백만원),신규AUM_cur(백만원),이전금액(백만원),신규금액(백만원),차이(백만원),차이(억원),이득여부,전날종가(T-1),당일종가(T),종목수익률,코스피수익률(벤치마크),초과수익률,초과승리여부
2024-03-14,2023-09-14,A008770,호텔신라,대형주→중형주,대형주,중형주,0.00131022,0.00937815,0.00806793,0.00203694,20915496,5758902,42603.6,54007.8,11404.2,114.04,1,59000.0,58200.0,-0.013559,0.009352,-0.022911,0
2024-03-14,2023-09-14,A011810,STX,중형주→소형주,중형주,소형주,0.00113247,0.00335212,0.00221965,0.00479745,5758902,642652,27628.0,2154.2,-25473.8,-254.74,0,8670.0,9320.0,0.074971,0.009352,0.065619,1
2024-03-14,2023-09-14,A383220,F&F,대형주→중형주,대형주,중형주,0.00147821,0.01066311,0.0091849,0.0026385,20915496,5758902,55185.5,61407.8,6222.3,62.22,1,68200.0,67800.0,-0.005865,0.009352,-0.015217,0
2024-03-14,2023-09-14,A006260,LS,대형주→중형주,대형주,중형주,0.00179823,0.01339185,0.01159361,0.00189991,20915496,5758902,39737.6,77122.3,37384.7,373.85,1,98700.0,101300.0,0.026342,0.009352,0.016991,1
2024-03-14,2023-09-14,A403550,쏘카,소형주→중형주,소형주,중형주,0.00786195,0.0027798,-0.00508215,0.00500515,642652,5758902,3216.6,16008.6,12792.0,127.92,1,20750.0,20650.0,-0.004819,0.009352,-0.014171,0
2024-03-14,2023-09-14,A200880,서연이화,소형주→중형주,소형주,중형주,0.0061248,0.00220715,-0.00391766,0.00501293,642652,5758902,3221.6,12710.7,9489.2,94.89,1,19610.0,19890.0,0.014278,0.009352,0.004927,1
2024-03-14,2023-09-14,A001390,KG케미칼,중형주→소형주,중형주,소형주,0.00173863,0.00480331,0.00306469,0.00248661,5758902,642652,14320.1,3086.9,-11233.3,-112.33,0,6030.0,6050.0,0.003317,0.009352,-0.006035,0
2024-03-14,2023-09-14,A018250,애경산업,중형주→소형주,중형주,소형주,0.00172049,0.00478343,0.00306294,0.00259625,5758902,642652,14951.5,3074.1,-11877.5,-118.77,0,15470.0,15620.0,0.009696,0.009352,0.000344,1
2024-03-14,2023-09-14,A003570,SNT다이내믹스,소형주→중형주,소형주,중형주,0.00657846,0.00227718,-0.00430128,0.00454961,642652,5758902,2923.8,13114.1,10190.3,101.9,1,17120.0,16680.0,-0.025701,0.009352,-0.035053,0
2024-03-14,2023-09-14,A003520,영진약품,중형주→소형주,중형주,소형주,0.00157501,0.00434752,0.00277251,0.00197459,5758902,642652,11371.5,2793.9,-8577.5,-85.78,0,2045.0,2050.0,0.002445,0.009352,-0.006907,0
2024-03-14,2023-09-14,A006740,블루산업개발,중형주→소형주,중형주,소형주,0.0003954,0.00108875,0.00069336,0.00900922,5758902,642652,51883.2,699.7,-51183.5,-511.84,0,2020.0,2020.0,0.0,0.009352,-0.009352,0
2024-03-14,2023-09-14,A007690,국도화학,중형주→소형주,중형주,소형주,0.00148173,0.00408006,0.00259833,0.001965,5758902,642652,11316.2,2622.1,-8694.2,-86.94,0,39050.0,39050.0,0.0,0.009352,-0.009352,0
2024-03-14,2023-09-14,A039490,키움증권,중형주→대형주,중형주,대형주,0.01445699,0.00196115,-0.01249584,0.01154014,5758902,20915496,66458.5,41018.5,-25440.0,-254.4,0,130900.0,134700.0,0.02903,0.009352,0.019678,1
2024-03-14,2023-09-14,A229640,LS에코에너지,소형주→중형주,소형주,중형주,0.00639125,0.00226445,-0.0041268,0.00308593,642652,5758902,1983.2,13040.8,11057.6,110.58,1,18060.0,18010.0,-0.002769,0.009352,-0.01212,0
