정기변경일,직전정기변경일,종목코드,종목명,케이스,이전섹터,신규섹터,이전비중_T1,신규비중_T,비중변화량(Δw)_회귀기준,이전비중_prevRebal,이전AUM_cur(백만원),신규AUM_cur(백만원),이전금액(백만원),신규금액(백만원),차이(백만원),차이(억원),이득여부,전날종가(T-1),당일종가(T),종목수익률,코스피수익률(벤치마크),초과수익률,초과승리여부
2025-09-11,2025-03-13,A278470,에이피알,중형주→대형주,중형주,대형주,0.02752553,0.0038028,-0.02372272,0.01018295,6674587,29806250,67967.0,113347.3,45380.3,453.8,1,227500.0,229500.0,0.008791,0.008951,-0.00016,0
2025-09-11,2025-03-13,A019170,신풍제약,소형주→중형주,소형주,중형주,0.00699851,0.00217601,-0.0048225,0.00518842,912216,6674587,4733.0,14524.0,9791.0,97.91,1,12830.0,12700.0,-0.010133,0.008951,-0.019084,0
2025-09-11,2025-03-13,A249420,일동제약,소형주→중형주,소형주,중형주,0.00759889,0.00236847,-0.00523042,0.00382894,912216,6674587,3492.8,15808.6,12315.8,123.16,1,23800.0,23150.0,-0.027311,0.008951,-0.036262,0
2025-09-11,2025-03-13,A456040,OCI,중형주→소형주,중형주,소형주,0.0015887,0.00518399,0.00359528,0.00211523,6674587,912216,14118.3,4728.9,-9389.3,-93.89,0,54900.0,55300.0,0.007286,0.008951,-0.001666,0
2025-09-11,2025-03-13,A178920,PI첨단소재,중형주→소형주,중형주,소형주,0.00164693,0.00534127,0.00369433,0.0022037,6674587,912216,14708.8,4872.4,-9836.4,-98.36,0,17350.0,17370.0,0.001153,0.008951,-0.007799,0
2025-09-11,2025-03-13,A000400,롯데손해보험,중형주→소형주,중형주,소형주,0.00163812,0.00523833,0.00360021,0.0023213,6674587,912216,15493.7,4778.5,-10715.2,-107.15,0,1633.0,1612.0,-0.01286,0.008951,-0.021811,0
2025-09-11,2025-03-13,A002960,한국쉘석유,소형주→중형주,소형주,중형주,0.00563445,0.00177613,-0.00385832,0.00482832,912216,6674587,4404.5,11854.9,7450.5,74.5,1,421000.0,422500.0,0.003563,0.008951,-0.005389,0
2025-09-11,2025-03-13,A089590,제주항공,중형주→소형주,중형주,소형주,0.00172039,0.00553085,0.00381046,0.00231896,6674587,912216,15478.1,5045.3,-10432.8,-104.33,0,6600.0,6550.0,-0.007576,0.008951,-0.016527,0
2025-09-11,2025-03-13,A241590,화승엔터프라이즈,중형주→소형주,중형주,소형주,0.00138074,0.00446646,0.00308572,0.00204333,6674587,912216,13638.4,4074.4,-9564.0,-95.64,0,7050.0,7040.0,-0.001418,0.008951,-0.01037,0
2025-09-11,2025-03-13,A450080,에코프로머티,대형주→중형주,대형주,중형주,0.00153235,0.01108101,0.00954867,0.0029576,29806250,6674587,88154.8,73961.2,-14193.7,-141.94,0,48750.0,49000.0,0.005128,0.008951,-0.003823,0
2025-09-11,2025-03-13,A322000,HD현대에너지솔루션,소형주→중형주,소형주,중형주,0.00584591,0.00182176,-0.00402415,0.00339368,912216,6674587,3095.8,12159.5,9063.7,90.64,1,50700.0,50300.0,-0.00789,0.008951,-0.016841,0
2025-09-11,2025-03-13,A014830,유니드,중형주→소형주,중형주,소형주,0.00170412,0.0055487,0.00384459,0.00211286,6674587,912216,14102.5,5061.6,-9040.9,-90.41,0,77900.0,78300.0,0.005135,0.008951,-0.003817,0
2025-09-11,2025-03-13,A306200,세아제강,중형주→소형주,중형주,소형주,0.00124319,0.00398268,0.00273949,0.00230826,6674587,912216,15406.7,3633.1,-11773.6,-117.74,0,135600.0,134100.0,-0.011062,0.008951,-0.020013,0
2025-09-11,2025-03-13,A097520,엠씨넥스,소형주→중형주,소형주,중형주,0.00552466,0.00175568,-0.00376897,0.00513456,912216,6674587,4683.8,11718.5,7034.6,70.35,1,29850.0,30200.0,0.011725,0.008951,0.002774,1
2025-09-11,2025-03-13,A195870,해성디에스,중형주→소형주,중형주,소형주,0.0013463,0.00437014,0.00302384,0.00199458,6674587,912216,13313.0,3986.5,-9326.5,-93.27,0,24500.0,24550.0,0.002041,0.008951,-0.006911,0
2025-09-11,2025-03-13,A344820,KCC글라스,중형주→소형주,중형주,소형주,0.00152547,0.00496673,0.00344126,0.0020286,6674587,912216,13540.1,4530.7,-9009.3,-90.09,0,29550.0,29700.0,0.005076,0.008951,-0.003875,0
2025-09-11,2025-03-13,A001040,CJ,중형주→대형주,중형주,대형주,0.01753262,0.00243341,-0.01509921,0.01288006,6674587,29806250,85969.1,72530.8,-13438.3,-134.38,0,185900.0,188400.0,0.013448,0.008951,0.004497,1
2025-09-11,2025-03-13,A002710,TCC스틸,중형주→소형주,중형주,소형주,0.00145742,0.00471296,0.00325554,0.00289033,6674587,912216,19291.8,4299.2,-14992.5,-149.93,0,17200.0,17170.0,-0.001744,0.008951,-0.010696,0
2025-09-11,2025-03-13,A284740,쿠쿠홈시스,소형주→중형주,소형주,중형주,0.00627144,0.00193363,-0.00433781,0.00574858,912216,6674587,5243.9,12906.2,7662.2,76.62,1,27150.0,26650.0,-0.018416,0.008951,-0.027368,0
2025-09-11,2025-03-13,A016800,퍼시스,중형주→소형주,중형주,소형주,0.001604,0.00514186,0.00353786,0.00198792,6674587,912216,13268.5,4690.5,-8578.0,-85.78,0,43150.0,42700.0,-0.010429,0.008951,-0.01938,0
2025-09-11,2025-03-13,A003300,한일홀딩스,소형주→중형주,소형주,중형주,0.00565015,0.00180766,-0.00384249,0.00519485,912216,6674587,4738.8,12065.4,7326.6,73.27,1,17800.0,18130.0,0.018539,0.008951,0.009588,1
2025-09-11,2025-03-13,A009410,태영건설,중형주→소형주,중형주,소형주,0.00171998,0.00551007,0.00379009,0.00295742,6674587,912216,19739.5,5026.4,-14713.1,-147.13,0,1807.0,1787.0,-0.011068,0.008951,-0.02002,0
2025-09-11,2025-03-13,A272450,진에어,중형주→소형주,중형주,소형주,0.00143422,0.00470071,0.00326649,0.00203027,6674587,912216,13551.2,4288.1,-9263.1,-92.63,0,8500.0,8600.0,0.011765,0.008951,0.002813,1
2025-09-11,2025-03-13,A093050,LF,소형주→중형주,소형주,중형주,0.00565928,0.00175871,-0.00390057,0.00534052,912216,6674587,4871.7,11738.7,6867.0,68.67,1,18800.0,18600.0,-0.010638,0.008951,-0.01959,0
2025-09-11,2025-03-13,A175330,JB금융지주,중형주→대형주,중형주,대형주,0.01507878,0.00210315,-0.01297563,0.01285955,6674587,29806250,85832.2,62686.9,-23145.3,-231.45,0,24400.0,24850.0,0.018443,0.008951,0.009491,1
2025-09-11,2025-03-13,A005810,풍산홀딩스,소형주→중형주,소형주,중형주,0.00604093,0.00188585,-0.00415508,0.00491353,912216,6674587,4482.2,12587.3,8105.1,81.05,1,40700.0,40450.0,-0.006143,0.008951,-0.015094,0
2025-09-11,2025-03-13,A011790,SKC,대형주→중형주,대형주,중형주,0.00167995,0.01241705,0.0107371,0.00289077,29806250,6674587,86163.1,82878.7,-3284.4,-32.84,0,98700.0,101400.0,0.027356,0.008951,0.018404,1
2025-09-11,2025-03-13,A192650,드림텍,중형주→소형주,중형주,소형주,0.00144965,0.00478261,0.00333295,0.00195043,6674587,912216,13018.3,4362.8,-8655.6,-86.56,0,6510.0,6630.0,0.018433,0.008951,0.009482,1
2025-09-11,2025-03-13,A007660,이수페타시스,중형주→대형주,중형주,대형주,0.01755938,0.00242428,-0.0151351,0.01172611,6674587,29806250,78267.0,72258.7,-6008.2,-60.08,0,74000.0,74600.0,0.008108,0.008951,-0.000843,0
2025-09-11,2025-03-13,A460860,동국제강,중형주→소형주,중형주,소형주,0.00160995,0.0050387,0.00342875,0.00195751,6674587,912216,13065.6,4596.4,-8469.2,-84.69,0,10040.0,9700.0,-0.033865,0.008951,-0.042816,0
