정기변경일,직전정기변경일,종목코드,종목명,케이스,이전섹터,신규섹터,이전비중_T1,신규비중_T,비중변화량(Δw)_회귀기준,이전비중_prevRebal,이전AUM_cur(백만원),신규AUM_cur(백만원),이전금액(백만원),신규금액(백만원),차이(백만원),차이(억원),이득여부,전날종가(T-1),당일종가(T),종목수익률,코스닥수익률(벤치마크),초과수익률,초과승리여부
2026-03-12,2025-09-11,A376300,디어유,대형주→중형주,대형주,중형주,0.00302626,0.00737986,0.00435359,0.00524561,1960818,1798344,10285.7,13271.5,2985.8,29.86,1,40850.0,39550.0,-0.031824,0.010177,-0.042001,0
2026-03-12,2025-09-11,A189300,인텔리안테크,중형주→대형주,중형주,대형주,0.01164225,0.00431342,-0.00732883,0.00580059,1798344,1960818,10431.5,8457.8,-1973.6,-19.74,0,140100.0,142300.0,0.015703,0.010177,0.005526,1
2026-03-12,2025-09-11,A067160,SOOP,대형주→중형주,대형주,중형주,0.00230302,0.00570137,0.00339835,0.00422447,1960818,1798344,8283.4,10253.0,1969.6,19.7,1,64200.0,63100.0,-0.017134,0.010177,-0.027311,0
2026-03-12,2025-09-11,A056190,에스에프에이,대형주→중형주,대형주,중형주,0.00327225,0.00828435,0.0050121,0.00392546,1960818,1798344,7697.1,14898.1,7201.0,72.01,1,29200.0,29350.0,0.005137,0.010177,-0.00504,0
2026-03-12,2025-09-11,A080580,오킨스전자,소형주→중형주,소형주,중형주,0.00250226,0.00307379,0.00057152,0.00110913,1238289,1798344,1373.4,5527.7,4154.3,41.54,1,19330.0,19000.0,-0.017072,0.010177,-0.027249,0
2026-03-12,2025-09-11,A468530,프로티나,소형주→중형주,소형주,중형주,0.00538065,0.00724894,0.00186829,0.00185046,1238289,1798344,2291.4,13036.1,10744.7,107.45,1,78200.0,84300.0,0.078005,0.010177,0.067828,1
2026-03-12,2025-09-11,A137400,피엔티,대형주→중형주,대형주,중형주,0.00360796,0.00912482,0.00551687,0.00427957,1960818,1798344,8391.5,16409.6,8018.1,80.18,1,48800.0,49000.0,0.004098,0.010177,-0.006079,0
2026-03-12,2025-09-11,A187660,현대ADM,소형주→중형주,소형주,중형주,0.00634938,0.00793506,0.00158568,0.00099033,1238289,1798344,1226.3,14270.0,13043.7,130.44,1,18200.0,18200.0,0.0,0.010177,-0.010177,0
2026-03-12,2025-09-11,A101360,에코앤드림,중형주→소형주,중형주,소형주,0.00252038,0.00212373,-0.00039664,0.00404351,1798344,1238289,7271.6,2629.8,-4641.8,-46.42,0,18310.0,18050.0,-0.0142,0.010177,-0.024377,0
2026-03-12,2025-09-11,A204270,제이앤티씨,대형주→중형주,대형주,중형주,0.00338318,0.00827586,0.00489269,0.00518637,1960818,1798344,10169.5,14882.8,4713.3,47.13,1,18740.0,18200.0,-0.028815,0.010177,-0.038993,0
2026-03-12,2025-09-11,A417200,LS머트리얼즈,중형주→대형주,중형주,대형주,0.00924114,0.00357332,-0.00566781,0.00780841,1798344,1960818,14042.2,7006.6,-7035.6,-70.36,0,17650.0,18710.0,0.060057,0.010177,0.049879,1
2026-03-12,2025-09-11,A194700,노바렉스,중형주→소형주,중형주,소형주,0.00190288,0.00163396,-0.00026892,0.00425316,1798344,1238289,7648.6,2023.3,-5625.3,-56.25,0,13110.0,13170.0,0.004577,0.010177,-0.005601,0
2026-03-12,2025-09-11,A183300,코미코,대형주→중형주,대형주,중형주,0.00355183,0.00936556,0.00581373,0.00432438,1960818,1798344,8479.3,16842.5,8363.2,83.63,1,108800.0,113900.0,0.046875,0.010177,0.036698,1
2026-03-12,2025-09-11,A033790,피노,소형주→중형주,소형주,중형주,0.00243067,0.0030484,0.00061773,0.00205787,1238289,1798344,2548.2,5482.1,2933.8,29.34,1,5680.0,5700.0,0.003521,0.010177,-0.006656,0
