정기변경일,직전정기변경일,종목코드,종목명,케이스,이전섹터,신규섹터,이전비중_T1,신규비중_T,비중변화량(Δw)_회귀기준,이전비중_prevRebal,이전AUM_cur(백만원),신규AUM_cur(백만원),이전금액(백만원),신규금액(백만원),차이(백만원),차이(억원),이득여부,전날종가(T-1),당일종가(T),종목수익률,코스닥수익률(벤치마크),초과수익률,초과승리여부
2025-03-13,2024-09-12,A056080,유진로봇,소형주→중형주,소형주,중형주,0.00262223,0.00408442,0.00146218,0.00196863,301085,778361,592.7,3179.2,2586.4,25.86,1,7910.0,7810.0,-0.012642,-0.009171,-0.003471,0
2025-03-13,2024-09-12,A065500,오리엔트정공,소형주→중형주,소형주,중형주,0.00205905,0.00337659,0.00131754,0.00033792,301085,778361,101.7,2628.2,2526.5,25.26,1,7340.0,7630.0,0.03951,-0.009171,0.04868,1
2025-03-13,2024-09-12,A048410,현대바이오,대형주→중형주,대형주,중형주,0.0032282,0.00781294,0.00458474,0.00447978,3381521,778361,15148.5,6081.3,-9067.2,-90.67,0,11710.0,11670.0,-0.003416,-0.009171,0.005755,1
2025-03-13,2024-09-12,A117730,티로보틱스,소형주→중형주,소형주,중형주,0.00234309,0.00357221,0.00122912,0.0013256,301085,778361,399.1,2780.5,2381.4,23.81,1,14590.0,14100.0,-0.033585,-0.009171,-0.024414,0
2025-03-13,2024-09-12,A460930,현대힘스,중형주→대형주,중형주,대형주,0.0078778,0.00323955,-0.00463825,0.00561808,778361,3381521,4372.9,10954.6,6581.7,65.82,1,16410.0,16310.0,-0.006094,-0.009171,0.003077,1
2025-03-13,2024-09-12,A052400,코나아이,소형주→중형주,소형주,중형주,0.00347493,0.0055225,0.00204756,0.00197062,301085,778361,593.3,4298.5,3705.2,37.05,1,27000.0,27200.0,0.007407,-0.009171,0.016578,1
2025-03-13,2024-09-12,A222080,씨아이에스,대형주→중형주,대형주,중형주,0.0033446,0.00785274,0.00450814,0.00406391,3381521,778361,13742.2,6112.3,-7629.9,-76.3,0,7530.0,7280.0,-0.033201,-0.009171,-0.02403,0
2025-03-13,2024-09-12,A045660,에이텍,소형주→중형주,소형주,중형주,0.0023067,0.00366196,0.00135527,0.00108953,301085,778361,328.0,2850.3,2522.3,25.22,1,31600.0,31800.0,0.006329,-0.009171,0.0155,1
2025-03-13,2024-09-12,A950170,JTC,소형주→중형주,소형주,중형주,0.00235968,0.00367923,0.00131955,0.00197294,301085,778361,594.0,2863.8,2269.7,22.7,1,5160.0,5100.0,-0.011628,-0.009171,-0.002457,0
2025-03-13,2024-09-12,A048870,시너지이노베이션,중형주→소형주,중형주,소형주,0.00301272,0.00190241,-0.00111031,0.00363785,778361,301085,2831.6,572.8,-2258.8,-22.59,0,2685.0,2670.0,-0.005587,-0.009171,0.003584,1
2025-03-13,2024-09-12,A069080,웹젠,대형주→중형주,대형주,중형주,0.00251808,0.00609568,0.00357761,0.00342254,3381521,778361,11573.4,4744.6,-6828.7,-68.29,0,12550.0,12510.0,-0.003187,-0.009171,0.005984,1
2025-03-13,2024-09-12,A086390,유니테스트,소형주→중형주,소형주,중형주,0.00214412,0.00337362,0.0012295,0.00164692,301085,778361,495.9,2625.9,2130.0,21.3,1,11480.0,11450.0,-0.002613,-0.009171,0.006558,1
2025-03-13,2024-09-12,A226950,올릭스,중형주→대형주,중형주,대형주,0.01160538,0.00469291,-0.00691247,0.00429743,778361,3381521,3345.0,15869.2,12524.2,125.24,1,46350.0,45300.0,-0.022654,-0.009171,-0.013483,0
2025-03-13,2024-09-12,A005160,동국산업,중형주→소형주,중형주,소형주,0.00317854,0.00196466,-0.00121388,0.0047089,778361,301085,3665.2,591.5,-3073.7,-30.74,0,4320.0,4205.0,-0.02662,-0.009171,-0.01745,0
2025-03-13,2024-09-12,A114810,한솔아이원스,중형주→소형주,중형주,소형주,0.00298143,0.00186314,-0.00111829,0.0034555,778361,301085,2689.6,561.0,-2128.7,-21.29,0,7550.0,7430.0,-0.015894,-0.009171,-0.006723,0
2025-03-13,2024-09-12,A014940,오리엔탈정공,소형주→중형주,소형주,중형주,0.00215069,0.00329753,0.00114683,0.00154898,301085,778361,466.4,2566.7,2100.3,21.0,1,5340.0,5190.0,-0.02809,-0.009171,-0.018919,0
2025-03-13,2024-09-12,A368770,파이버프로,소형주→중형주,소형주,중형주,0.00199757,0.00376504,0.00176747,0.00105013,301085,778361,316.2,2930.6,2614.4,26.14,1,6880.0,8220.0,0.194767,-0.009171,0.203938,1
2025-03-13,2024-09-12,A107640,한중엔시에스,중형주→소형주,중형주,소형주,0.0028504,0.00180612,-0.00104428,0.00589753,778361,301085,4590.4,543.8,-4046.6,-40.47,0,23200.0,23150.0,-0.002155,-0.009171,0.007016,1
2025-03-13,2024-09-12,A204620,글로벌텍스프리,소형주→중형주,소형주,중형주,0.00263665,0.00426724,0.00163059,0.00196424,301085,778361,591.4,3321.5,2730.1,27.3,1,4245.0,4355.0,0.025913,-0.009171,0.035084,1
2025-03-13,2024-09-12,A067390,아스트,소형주→중형주,소형주,중형주,0.00258765,0.00396668,0.00137902,0.00169013,301085,778361,508.9,3087.5,2578.6,25.79,1,813.0,790.0,-0.02829,-0.009171,-0.019119,0
2025-03-13,2024-09-12,A083650,비에이치아이,중형주→대형주,중형주,대형주,0.00824349,0.00336382,-0.00487966,0.00349795,778361,3381521,2722.7,11374.8,8652.2,86.52,1,19640.0,19370.0,-0.013747,-0.009171,-0.004577,0
2025-03-13,2024-09-12,A065680,우주일렉트로,소형주→중형주,소형주,중형주,0.00242554,0.00385299,0.00142745,0.00128306,301085,778361,386.3,2999.0,2612.7,26.13,1,28800.0,29000.0,0.006944,-0.009171,0.016115,1
2025-03-13,2024-09-12,A067080,대화제약,소형주→중형주,소형주,중형주,0.00258629,0.0038594,0.00127311,0.00165729,301085,778361,499.0,3004.0,2505.0,25.05,1,15720.0,14870.0,-0.054071,-0.009171,-0.0449,0
2025-03-13,2024-09-12,A161580,필옵틱스,중형주→대형주,중형주,대형주,0.01402478,0.0056424,-0.00838237,0.00661769,778361,3381521,5151.0,19079.9,13929.0,139.29,1,45250.0,44000.0,-0.027624,-0.009171,-0.018454,0
2025-03-13,2024-09-12,A082850,우리바이오,중형주→소형주,중형주,소형주,0.00165631,0.00102672,-0.00062958,0.00353933,778361,301085,2754.9,309.1,-2445.7,-24.46,0,2520.0,2460.0,-0.02381,-0.009171,-0.014639,0
2025-03-13,2024-09-12,A160190,하이젠알앤엠,중형주→대형주,중형주,대형주,0.01483136,0.00594574,-0.00888562,0.00521498,778361,3381521,4059.1,20105.6,16046.5,160.47,1,35400.0,34300.0,-0.031073,-0.009171,-0.021903,0
2025-03-13,2024-09-12,A060720,KH바텍,중형주→소형주,중형주,소형주,0.00303497,0.00191499,-0.00111998,0.00357896,778361,301085,2785.7,576.6,-2209.1,-22.09,0,9450.0,9390.0,-0.006349,-0.009171,0.002822,1
