code,name,n_obs,r_squared,beta_mkt,beta_fx_stable_up,se_fx_stable_up,tstat_fx_stable_up,pval_fx_stable_up,beta_fx_stable_down,se_fx_stable_down,tstat_fx_stable_down,pval_fx_stable_down,beta_fx_normal_up,se_fx_normal_up,tstat_fx_normal_up,pval_fx_normal_up,beta_fx_normal_down,se_fx_normal_down,tstat_fx_normal_down,pval_fx_normal_down,beta_fx_crisis_up,se_fx_crisis_up,tstat_fx_crisis_up,pval_fx_crisis_up,beta_fx_crisis_down,se_fx_crisis_down,tstat_fx_crisis_down,pval_fx_crisis_down,wald_all_f,wald_all_p,wald_stable_asym_f,wald_stable_asym_p,wald_normal_asym_f,wald_normal_asym_p,wald_crisis_asym_f,wald_crisis_asym_p
A005930,삼성전자,1466,0.6993947580114559,1.1475795148637111,0.08318069707187951,0.11811186040298251,0.7042535507279087,0.4812748872855953,0.08341324154484145,0.08028832651833892,1.0389211627893222,0.29884140315795793,0.034999551207183024,0.14549784347305,0.24055030900623522,0.8099036669687554,0.3565487494451027,0.16012536293627508,2.2266850354431234,0.02596833125271638,0.4214192791457876,0.1269587123977571,3.319341155772721,0.0009023012196828209,0.39293198411798447,0.16288689793286504,2.412299510301523,0.01585225322306991,11.439056236010016,0.04333717745247119,2.576869253538539e-06,0.9987191859976938,1.9943036624926578,0.15789162012091273,0.0232175000526658,0.8788928317015914
A000660,SK하이닉스,1466,0.5169168443325649,1.4602127246511478,0.030473869067166336,0.21827413053355474,0.13961282994313273,0.8889659030812149,-0.3342486071970277,0.21361988580549396,-1.5646886334419685,0.11765593495267608,0.4147080637133991,0.3410733805771884,1.2158910291140308,0.22402643588265403,0.17816634551054322,0.2239647567071454,0.7955106335927316,0.42631652790380936,0.7670796617874154,0.29291369793294614,2.6187906786217128,0.008824207586256747,-0.0362775126994038,0.31494825194495696,-0.11518562962446277,0.9082979887574004,11.146550043690224,0.04855051628955626,1.2601542090291802,0.26162190294410365,0.3498603269946269,0.5541922062141111,3.7873082611990245,0.05164263445573397
A105560,KB금융,1466,0.3189076810302415,0.8469505600367849,-0.34772819173103303,0.2202467027798989,-1.5788122470942565,0.11437912862039835,0.18848703135896325,0.1929617011917756,0.9768105805184356,0.3286629369714774,-0.0803132911920507,0.30592201388694046,-0.2625286430734994,0.792913905552476,-0.26250987701631023,0.2143572656744311,-1.224637178452416,0.2207119534170512,-0.8175856291199558,0.2970432462717556,-2.752412786291637,0.005915790126052565,-0.8155257032045351,0.557592250878151,-1.4625843560776988,0.14358114647411854,10.42009142398135,0.06417046222670932,3.106786425160967,0.07796665256073015,0.2105026478187967,0.6463737188011223,1.5734502530767106e-05,0.9968350603666591
A005380,현대차,1466,0.3828945631973144,1.0583735704062713,0.34901621741740196,0.2384604958812192,1.4636227947427076,0.14329704080513267,0.41723042906639374,0.1583062425496181,2.635590500707013,0.00839910248693397,-0.04773625225259051,0.25280977012237554,-0.1888228142032771,0.8502316903345015,0.316124028659567,0.1801857888366644,1.7544337469706255,0.0793562130422164,-0.3369691085364499,0.23839001214489589,-1.4135202456872926,0.15750281284164924,0.3970936922688266,0.2856088029879785,1.390341222380112,0.16442528579178795,10.305912929980902,0.0670170898012658,0.060527383736787024,0.8056643224324601,1.4243855655361681,0.23268290713839096,3.8384695994824254,0.05008922097585384
A034020,두산에너빌리티,1466,0.15804063555054548,1.0605090577762397,-0.21202235121826038,0.43409464965416356,-0.48842424431440307,0.625249372666711,-0.2616061090246078,0.25663012106500754,-1.0193897268915668,0.3080179813352695,-0.165387392369395,0.5303419802801801,-0.31185046351039514,0.7551541707040492,-0.6113168014507578,0.44861694881075703,-1.3626698747590866,0.17298657618572644,-0.30109180352298776,0.4545734169545511,-0.6623612210766194,0.5077397500792317,0.5866920700148961,0.4691938264263734,1.2504258090594478,0.21114404145644672,4.340205774628965,0.5015436028499949,0.00821391999466023,0.92778605384274,0.4452600795780248,0.5045945043491032,2.0172159999260395,0.15552405846146658
A055550,신한지주,1466,0.33006520729450406,0.8010396081875237,-0.29419672112799167,0.16336147191629855,-1.8008941623562815,0.07171956328547288,0.3322256021199314,0.20442287323473618,1.625188007892057,0.10412250487905521,-0.2395105706248369,0.2444082694507334,-0.9799609938039198,0.3271053732221577,0.02366984573469398,0.20179115674204295,0.11729872664812568,0.9066233340538294,-0.5710981880674629,0.2254198672312594,-2.5334864893766014,0.011293409374052227,-0.25831766920248606,0.3306526232364901,-0.7812358077611001,0.4346638169496191,9.112552606139891,0.10465815395717365,5.515643979085695,0.01884713325927772,0.668375110821702,0.41361869153860875,0.7744774769577178,0.3788354632066461
A035420,NAVER,1466,0.2655955301762529,0.8052736298166531,0.00010967178970451835,0.2664932983399851,0.0004115367642926689,0.9996716411788368,-0.9394001494658706,0.237308085618174,-3.9585678128867245,7.540053402575288e-05,0.7381495568484392,0.5002837075896344,1.4754619142103225,0.14008840035735182,-0.2913470354317812,0.22548915135210426,-1.292066752146488,0.19633402870768712,-0.14971558759250114,0.29127316325887015,-0.5140040569389527,0.6072491542591376,-0.6656953786825337,0.28815074391184214,-2.3102330733048495,0.020875253928381594,13.667367574100979,0.01786627875032657,6.772560334093922,0.009256994052043721,3.14069819855672,0.07636111276097549,1.741484211189028,0.1869508772148979
A000270,기아,1466,0.32978843944735325,0.9786461253911095,0.11486500238861921,0.24861002582622707,0.4620288421871905,0.6440606373032904,0.27634323507037395,0.17490795052942854,1.5799352415594097,0.11412169753883977,-0.12276982640785929,0.2975921961554012,-0.4125438368140187,0.6799408569541938,0.36731420410286225,0.21671139698025677,1.694946409008318,0.09008558753167936,-0.6645281836845608,0.30629157055461165,-2.1695934448384557,0.030037658414535588,0.510808437801065,0.27035722534628687,1.889383341417254,0.05884048141888919,12.826163154036513,0.02506342356123559,0.2470075998228269,0.6191900446718346,1.5061555515535845,0.2197266535845743,11.516475432219309,0.0006898205772369118
A402340,SK스퀘어,993,0.4294279310730129,1.7284838071904138,0.315639876162469,0.2849502051853928,1.107701873585629,0.26799058996077585,0.17900831708036824,0.2744599279699957,0.6522202290308029,0.5142591119154352,1.1096518980495054,0.4936826001621957,2.247703074171416,0.024595129855466198,0.26646041589459246,0.3219292555835499,0.827698667558464,0.4078411739279787,0.3167374616732157,0.33115763255717456,0.9564552664161554,0.33884227439590486,0.3599828273874477,0.3810217286925359,0.9447829356680456,0.34476970546922203,3.176083225118941,0.6728599681606358,0.09950970852318387,0.7524187981102487,1.7835288595414105,0.18171659919341104,0.006980206562377224,0.9334161060820731
A012450,한화에어로스페이스,1466,0.1206327909696916,0.8276311129249406,-0.20589584877476297,0.40125304023818,-0.5131321837525397,0.6078588600323607,0.4334695558272861,0.256452678066053,1.690251624963105,0.0909798256020676,0.20800106854994463,0.5168179204321036,0.402464892037873,0.6873419210475656,0.41309246407061606,0.34252757654087923,1.2060122815288572,0.22781275496648934,-0.8268853997615012,0.5725468618262481,-1.4442230931525701,0.14867623096260976,0.005836038678797101,0.3216368409208979,0.018144807858725343,0.9855233323238074,4.7583265544279705,0.44608050383688735,1.590623481389168,0.20723707834373034,0.10394689122963555,0.7471436564088467,1.6847574660723152,0.19429349471404841
