code,name,n_obs,r_squared,beta_mkt,beta_fx_crisis,beta_fx_normal,beta_fx_stable,se_fx_crisis,se_fx_normal,se_fx_stable,tstat_fx_crisis,tstat_fx_normal,tstat_fx_stable,pval_fx_crisis,pval_fx_normal,pval_fx_stable,wald_f,wald_p
A005930,삼성전자,1466,0.6987394979797819,1.1503155600016268,0.08724596578049133,0.21337041739165608,0.41491286170973174,0.06814310674065248,0.1054170134572191,0.11156449665273155,1.2803344307817208,2.0240605419754867,3.7190403233856477,0.20042754349469072,0.0429639228682451,0.0001999811284443114,7.582708190505314,0.02256502595993081
A000660,SK하이닉스,1466,0.515057030707772,1.4506069214191224,-0.17910965861339193,0.2732614073503918,0.36383830993579924,0.13975794922325874,0.1992866597498168,0.2324965044548475,-1.2815704552681302,1.3711976892655153,1.5649194846559908,0.19999336985031224,0.17031333834295648,0.11760178938124057,7.299694555863321,0.025995098500825275
A105560,KB금융,1466,0.31719451727709946,0.8448410090171308,-0.06161151612407286,-0.18161643229187394,-0.8166452296071585,0.14828614231592283,0.1702722921152787,0.36324650794169777,-0.41549072058810366,-1.0666235242132933,-2.248184667306513,0.6777827067706673,0.2861418733924427,0.02456441696341227,3.9399914127663833,0.13945745499063825
A005380,현대차,1466,0.3806399942496892,1.0687428207087017,0.3998798615297879,0.16364669508944601,0.03286992317124416,0.1433879778270299,0.15267851151829848,0.18905578618686525,2.788796296521918,1.0718384235088185,0.1738636189571849,0.005290432926000259,0.2837926115959063,0.8619726449742993,4.231567217331033,0.12053879728942817
A034020,두산에너빌리티,1466,0.1563632377990124,1.0648644838963721,-0.23342873765550393,-0.40217934338402234,0.12451693536325463,0.21742110392974223,0.35298766418466343,0.3298139111230522,-1.0736250227619781,-1.1393580688236873,0.3775369417841138,0.28299077789912785,0.25455383751645777,0.7057746164244303,1.6161948720751287,0.4457052427963979
A055550,신한지주,1466,0.32784412091337234,0.8059968230072858,0.0503489574996448,-0.0893990858345656,-0.40634059716333354,0.1440113658638173,0.15164364287770685,0.2190150581777573,0.3496179429841441,-0.58953401631654,-1.855308947905942,0.7266254432275056,0.5555031002076316,0.06355212117520306,3.2211978151692007,0.19976793570872525
A035420,NAVER,1466,0.26026887360983997,0.7914512600983701,-0.5257243552710994,0.15960094353547827,-0.4346540406521184,0.19758496535647907,0.23640953574261037,0.21417468272340967,-2.6607508031929323,0.6751036629471789,-2.0294370703629854,0.007796663696699924,0.4996099066146552,0.042413792549932994,6.43882567541505,0.03997852525305052
A000270,기아,1466,0.324564764543797,0.9943418153131258,0.22318643458481158,0.1642600625033805,-0.07411377827380854,0.13675365073835818,0.16187228323029074,0.24189344050984507,1.6320327346274621,1.014751007556326,-0.3063901944492459,0.10267259045267024,0.31022453293567254,0.7593075733045334,1.4006947015871267,0.49641284444574496
A402340,SK스퀘어,993,0.42799251746674594,1.7211326249967358,0.23007680121933646,0.6279560351607323,0.3186493451134271,0.17442884745323212,0.25381735192895966,0.24266088373295633,1.3190295331225226,2.4740469096710513,1.3131467264583714,0.18715923929738731,0.013359215438136555,0.18913351123692457,1.7776154884706419,0.41114565142508996
A012450,한화에어로스페이스,1466,0.11898287182127198,0.8370059886436237,0.15141901800617852,0.3323024783247912,-0.4078050286152939,0.22104420510154016,0.28969818099065525,0.3367511284518018,0.6850169084352236,1.1470644281867626,-1.2109982540820552,0.4933332513257065,0.2513549941169896,0.22589607383400878,3.0118888567643056,0.22180771338076685
A068270,셀트리온,1466,0.158129377229851,0.6982072303636406,-0.20465316817737078,-0.22019616161772326,-0.30173588349485864,0.16440570849934172,0.15345901842730097,0.23289115414839087,-1.2448057311719818,-1.4348857686851297,-1.2956090350370375,0.21320316895288904,0.15131965170612263,0.19511021477600754,0.1161308279845602,0.9435882215453123
A028260,삼성물산,1466,0.40429243007199245,1.0255245187517508,-0.0009804254000214234,0.09799422685629341,0.0744457245193,0.1420660239815384,0.17620494510828458,0.15025134529259193,-0.006901195462110142,0.5561377791983776,0.4954745954142915,0.9944936863974739,0.5781166703563119,0.6202651503897696,0.2512274708819791,0.8819554491304987
A086790,하나금융지주,1466,0.31917926581295286,0.8633434628617976,0.03255587547663144,-0.22500814302413455,-0.6793223198600716,0.13955466624330254,0.15888289787190926,0.3244071304557562,0.23328403379843168,-1.4161885642691083,-2.094042504262156,0.8155408557997461,0.156720303187979,0.03625619409700416,5.2424893258298315,0.07271230417316489
A012330,현대모비스,1466,0.3105709853759039,0.9115579486555647,0.28808334918780476,-0.1595048121532447,-0.20600368425847448,0.13752582315842946,0.16529958297270875,0.2238496890682865,2.0947582248312258,-0.964943826746249,-0.9202768389623807,0.03619249043174869,0.3345729481791473,0.35742810919492074,8.427502642737668,0.014790779170895416
A005490,POSCO홀딩스,1466,0.29511949271442506,0.9241664833650968,-0.01789118426623943,-0.7597929103650207,-0.09946953301930699,0.1789224828806992,0.2779939531847371,0.20365836802102694,-0.09999405316864958,-2.7331274715177374,-0.4884136801539976,0.9203490466670537,0.006273604709317677,0.6252568539121787,5.066264048258184,0.0794099166152497
A035720,카카오,1466,0.2461219161018473,0.8544098378408708,-0.5579178756155505,-0.17431332390709844,-0.3255330309542715,0.2793047451276493,0.2764474542673468,0.17448967774200475,-1.9975237991770172,-0.6305477631149518,-1.8656291602280048,0.04576831176670508,0.5283362633224611,0.062093266945729426,1.0444826186538019,0.5931895356833121
A009540,HD한국조선해양,1466,0.2751788469826011,1.0051010274172805,-0.11883598125088635,-0.024614600504168402,-0.3181792809191779,0.16918900980408047,0.1850159598761524,0.24821471230972503,-0.7023859374110497,-0.13304041727343488,-1.2818711588785694,0.48243851277992067,0.894161416229959,0.19988784677705784,1.0147011820281948,0.6020886466069705
A373220,LG에너지솔루션,951,0.17766113420199003,0.7771785451040125,-0.315522300116438,-0.9159677976982682,-0.30417048797916635,0.2098075105003783,0.4553499728459506,0.309626712824031,-1.5038656116930051,-2.011568798332067,-0.9823780551907175,0.13261597301641379,0.04426541124392346,0.3259136333465086,1.4055700095934986,0.4952042353721007
A316140,우리금융지주,1466,0.3437157774041726,0.7580127938803558,0.06296741132206717,-0.13826795715204226,-0.507236242631526,0.12522799812949856,0.13226925647083668,0.24739316531261227,0.502822150498265,-1.0453521917432733,-2.0503243975659937,0.6150893187711,0.295860223984698,0.04033278531136243,5.028081896418556,0.08094050112740812
A267260,HD현대일렉트릭,1466,0.17084388412798535,1.1015255054108886,0.6516997509076455,0.26383060215186455,-0.9508353380799827,0.2268558845478829,0.33625263062373884,0.5190878810374159,2.872747833746803,0.7846201876918151,-1.8317425099189446,0.004069187720449448,0.4326762901611162,0.06698979206091976,8.003780276846564,0.018281052492758618
A207940,삼성바이오로직스,1466,0.14708902592951023,0.5138943615737895,-0.10737330965297413,0.010567425218375073,-0.5936639863080603,0.1424775681661577,0.15253269828159025,0.3343127554538673,-0.7536155412742244,0.06927973698378151,-1.7757742611468545,0.4510801095738596,0.9447669545227917,0.07577013169962596,2.690251668083316,0.26050692515815643
A006400,삼성SDI,1466,0.33659224016868905,1.1309439926752094,0.053753272340442936,-0.48075075169159653,-0.40150705938175485,0.17636112212278607,0.2229238862244426,0.32096933038042536,0.3047909408459017,-2.1565690417202337,-1.250920325957228,0.7605253816142467,0.031039258872173677,0.21096354729798916,4.379995303827746,0.11191701140780219
A329180,HD현대중공업,1039,0.1086214009696792,0.78623660045361,-0.01982368367053789,0.036577500487919155,0.11607966446479653,0.19156484989854117,0.2926112526114225,0.37372937321691113,-0.10348288676673796,0.12500373844642534,0.31059818356162316,0.917579730952913,0.9005205907044942,0.7561061082469883,0.1251041194782816,0.9393641584874646
