leader,주수,평균일치율_분모30,평균일치율_분모가용,평균_n_up,평균_n_valid
CP_V,181,0.5103130755064457,0.5103130755064457,15.30939226519337,30.0
CP_Q,73,0.5100456621004567,0.5100456621004567,15.301369863013699,30.0
CP_MOM,211,0.490521327014218,0.490521327014218,14.71563981042654,30.0
CP_S,163,0.49038854805725973,0.49038854805725973,14.71165644171779,30.0
CP_LV,221,0.46968325791855203,0.46968325791855203,14.09049773755656,30.0
CP_G,193,0.44438687392055265,0.44438687392055265,13.33160621761658,30.0
