year,n_weeks,compound_return,mean_return,win_rate
2005,52,1.2811687697256722,0.01941526993506037,0.4807692307692308
2006,52,-0.12138527249339459,-0.0005265034861042308,0.46153846153846156
2007,52,0.6957111883386347,0.012839231260196789,0.6346153846153846
2008,52,-0.6386980820021532,-0.01592909149181735,0.36538461538461536
2009,53,1.444483528182253,0.01968780460847321,0.6415094339622641
2010,52,0.12907639467296228,0.0045136885717900355,0.4423076923076923
2011,52,0.3299996500586482,0.0066597591673789435,0.5192307692307693
2012,52,-0.3411991276692503,-0.006274526206359569,0.4230769230769231
2013,52,0.4093887276364714,0.008016031298288663,0.5
2014,52,0.9706050774770651,0.014151880186183083,0.6153846153846154
2015,53,0.8689037967699547,0.014890103403167692,0.5660377358490566
2016,52,0.1339789518236223,0.003584676468289204,0.4423076923076923
2017,51,1.5348300180235102,0.020610116048274132,0.5686274509803921
2018,52,-0.3829182512848476,-0.007923290447094762,0.4423076923076923
2019,52,-0.11099890464861129,-0.0007756234061467172,0.4230769230769231
2020,53,0.7421891665690015,0.013653924834515226,0.6037735849056604
2021,52,0.240950106208641,0.006349144991744119,0.5769230769230769
2022,52,-0.06923565537077947,0.00030873254702479404,0.4423076923076923
2023,52,0.1710654220295431,0.005089535357851606,0.5
2024,52,-0.02466111684283978,0.0016035231079459288,0.5384615384615384
2025,50,-0.07092149742438758,-0.0001424775180611987,0.56
