BaseDate,SellDate,leader,n_selected,n_priced,basket_return,win,top_codes,year
2005-09-02,2005-09-09,CP_V,10,7,0.023343161398831143,1,"A006350,A026960,A066570,A011810,A028150,A000240,A020000,A002300,A004370,A009970",2005
2005-09-09,2005-09-16,CP_V,10,10,0.04552190850304063,1,"A012450,A060150,A033640,A065130,A000660,A012630,A077970,A003300,A025540,A011790",2005
2005-09-16,2005-09-23,CP_MOM,10,9,0.013932333992681246,1,"A003470,A078930,A035720,A010120,A000270,A012450,A008560,A035420,A047040,A069960",2005
2005-09-23,2005-09-30,CP_S,10,3,0.08215897636473124,1,"A007190,A036550,A008560,A068420,A010820,A049000,A060570,A003330,A060150,A002270",2005
2005-09-30,2005-10-07,CP_S,10,8,0.03584175795402127,1,"A011760,A000320,A044490,A002300,A069080,A033640,A060720,A035000,A033030,A033530",2005
2005-10-07,2005-10-14,CP_S,10,7,-0.046865095938588265,0,"A010780,A024660,A036530,A025540,A023160,A002530,A056190,A000670,A007340,A068420",2005
2005-10-14,2005-10-21,CP_G,10,9,-0.019141132620041752,0,"A006380,A005960,A011790,A005850,A001450,A005940,A001430,A033630,A056190,A003470",2005
2005-10-21,2005-10-28,CP_V,10,8,-0.028166961347599107,0,"A004830,A003330,A033530,A068790,A005990,A005850,A060150,A036710,A010520,A002320",2005
2005-10-28,2005-11-04,CP_Q,10,9,0.05703184234098625,1,"A000050,A020000,A025000,A024660,A024110,A023160,A022100,A021240,A020560,A019680",2005
2005-11-04,2005-11-11,CP_MOM,10,9,0.08536400549495789,1,"A001040,A030000,A049770,A003540,A006400,A041960,A066570,A035720,A006800,A003490",2005
2005-11-11,2005-11-18,CP_MOM,10,10,0.021036334329268234,1,"A003490,A009150,A020000,A020560,A069620,A000100,A010060,A041960,A051910,A004000",2005
2005-11-18,2005-11-25,CP_MOM,10,9,0.12765259991136946,1,"A001520,A009970,A018880,A042670,A009410,A000070,A011780,A004800,A000150,A000210",2005
2005-11-25,2005-12-02,CP_G,10,6,0.009766917214631132,1,"A025930,A004690,A042100,A011160,A051370,A039490,A034120,A004130,A007810,A003690",2005
2005-12-02,2005-12-09,CP_LV,10,7,-0.007427478977115772,0,"A006200,A049770,A021240,A003240,A014790,A078000,A064420,A025560,A007310,A028150",2005
2005-12-09,2005-12-16,CP_MOM,10,10,0.013495283685828663,1,"A010130,A012450,A000660,A001450,A060570,A001040,A003540,A069080,A000810,A006260",2005
2005-12-16,2005-12-23,CP_LV,10,7,0.012307083888000201,1,"A001740,A003450,A002990,A064960,A011200,A010620,A001510,A043890,A003470,A005940",2005
2005-12-23,2005-12-29,CP_MOM,10,10,-0.013107325852373264,0,"A004800,A006400,A066570,A051910,A042660,A033780,A009150,A003550,A000150,A005930",2005
2005-12-29,2006-01-06,CP_S,10,6,0.09831119013951051,1,"A010780,A060570,A046140,A072870,A057030,A005960,A001370,A012990,A049770,A033500",2005
2006-01-06,2006-01-13,CP_V,10,10,0.01742465939049449,1,"A001470,A011040,A024110,A003690,A004150,A066570,A078000,A002020,A033530,A000880",2006
2006-01-13,2006-01-20,CP_LV,10,10,-0.08633670750204747,0,"A025560,A003160,A018000,A007310,A029460,A009410,A017390,A013580,A011930,A002390",2006
2006-01-20,2006-01-27,CP_G,10,10,0.01554342827739339,1,"A037710,A025530,A016800,A004000,A000070,A002380,A001040,A060150,A060570,A009200",2006
2006-01-27,2006-02-03,CP_LV,10,7,-0.03446129617136938,0,"A035610,A017390,A072870,A005740,A002240,A043890,A060150,A010620,A067250,A058650",2006
2006-02-03,2006-02-10,CP_S,10,8,0.053085442078596404,1,"A003570,A003530,A017940,A003070,A008560,A039490,A030610,A034830,A004790,A001060",2006
2006-02-10,2006-02-17,CP_MOM,10,9,0.019307021643633366,1,"A010060,A002270,A007310,A020560,A042660,A000240,A012630,A003490,A073240,A025860",2006
2006-02-17,2006-02-24,CP_G,10,9,0.012751256776067045,1,"A036570,A080000,A036530,A006280,A024110,A011780,A033240,A086790,A000070,A051910",2006
2006-02-24,2006-03-03,CP_LV,10,6,-0.014394170582061827,0,"A003550,A005070,A032710,A058650,A064420,A006650,A019550,A004940,A005950,A002300",2006
2006-03-03,2006-03-10,CP_V,10,9,0.011153692429568282,1,"A010520,A003470,A036710,A055550,A005940,A006360,A006800,A019680,A000210,A000070",2006
2006-03-10,2006-03-17,CP_LV,10,9,-0.00727203763146864,0,"A003410,A001210,A015890,A060720,A012450,A001740,A000990,A003240,A033500,A005990",2006
