year,n_weeks,compound_return,mean_return,win_rate
2005,52,0.6448018190359806,0.010366714507544573,0.6153846153846154
2006,52,0.2928494579275871,0.005433805862100364,0.5961538461538461
2007,52,0.8180222632233798,0.012732659180729602,0.6538461538461539
2008,52,-0.12061315266343764,0.000402065414292935,0.46153846153846156
2009,53,1.2036088199280779,0.015541527364718265,0.6792452830188679
2010,52,0.2908602505535949,0.0053074186253863325,0.6153846153846154
2011,52,0.047459654990551714,0.0016546517412316002,0.4807692307692308
2012,52,0.344292027278964,0.006113447784323521,0.6153846153846154
2013,52,0.12157128697874797,0.0025230669467487233,0.5576923076923077
2014,52,0.46068956788295146,0.007687705759986753,0.5576923076923077
2015,53,0.3351393429014331,0.006083930134172881,0.5849056603773585
2016,52,0.14744327196500584,0.0031101978277091676,0.5961538461538461
2017,51,0.13042265906548645,0.002784645518269647,0.5686274509803921
2018,52,-0.11530378799903274,-0.0019297515570800066,0.46153846153846156
2019,52,-0.05619163461529142,-0.0006352487756963564,0.5192307692307693
2020,53,0.6278661526360954,0.01113755632577954,0.6037735849056604
2021,52,-0.15758225091779443,-0.002455964261586776,0.5
2022,52,-0.09304656724914873,-0.0008510145478604328,0.4423076923076923
2023,52,0.14968437512592225,0.0029815954848845536,0.5384615384615384
2024,52,-0.06542675008115739,-0.0008860063055724157,0.5769230769230769
2025,50,0.3427337797558949,0.006437518285209689,0.54
