year,n_weeks,strat_return,bm_return,excess_return,excess_win_rate
2005,18.0,0.6553011590840743,0.2661247681098384,0.38917639097423584,0.7222222222222222
2006,52.0,-0.08297990959256063,-0.01912541230764908,-0.06385449728491155,0.5384615384615384
2007,52.0,0.03765463454076157,0.3450381018358166,-0.30738346729505506,0.40384615384615385
2008,52.0,-0.30725380838924754,-0.37904394012554266,0.07179013173629512,0.5384615384615384
2009,53.0,0.49651107468900824,0.46471401416969016,0.03179706051931808,0.5094339622641509
2010,52.0,-0.1397681214907286,0.2306076943949611,-0.3703758158856897,0.36538461538461536
2011,52.0,-0.025828368890999598,-0.11650848432556837,0.09068011543456878,0.5769230769230769
2012,52.0,-0.06195475354692204,0.09158284232342595,-0.153537595870348,0.4230769230769231
2013,52.0,-0.10556798376555776,-0.03270475262681727,-0.07286323113874049,0.4807692307692308
2014,52.0,0.16466907329834535,-0.010122601662777564,0.1747916749611229,0.5192307692307693
2015,53.0,0.08424366472360845,-0.004578393305786466,0.08882205802939491,0.4716981132075472
2016,52.0,0.11888531642914235,0.06857458724877774,0.05031072918036461,0.5192307692307693
2017,51.0,0.10042637807226695,0.21882564222690593,-0.11839926415463897,0.49019607843137253
2018,52.0,-0.31226350487092813,-0.1951015407284029,-0.11716196414252522,0.4230769230769231
2019,52.0,-0.1031308917271464,0.08268125854993236,-0.18581215027707876,0.40384615384615385
2020,53.0,0.3564799862944743,0.44830596473172,-0.09182597843724571,0.49056603773584906
2021,52.0,-0.05097245365496872,-0.0625884308637199,0.011615977208751183,0.5192307692307693
2022,52.0,-0.32976815183943653,-0.2250236049396087,-0.10474454689982782,0.4423076923076923
2023,52.0,0.24100348422493956,0.125813875290945,0.11518960893399455,0.5
2024,52.0,-0.07717008904394285,-0.05281449761062473,-0.024355591433318113,0.4807692307692308
2025,50.0,0.1569147061621834,0.6464708098545413,-0.4895561036923579,0.32
