ComCode
A000030
A000060
A000360
A000610
A000790
A000800
A000830
A001300
A001310
A001370
A001830
A001880
A002000
A002270
A002300
A002530
A002550
A002860
A003190
A003330
A003410
A003450
A003560
A003600
A003640
A003660
A003940
A004010
A004130
A004200
A004230
A004550
A004660
A004790
A004940
A005270
A005280
A005390
A005620
A006350
A006390
A007190
A007800
A008000
A008320
A008400
A008560
A008900
A009080
A009720
A010050
A010460
A010520
A010620
A011020
A011160
A011400
A012090
A012460
A012650
A012990
A013240
A014200
A014900
A015350
A015940
A016170
A016420
A016990
A017300
A019440
A021960
A023460
A023890
A024660
A025460
A025850
A025930
A026220
A026870
A027390
A028150
A029960
A031390
A032380
A032390
A032710
A033030
A033180
A033630
A033660
A034300
A034660
A035950
A036210
A036490
A036550
A037150
A037620
A039230
A039530
A039870
A041140
A042100
A042670
A043890
A045710
A045820
A045890
A046140
A048260
A049000
A049370
A049690
A049770
A050050
A051310
A053000
A053110
A053320
A053660
A054340
A056200
A057330
A057880
A060000
A061460
A063350
A064420
A065160
A065410
A065610
A065620
A066110
A066270
A066930
A067250
A068400
A068420
A068870
A069110
A071660
A072430
A072530
A073070
A073710
A074000
A079440
A080000
A085370
A088960
A089240
A089480
A091090
A091690
A091990
A093230
A094190
A096640
A101060
A103130
A103150
A108070
A108790
A110570
A114120
A114570
A115390
A115960
A117930
A119860
A123100
A123260
A130960
A138250
A151910
A192520
A192530
A268600
A282690
A287410
A290510
A450140
A900040
A900050
A900080
A900140
A900150
A950210
