leader,주수,평균일치율_분모50,평균일치율_분모가용,평균_n_up
CP_Q,74,0.4797297297297297,0.5184506902458409,23.986486486486488
CP_MOM,227,0.4775330396475771,0.5041544928635802,23.876651982378856
CP_S,170,0.44600000000000006,0.5015066354468107,22.3
CP_V,192,0.43114583333333334,0.505133510991477,21.557291666666668
CP_LV,230,0.42217391304347823,0.47481751470966116,21.108695652173914
CP_G,200,0.4068,0.450191376930584,20.34
