BaseDate,SellDate,leader,status,basket_return,basket_gross,n_picked,top_codes,year,win,bm_return,excess_return,beat_bm
2005-09-02,2005-09-09,CP_V,traded,0.022726992389664157,0.02472699238966416,10,"A002350,A005250,A006260,A017940,A003620,A015360,A025860,A003200,A007690,A006650",2005,1,0.03286342901696493,-0.010136436627300772,0
2005-09-09,2005-09-16,CP_MOM,traded,0.04631625048180273,0.048316250481802735,10,"A003520,A032640,A016360,A001680,A004020,A024110,A003690,A044490,A006800,A005930",2005,1,0.01876789587852512,0.027548354603277612,1
2005-09-16,2005-09-23,CP_S,traded,0.06863280133499755,0.07063280133499755,10,"A010780,A050090,A019550,A005740,A029460,A009240,A025750,A005950,A001520,A015860",2005,1,0.0014904652806759788,0.06714233605432157,1
2005-09-23,2005-09-30,CP_S,traded,0.05057379088324787,0.05257379088324787,10,"A060570,A060150,A017810,A064960,A002020,A050090,A002390,A025750,A015860,A052710",2005,1,0.038379766642854696,0.012194024240393175,1
2005-09-30,2005-10-07,CP_S,traded,0.010470659893358637,0.012470659893358637,10,"A011760,A033530,A018000,A050090,A002390,A015860,A002020,A064960,A015360,A025860",2005,1,-0.016379882228646725,0.026850542122005362,1
2005-10-07,2005-10-14,CP_G,traded,0.00020090934219782084,0.002200909342197821,10,"A060720,A034020,A006400,A060570,A002350,A003480,A035720,A034120,A012450,A001210",2005,1,-0.009025736671634643,0.009226646013832464,1
2005-10-14,2005-10-21,CP_V,traded,-0.0070923404377012484,-0.005092340437701248,10,"A036460,A015760,A000210,A004020,A010130,A000070,A003300,A005490,A003160,A009830",2005,0,-0.005621045732962515,-0.0014712947047387332,0
2005-10-21,2005-10-28,CP_Q,skip_quality,0.0,,0,,2005,0,-0.03613073309223647,0.03613073309223647,1
2005-10-28,2005-11-04,CP_MOM,traded,0.04820663782302052,0.050206637823020525,10,"A012630,A017800,A007310,A034830,A022100,A012450,A002240,A047050,A005380,A010120",2005,1,0.07123571077915702,-0.0230290729561365,0
2005-11-04,2005-11-11,CP_MOM,traded,0.041776785118190406,0.04377678511819041,10,"A004990,A039490,A005830,A001800,A069960,A035420,A028050,A016360,A006800,A047040",2005,1,0.027938264128709145,0.01383852098948126,1
2005-11-11,2005-11-18,CP_MOM,traded,0.05593926036965975,0.057939260369659754,10,"A034830,A035080,A003690,A000100,A035420,A008770,A006120,A034120,A005940,A006800",2005,1,0.012841129828360387,0.043098130541299365,1
2005-11-18,2005-11-25,CP_G,traded,0.04630335572047499,0.04830335572047499,10,"A047310,A003550,A001430,A049520,A036710,A000270,A034020,A020560,A003480,A022100",2005,1,0.016482609550009908,0.02982074617046508,1
2005-11-25,2005-12-02,CP_LV,traded,0.04322350893875698,0.045223508938756984,10,"A005930,A005300,A012330,A029530,A069260,A025000,A017670,A006840,A005380,A005490",2005,1,0.013068155456921415,0.030155353481835567,1
2005-12-02,2005-12-09,CP_MOM,traded,-0.010627824644378524,-0.008627824644378524,10,"A022100,A009410,A001800,A012630,A005380,A005940,A028050,A024110,A039130,A047050",2005,0,0.005572008670961637,-0.01619983331534016,0
2005-12-09,2005-12-16,CP_LV,traded,0.018726089726985362,0.020726089726985364,10,"A004980,A006840,A009410,A017670,A000390,A002380,A001720,A051900,A005680,A029530",2005,1,0.0027477949325196427,0.01597829479446572,1
2005-12-16,2005-12-23,CP_MOM,traded,-0.001818707075053359,0.00018129292494664106,10,"A034830,A026960,A000720,A008770,A071050,A000270,A003490,A022100,A024110,A034120",2005,0,0.0291361351662327,-0.03095484224128606,0
2005-12-23,2005-12-29,CP_S,traded,0.04564079919926879,0.047640799199268793,10,"A034940,A016100,A051370,A001470,A002630,A005070,A006380,A033530,A006840,A005500",2005,1,0.01459327855950221,0.031047520639766582,1
2005-12-29,2006-01-06,CP_V,traded,0.036990754271000535,0.03899075427100054,10,"A060570,A078930,A069260,A005490,A002350,A018670,A015760,A036460,A011170,A000210",2005,1,0.02422120243299486,0.012769551838005676,1
2006-01-06,2006-01-13,CP_LV,traded,-0.017518298964515178,-0.015518298964515176,10,"A004980,A006840,A017940,A036460,A001720,A034220,A000390,A006260,A035000,A005380",2006,0,0.0024773850139441222,-0.0199956839784593,0
2006-01-13,2006-01-20,CP_G,traded,-0.06642574032914726,-0.06442574032914726,10,"A068790,A003480,A033640,A049520,A060720,A035420,A009150,A022100,A009240,A060570",2006,0,-0.06460586889598097,-0.0018198714331662952,0
2006-01-20,2006-01-27,CP_LV,traded,0.02081228837287926,0.022812288372879262,10,"A006840,A051910,A004370,A006360,A001740,A012330,A066570,A001720,A051900,A008060",2006,1,0.04512447349748627,-0.024312185124607012,0
2006-01-27,2006-02-03,CP_S,traded,0.040044188242011905,0.04204418824201191,10,"A035000,A003200,A016100,A015360,A013570,A025860,A006380,A003030,A025750,A009240",2006,1,-0.03687814179233828,0.07692233003435019,1
2006-02-03,2006-02-10,CP_MOM,traded,-0.014192359866271808,-0.012192359866271808,10,"A033780,A000100,A055550,A069960,A009410,A005930,A021240,A000270,A009150,A047050",2006,0,0.0012973378327709728,-0.01548969769904278,0
2006-02-10,2006-02-17,CP_G,traded,0.03340491036874884,0.03540491036874884,10,"A022100,A000640,A035420,A001680,A028050,A047310,A060150,A036930,A064960,A042420",2006,1,-0.0018723366011847986,0.03527724696993364,1
2006-02-17,2006-02-24,CP_LV,traded,0.03669482148895066,0.03869482148895066,10,"A012330,A017940,A033780,A006400,A034230,A004560,A006260,A005380,A025560,A004980",2006,1,0.024828735002588642,0.011866086486362018,1
2006-02-24,2006-03-03,CP_V,traded,-0.011956328861659291,-0.009956328861659291,10,"A015760,A005880,A006260,A009830,A033530,A002350,A000390,A025860,A025530,A073240",2006,0,-0.0269947723711762,0.01503844350951691,1
2006-03-03,2006-03-10,CP_LV,traded,0.0090926378529134,0.0110926378529134,10,"A006360,A004980,A012330,A000320,A005930,A002030,A055550,A072710,A008060,A036460",2006,1,-0.006681966966402109,0.01577460481931551,1
2006-03-10,2006-03-17,CP_LV,traded,0.019066992706779043,0.02106699270677904,10,"A003300,A004370,A005930,A005380,A007690,A072710,A004560,A006400,A006260,A055550",2006,1,0.015946124069178058,0.0031208686376009848,1
2006-03-17,2006-03-24,CP_G,traded,-0.01802446137376324,-0.016024461373763243,10,"A010770,A005850,A039490,A039130,A034220,A035420,A028080,A002350,A042660,A028050",2006,0,-0.014830887616320565,-0.003193573757442676,0
2006-03-24,2006-03-31,CP_G,traded,0.06439443209443059,0.06639443209443059,10,"A006200,A057030,A009150,A000270,A001450,A033640,A042420,A021240,A009180,A036570",2006,1,0.02904112077382437,0.03535331132060622,1
2006-03-31,2006-04-07,CP_V,traded,0.009856815711051728,0.011856815711051728,10,"A003300,A058430,A004560,A072710,A036460,A016380,A073240,A002030,A003620,A049520",2006,1,0.03145042659605757,-0.02159361088500584,0
2006-04-07,2006-04-14,CP_MOM,traded,0.022818610591519697,0.024818610591519696,10,"A003490,A044490,A005830,A069960,A012630,A035420,A012450,A039490,A003920,A055550",2006,1,0.021649219886477278,0.0011693907050424196,1
2006-04-14,2006-04-21,CP_LV,traded,0.032607165344324764,0.034607165344324765,10,"A043650,A030000,A012330,A006400,A036460,A003300,A017940,A002030,A010950,A029530",2006,1,0.012975319671673313,0.01963184567265145,1
2006-04-21,2006-04-28,CP_LV,traded,-0.009909002047102353,-0.007909002047102353,10,"A011170,A008730,A005300,A004370,A066570,A058430,A000320,A007690,A079160,A043650",2006,0,-0.02175965162508353,0.011850649577981178,1
2006-04-28,2006-05-04,CP_S,traded,-0.024072111533074078,-0.02207211153307408,10,"A041960,A045970,A002350,A016100,A005740,A051370,A016710,A013570,A011930,A005850",2006,0,0.01499580906228637,-0.03906792059536045,0
2006-05-04,2006-05-12,CP_LV,traded,0.007974789412297213,0.009974789412297213,10,"A043650,A012330,A058430,A079160,A005180,A003160,A066570,A004370,A003300,A055550",2006,1,0.0029007230989159805,0.005074066313381233,1
2006-05-12,2006-05-19,CP_MOM,traded,-0.11315586360095056,-0.11115586360095056,10,"A009540,A003690,A034020,A006260,A028050,A042660,A003490,A000150,A005830,A006120",2006,0,-0.050449764738444536,-0.06270609886250603,0
2006-05-19,2006-05-26,CP_LV,traded,0.0015401450693246295,0.0035401450693246296,10,"A043650,A008060,A001720,A029530,A017940,A055550,A008730,A012330,A003160,A017670",2006,1,-0.03633342806549633,0.03787357313482096,1
2006-05-26,2006-06-02,CP_S,traded,-0.0455382249770109,-0.043538224977010896,10,"A064260,A041960,A045970,A016100,A006380,A023760,A034940,A007340,A015860,A051370",2006,0,-0.010125299637788077,-0.03541292533922282,0
2006-06-02,2006-06-09,CP_MOM,traded,-0.03799311798181883,-0.035993117981818826,10,"A028050,A047050,A010140,A009540,A069260,A011200,A005830,A035420,A042660,A001680",2006,0,-0.056063985821670714,0.018070867839851887,1
2006-06-09,2006-06-16,CP_LV,traded,0.004484857770266228,0.006484857770266228,10,"A002030,A003240,A005180,A006400,A008730,A012330,A000100,A079160,A029530,A066570",2006,1,0.021478574029862862,-0.016993716259596635,0
2006-06-16,2006-06-23,CP_MOM,traded,-0.06568604988856044,-0.06368604988856044,10,"A006360,A010120,A012630,A034020,A000720,A006260,A023590,A009540,A001040,A003490",2006,0,-0.026596629667482885,-0.03908942022107756,0
2006-06-23,2006-06-30,CP_MOM,traded,0.002631736161642974,0.004631736161642974,10,"A001740,A009970,A034020,A042660,A018670,A010140,A011200,A003490,A078930,A044490",2006,1,0.054150184760137554,-0.05151844859849458,0
