leader,주도횟수,누적수익률,평균주수익률,중앙값,승률,비중
CP_LV,229,-0.9952102364217276,-0.020922101299414894,-0.020833709744592144,0.34934497816593885,0.2097069597069597
CP_MOM,227,15.733319005844653,0.01488982508784289,0.005619732371735653,0.5462555066079295,0.2078754578754579
CP_G,200,3.8254827985171698,0.00926651655950304,0.006678843536817747,0.59,0.18315018315018314
CP_V,192,2.10086337635145,0.007713251850143924,0.007630677209766717,0.5260416666666666,0.17582417582417584
CP_S,170,88.55285165169225,0.02922634392313882,0.022982822078876093,0.611764705882353,0.15567765567765568
CP_Q,74,-0.5167299981847748,-0.008566882156904928,-0.009227549703348843,0.43243243243243246,0.06776556776556776
