BaseDate,leader,n_pool,n_final,n_valid,n_up,agreement_30,agreement_valid,year
2007-05-25,CP_MOM,100,30,30,23,0.7666666666666667,0.7666666666666667,2007
2007-06-01,CP_S,100,30,30,21,0.7,0.7,2007
2007-06-08,CP_MOM,100,30,30,18,0.6,0.6,2007
2007-06-15,CP_LV,100,30,30,19,0.6333333333333333,0.6333333333333333,2007
2007-06-22,CP_G,100,30,30,15,0.5,0.5,2007
2007-06-29,CP_MOM,100,30,30,9,0.3,0.3,2007
2007-07-06,CP_MOM,100,30,30,27,0.9,0.9,2007
2007-07-13,CP_V,100,30,30,26,0.8666666666666667,0.8666666666666667,2007
2007-07-20,CP_S,100,30,30,17,0.5666666666666667,0.5666666666666667,2007
2007-07-27,CP_MOM,100,30,30,7,0.23333333333333334,0.23333333333333334,2007
2007-08-03,CP_S,100,30,30,12,0.4,0.4,2007
2007-08-10,CP_LV,100,30,30,7,0.23333333333333334,0.23333333333333334,2007
2007-08-17,CP_MOM,100,30,30,0,0.0,0.0,2007
2007-08-24,CP_MOM,100,30,30,29,0.9666666666666667,0.9666666666666667,2007
2007-08-31,CP_LV,100,30,30,21,0.7,0.7,2007
2007-09-07,CP_MOM,100,30,30,16,0.5333333333333333,0.5333333333333333,2007
2007-09-14,CP_MOM,100,30,30,14,0.4666666666666667,0.4666666666666667,2007
2007-09-21,CP_Q,100,30,30,20,0.6666666666666666,0.6666666666666666,2007
2007-09-28,CP_MOM,100,30,30,16,0.5333333333333333,0.5333333333333333,2007
2007-10-05,CP_G,100,30,30,15,0.5,0.5,2007
2007-10-12,CP_LV,100,30,30,15,0.5,0.5,2007
2007-10-19,CP_MOM,100,30,30,15,0.5,0.5,2007
2007-10-26,CP_G,100,30,30,22,0.7333333333333333,0.7333333333333333,2007
2007-11-02,CP_LV,100,30,30,16,0.5333333333333333,0.5333333333333333,2007
2007-11-09,CP_V,100,30,30,7,0.23333333333333334,0.23333333333333334,2007
2007-11-16,CP_LV,100,30,30,8,0.26666666666666666,0.26666666666666666,2007
2007-11-23,CP_G,100,30,30,3,0.1,0.1,2007
2007-11-30,CP_V,100,30,30,27,0.9,0.9,2007
2007-12-07,CP_LV,100,30,30,16,0.5333333333333333,0.5333333333333333,2007
2007-12-14,CP_V,100,30,30,17,0.5666666666666667,0.5666666666666667,2007
2007-12-21,CP_S,100,30,30,9,0.3,0.3,2007
2007-12-28,CP_MOM,100,30,30,16,0.5333333333333333,0.5333333333333333,2007
2008-01-04,CP_S,100,30,30,11,0.36666666666666664,0.36666666666666664,2008
2008-01-11,CP_LV,100,30,30,6,0.2,0.2,2008
2008-01-18,CP_Q,100,30,30,5,0.16666666666666666,0.16666666666666666,2008
2008-01-25,CP_Q,100,30,30,7,0.23333333333333334,0.23333333333333334,2008
2008-02-01,CP_S,100,30,30,8,0.26666666666666666,0.26666666666666666,2008
2008-02-05,CP_G,100,30,30,26,0.8666666666666667,0.8666666666666667,2008
2008-02-15,CP_Q,100,30,30,12,0.4,0.4,2008
2008-02-22,CP_V,100,30,30,12,0.4,0.4,2008
2008-02-29,CP_LV,100,30,30,15,0.5,0.5,2008
2008-03-07,CP_LV,100,30,30,9,0.3,0.3,2008
2008-03-14,CP_G,100,30,30,4,0.13333333333333333,0.13333333333333333,2008
2008-03-21,CP_G,100,30,30,20,0.6666666666666666,0.6666666666666666,2008
2008-03-28,CP_V,100,30,30,17,0.5666666666666667,0.5666666666666667,2008
2008-04-04,CP_LV,100,30,30,17,0.5666666666666667,0.5666666666666667,2008
2008-04-11,CP_Q,100,30,30,20,0.6666666666666666,0.6666666666666666,2008
2008-04-18,CP_V,100,30,30,18,0.6,0.6,2008
2008-04-25,CP_V,100,30,30,21,0.7,0.7,2008
2008-05-02,CP_S,100,30,30,11,0.36666666666666664,0.36666666666666664,2008
2008-05-09,CP_V,100,30,30,20,0.6666666666666666,0.6666666666666666,2008
2008-05-16,CP_S,100,30,30,17,0.5666666666666667,0.5666666666666667,2008
2008-05-23,CP_S,100,30,30,13,0.43333333333333335,0.43333333333333335,2008
2008-05-30,CP_MOM,100,30,30,19,0.6333333333333333,0.6333333333333333,2008
2008-06-05,CP_LV,100,30,30,11,0.36666666666666664,0.36666666666666664,2008
2008-06-13,CP_S,100,30,30,8,0.26666666666666666,0.26666666666666666,2008
2008-06-20,CP_LV,100,30,30,17,0.5666666666666667,0.5666666666666667,2008
2008-06-27,CP_LV,100,30,30,8,0.26666666666666666,0.26666666666666666,2008
2008-07-04,CP_S,100,30,30,2,0.06666666666666667,0.06666666666666667,2008
2008-07-11,CP_Q,100,30,30,10,0.3333333333333333,0.3333333333333333,2008
2008-07-18,CP_V,100,30,30,4,0.13333333333333333,0.13333333333333333,2008
2008-07-25,CP_MOM,100,30,30,23,0.7666666666666667,0.7666666666666667,2008
2008-08-01,CP_G,100,30,30,8,0.26666666666666666,0.26666666666666666,2008
2008-08-08,CP_G,100,30,30,18,0.6,0.6,2008
2008-08-14,CP_LV,100,30,30,12,0.4,0.4,2008
2008-08-22,CP_LV,100,30,30,4,0.13333333333333333,0.13333333333333333,2008
2008-08-29,CP_G,100,30,30,9,0.3,0.3,2008
2008-09-05,CP_LV,100,30,30,6,0.2,0.2,2008
2008-09-12,CP_V,100,30,30,23,0.7666666666666667,0.7666666666666667,2008
2008-09-19,CP_G,100,30,30,9,0.3,0.3,2008
2008-09-26,CP_LV,100,30,30,19,0.6333333333333333,0.6333333333333333,2008
2008-10-02,CP_LV,100,30,30,12,0.4,0.4,2008
2008-10-10,CP_LV,100,30,30,0,0.0,0.0,2008
2008-10-17,CP_LV,100,30,30,18,0.6,0.6,2008
2008-10-24,CP_G,100,30,30,0,0.0,0.0,2008
2008-10-31,CP_S,100,30,30,25,0.8333333333333334,0.8333333333333334,2008
2008-11-07,CP_LV,100,30,30,26,0.8666666666666667,0.8666666666666667,2008
2008-11-14,CP_LV,100,30,30,17,0.5666666666666667,0.5666666666666667,2008
2008-11-21,CP_V,100,30,30,3,0.1,0.1,2008
2008-11-28,CP_V,100,30,30,28,0.9333333333333333,0.9333333333333333,2008
2008-12-05,CP_V,100,30,30,9,0.3,0.3,2008
2008-12-12,CP_S,100,30,30,27,0.9,0.9,2008
2008-12-19,CP_LV,100,30,30,24,0.8,0.8,2008
2008-12-26,CP_V,100,30,30,4,0.13333333333333333,0.13333333333333333,2008
2009-01-02,CP_S,100,30,30,19,0.6333333333333333,0.6333333333333333,2009
2009-01-09,CP_G,100,30,30,16,0.5333333333333333,0.5333333333333333,2009
2009-01-16,CP_Q,100,30,30,10,0.3333333333333333,0.3333333333333333,2009
2009-01-23,CP_S,100,30,30,11,0.36666666666666664,0.36666666666666664,2009
2009-01-30,CP_V,100,30,30,29,0.9666666666666667,0.9666666666666667,2009
2009-02-06,CP_S,100,30,30,23,0.7666666666666667,0.7666666666666667,2009
2009-02-13,CP_LV,100,30,30,16,0.5333333333333333,0.5333333333333333,2009
2009-02-20,CP_LV,100,30,30,6,0.2,0.2,2009
2009-02-27,CP_G,100,30,30,14,0.4666666666666667,0.4666666666666667,2009
2009-03-06,CP_V,100,30,30,9,0.3,0.3,2009
2009-03-13,CP_V,100,30,30,28,0.9333333333333333,0.9333333333333333,2009
2009-03-20,CP_S,100,30,30,27,0.9,0.9,2009
2009-03-27,CP_V,100,30,30,25,0.8333333333333334,0.8333333333333334,2009
2009-04-03,CP_S,100,30,30,22,0.7333333333333333,0.7333333333333333,2009
2009-04-10,CP_V,100,30,30,24,0.8,0.8,2009
2009-04-17,CP_MOM,100,30,30,9,0.3,0.3,2009
2009-04-24,CP_V,100,30,30,19,0.6333333333333333,0.6333333333333333,2009
2009-04-30,CP_V,100,30,30,19,0.6333333333333333,0.6333333333333333,2009
2009-05-08,CP_MOM,100,30,30,13,0.43333333333333335,0.43333333333333335,2009
2009-05-15,CP_MOM,100,30,30,17,0.5666666666666667,0.5666666666666667,2009
2009-05-22,CP_G,100,30,30,11,0.36666666666666664,0.36666666666666664,2009
2009-05-29,CP_V,100,30,30,10,0.3333333333333333,0.3333333333333333,2009
2009-06-05,CP_Q,100,30,30,7,0.23333333333333334,0.23333333333333334,2009
2009-06-12,CP_Q,100,30,30,21,0.7,0.7,2009
2009-06-19,CP_LV,100,30,30,13,0.43333333333333335,0.43333333333333335,2009
2009-06-26,CP_S,100,30,30,11,0.36666666666666664,0.36666666666666664,2009
2009-07-03,CP_LV,100,30,30,21,0.7,0.7,2009
2009-07-10,CP_G,100,30,30,13,0.43333333333333335,0.43333333333333335,2009
2009-07-17,CP_V,100,30,30,15,0.5,0.5,2009
2009-07-24,CP_V,100,30,30,27,0.9,0.9,2009
2009-07-31,CP_G,100,30,30,21,0.7,0.7,2009
2009-08-07,CP_S,100,30,30,19,0.6333333333333333,0.6333333333333333,2009
2009-08-14,CP_MOM,100,30,30,14,0.4666666666666667,0.4666666666666667,2009
2009-08-21,CP_G,100,30,30,9,0.3,0.3,2009
2009-08-28,CP_MOM,100,30,30,20,0.6666666666666666,0.6666666666666666,2009
2009-09-04,CP_LV,100,30,30,8,0.26666666666666666,0.26666666666666666,2009
2009-09-11,CP_V,100,30,30,18,0.6,0.6,2009
2009-09-18,CP_LV,100,30,30,19,0.6333333333333333,0.6333333333333333,2009
2009-09-25,CP_LV,100,30,30,11,0.36666666666666664,0.36666666666666664,2009
2009-10-01,CP_MOM,100,30,30,11,0.36666666666666664,0.36666666666666664,2009
2009-10-09,CP_G,100,30,30,24,0.8,0.8,2009
2009-10-16,CP_MOM,100,30,30,17,0.5666666666666667,0.5666666666666667,2009
2009-10-23,CP_LV,100,30,30,8,0.26666666666666666,0.26666666666666666,2009
2009-10-30,CP_MOM,100,30,30,6,0.2,0.2,2009
2009-11-06,CP_LV,100,30,30,4,0.13333333333333333,0.13333333333333333,2009
2009-11-13,CP_MOM,100,30,30,12,0.4,0.4,2009
2009-11-20,CP_LV,100,30,30,19,0.6333333333333333,0.6333333333333333,2009
2009-11-27,CP_G,100,30,30,1,0.03333333333333333,0.03333333333333333,2009
2009-12-04,CP_V,100,30,30,27,0.9,0.9,2009
2009-12-11,CP_S,100,30,30,24,0.8,0.8,2009
2009-12-18,CP_LV,100,30,30,13,0.43333333333333335,0.43333333333333335,2009
2009-12-24,CP_MOM,100,30,30,15,0.5,0.5,2009
2009-12-30,CP_V,100,30,30,13,0.43333333333333335,0.43333333333333335,2009
2010-01-08,CP_G,100,30,30,18,0.6,0.6,2010
2010-01-15,CP_LV,100,30,30,7,0.23333333333333334,0.23333333333333334,2010
2010-01-22,CP_LV,100,30,30,8,0.26666666666666666,0.26666666666666666,2010
2010-01-29,CP_LV,100,30,30,8,0.26666666666666666,0.26666666666666666,2010
2010-02-05,CP_G,100,30,30,8,0.26666666666666666,0.26666666666666666,2010
2010-02-12,CP_V,100,30,30,18,0.6,0.6,2010
2010-02-19,CP_G,100,30,30,11,0.36666666666666664,0.36666666666666664,2010
2010-02-26,CP_MOM,100,30,30,18,0.6,0.6,2010
2010-03-05,CP_S,100,30,30,21,0.7,0.7,2010
2010-03-12,CP_G,100,30,30,20,0.6666666666666666,0.6666666666666666,2010
2010-03-19,CP_LV,100,30,30,13,0.43333333333333335,0.43333333333333335,2010
2010-03-26,CP_LV,100,30,30,13,0.43333333333333335,0.43333333333333335,2010
2010-04-02,CP_S,100,30,30,14,0.4666666666666667,0.4666666666666667,2010
2010-04-09,CP_V,100,30,30,12,0.4,0.4,2010
2010-04-16,CP_MOM,100,30,30,14,0.4666666666666667,0.4666666666666667,2010
2010-04-23,CP_MOM,100,30,30,14,0.4666666666666667,0.4666666666666667,2010
2010-04-30,CP_MOM,100,30,30,19,0.6333333333333333,0.6333333333333333,2010
2010-05-07,CP_MOM,100,30,30,6,0.2,0.2,2010
2010-05-14,CP_LV,100,30,30,20,0.6666666666666666,0.6666666666666666,2010
2010-05-20,CP_G,100,30,30,0,0.0,0.0,2010
2010-05-28,CP_Q,100,30,30,10,0.3333333333333333,0.3333333333333333,2010
2010-06-04,CP_V,100,30,30,25,0.8333333333333334,0.8333333333333334,2010
2010-06-11,CP_MOM,100,30,30,15,0.5,0.5,2010
2010-06-18,CP_G,100,30,30,15,0.5,0.5,2010
2010-06-25,CP_S,100,30,30,16,0.5333333333333333,0.5333333333333333,2010
2010-07-02,CP_MOM,100,30,30,12,0.4,0.4,2010
2010-07-09,CP_Q,100,30,30,20,0.6666666666666666,0.6666666666666666,2010
2010-07-16,CP_LV,100,30,30,20,0.6666666666666666,0.6666666666666666,2010
2010-07-23,CP_LV,100,30,30,17,0.5666666666666667,0.5666666666666667,2010
2010-07-30,CP_S,100,30,30,13,0.43333333333333335,0.43333333333333335,2010
2010-08-06,CP_S,100,30,30,17,0.5666666666666667,0.5666666666666667,2010
2010-08-13,CP_MOM,100,30,30,9,0.3,0.3,2010
