year,strat,bm,excess,excess_win
2005,0.4588008306748288,0.2661247681098384,0.19267606256499037,0.6666666666666666
2006,0.11261640174077026,-0.01912541230764908,0.13174181404841934,0.5576923076923077
2007,1.4731445402021182,0.3450381018358166,1.1281064383663015,0.7115384615384616
2008,0.1451872974448758,-0.37904394012554266,0.5242312375704185,0.7307692307692307
2009,1.1167046918008086,0.46471401416969016,0.6519906776311184,0.5660377358490566
2010,0.5633506862327742,0.2306076943949611,0.3327429918378131,0.46153846153846156
2011,0.6500165007113254,-0.11650848432556837,0.7665249850368938,0.6538461538461539
2012,0.4222212948776096,0.09158284232342595,0.33063845255418367,0.5
2013,0.1502167054561434,-0.03270475262681727,0.18292145808296068,0.5384615384615384
2014,1.14945526064164,-0.010122601662777564,1.1595778623044175,0.7115384615384616
2015,0.573857259916158,-0.004578393305786466,0.5784356532219445,0.6226415094339622
2016,0.409710279343537,0.06857458724877774,0.34113569209475925,0.6346153846153846
2017,0.5876448824463794,0.21882564222690593,0.36881924021947343,0.5098039215686274
2018,0.07251556629655243,-0.1951015407284029,0.26761710702495534,0.6346153846153846
2019,0.3835182903530041,0.08268125854993236,0.30083703180307175,0.5192307692307693
2020,2.5720103829664946,0.44830596473172,2.123704418234775,0.6415094339622641
2021,0.17249413981051798,-0.0625884308637199,0.23508257067423788,0.6153846153846154
2022,0.12391663625237581,-0.2250236049396087,0.3489402411919845,0.6538461538461539
2023,0.42800683091935077,0.125813875290945,0.30219295562840576,0.5
2024,0.2095422214807714,-0.05281449761062473,0.26235671909139613,0.5961538461538461
2025,0.4827303104346883,0.6464708098545413,-0.16374049941985303,0.38
