code,name,market,current_price,today_open,nav,prev_nav,nav_change_pct,premium_discount_pct,tracking_error_pct,net_assets,momentum_1w,foreign_net_qty,institution_net_qty,individual_net_qty,supply_demand_score,supply_demand_days,s_score,s_confidence,s_model,news_count
069500,KODEX 200,ETF,137010.0,136320.0,137132.3,129938.89,5.54,-0.08918394863937115,0.4,283591.0,-0.013432038464473828,107355,-172021,75785,0.19651022810075783,5,37.86040912403031,0.36947653421511367,analysis,2
102110,TIGER 200,ETF,137225.0,136985.0,137202.98,130012.27,5.53,0.016049214091406413,0.39,112785.0,,-29146,434496,-106658,0.7953841554333857,5,61.81536621733542,0.31930762331500784,analysis,0
122630,KODEX 레버리지,ETF,204770.0,200000.0,204746.73,183226.72,11.75,0.01136526087620033,5.99,96194.0,-0.03929831954907026,436365,-360985,-91476,0.9470251164798709,5,67.88100465919484,0.41205376747198064,analysis,1
252670,KODEX 200선물인버스2X,ETF,73.0,75.0,73.11,83.89,-12.85,-0.15045821365066261,1.83,9468.0,,747385514,-427730591,-280638153,0.6510275063905218,5,-3.9588997443791314,0.36765412595857827,analysis,1
229200,KODEX 코스닥150,ETF,18310.0,18520.0,18338.6,18250.74,0.48,-0.15595519832483695,0.24,54560.0,0.02620336086585029,-1720872,1937351,-501732,0.218061573026859,5,12.56246292107436,0.23270923595402887,analysis,0
233740,KODEX 코스닥150레버리지,ETF,13425.0,13650.0,13464.28,13216.63,1.87,-0.2917348718238231,8.81,40337.0,0.024428684003152012,-68149,-549291,406555,0.5656208624654461,5,37.584834498617845,0.564843129369817,analysis,4
360750,TIGER 미국S&P500,ETF,28225.0,28070.0,27870.87,27885.63,-0.05,1.2706097800319869,0.1,190570.0,-0.0334546715201941,673156,-9259627,8545935,-0.9998666748243805,5,-40.39466699297522,0.3499800012236571,analysis,0
379800,KODEX 미국S&P500,ETF,25735.0,25590.0,25411.15,25424.61,-0.05,1.2744405507031304,0.07,97605.0,-0.032724505327245024,0,0,0,0.0,5,-0.4,0.2,analysis,0
133690,TIGER 미국나스닥100,ETF,202240.0,200825.0,198426.16,198251.31,0.09,1.922044956169084,0.08,111774.0,-0.0370316301703163,142380,-747118,590362,-0.9834544813119612,5,-38.61817925247845,0.34751817219679415,analysis,0
379810,KODEX 미국나스닥100,ETF,30280.0,30105.0,29715.47,29689.28,0.09,1.899784859536123,0.09,85579.0,-0.035934959349593454,0,0,0,0.0,5,0.72,0.2,analysis,0
305720,KODEX 2차전지산업,ETF,18130.0,17815.0,18139.73,17310.44,4.79,-0.05363916662485915,0.3,19422.0,-0.040446304044630454,196051,-353851,275610,-0.04870144125957714,5,28.051942349616915,0.20730521618893658,analysis,0
305540,TIGER 2차전지테마,ETF,22470.0,22205.0,22491.05,21521.89,4.5,-0.09359278468546055,1.2,10879.0,,0,0,0,0.0,5,30.0,0.2,analysis,0
091160,KODEX 반도체,ETF,173080.0,175445.0,173158.16,168826.72,2.57,-0.045137924773515435,0.57,71244.0,0.07354625270390636,31289,180173,-137634,0.619996867969374,5,45.35987471877496,0.29299953019540614,analysis,0
091170,KODEX 은행,ETF,16275.0,15740.0,16275.24,15441.07,5.4,-0.0014746326321441756,1.37,5504.0,-0.038545910372923875,0,0,0,0.0,5,30.0,0.2,analysis,0
117460,KODEX 에너지화학,ETF,16130.0,15905.0,16114.44,15344.63,5.02,0.09655935918343728,0.43,300.0,-0.012487992315081686,-1090,-3637,4890,-0.0014399990046728257,5,29.942400039813087,0.20021599985070093,analysis,0
139660,TIGER 200 IT,ETF,7595.0,,,,,,,,0.007294429708222916,0,3542,-3542,0.0005399999475120061,5,0.021599997900480245,0.2000809999921268,analysis,0
228790,TIGER 화장품,ETF,3515.0,3510.0,3516.94,3427.29,2.62,-0.05516158933618584,0.64,2408.0,0.01775147928994092,-723,70142,-4778,0.0035599849607375737,5,21.102399398429505,0.20053399774411065,analysis,0
143860,TIGER 헬스케어,ETF,40010.0,39860.0,40027.54,39237.48,2.01,-0.04381983004701481,0.8,1569.0,-0.029773622047244097,-243,-5767,3321,-0.004539968808035833,5,15.898401247678565,0.2006809953212054,analysis,0
305080,TIGER 미국채10년선물,ETF,13635.0,13630.0,13628.36,13670.67,-0.31,0.04872192985802707,0.58,2392.0,,1013,62354,-57799,0.017338262304024812,5,-1.7864695078390076,0.20260073934560374,analysis,0
214980,KODEX 단기채권PLUS,ETF,114450.0,114445.0,114457.87,114442.43,0.01,-0.00687589241351018,0.07,20616.0,0.0003934598233803488,390,-19966,18690,-0.044889811078096496,5,-1.7155924431238598,0.2067334716617145,analysis,0
273130,KODEX 종합채권,ETF,110745.0,110835.0,110701.79,110459.77,0.22,0.03903279251402024,0.24,41836.0,0.003134938664243636,-335,5297,-4952,0.010859573078788355,5,2.1943829231515344,0.20162893596181827,analysis,0
