code,name,s_score,confidence,news_count,supply_demand_signal,nav_signal,summary,model
069500,KODEX 200,37.86040912403031,0.36947653421511367,2,7.860409124030313,30.0,"news(pos=0,neg=0) nav%=5.54 sd=+0.20",analysis
102110,TIGER 200,61.81536621733542,0.31930762331500784,0,31.815366217335427,30.0,"news(pos=0,neg=0) nav%=5.53 sd=+0.80",analysis
122630,KODEX 레버리지,67.88100465919484,0.41205376747198064,1,37.881004659194836,30.0,"news(pos=0,neg=0) nav%=11.75 sd=+0.95",analysis
252670,KODEX 200선물인버스2X,-3.9588997443791314,0.36765412595857827,1,26.04110025562087,-30.0,"news(pos=0,neg=0) nav%=-12.85 sd=+0.65",analysis
229200,KODEX 코스닥150,12.56246292107436,0.23270923595402887,0,8.72246292107436,3.84,"news(pos=0,neg=0) nav%=0.48 sd=+0.22",analysis
233740,KODEX 코스닥150레버리지,37.584834498617845,0.564843129369817,4,22.624834498617844,14.96,"news(pos=0,neg=0) nav%=1.87 sd=+0.57",analysis
360750,TIGER 미국S&P500,-40.39466699297522,0.3499800012236571,0,-39.99466699297522,-0.4,"news(pos=0,neg=0) nav%=-0.05 sd=-1.00",analysis
379800,KODEX 미국S&P500,-0.4,0.2,0,0.0,-0.4,"news(pos=0,neg=0) nav%=-0.05 sd=+0.00",analysis
133690,TIGER 미국나스닥100,-38.61817925247845,0.34751817219679415,0,-39.33817925247845,0.72,"news(pos=0,neg=0) nav%=0.09 sd=-0.98",analysis
379810,KODEX 미국나스닥100,0.72,0.2,0,0.0,0.72,"news(pos=0,neg=0) nav%=0.09 sd=+0.00",analysis
305720,KODEX 2차전지산업,28.051942349616915,0.20730521618893658,0,-1.9480576503830858,30.0,"news(pos=0,neg=0) nav%=4.79 sd=-0.05",analysis
305540,TIGER 2차전지테마,30.0,0.2,0,0.0,30.0,"news(pos=0,neg=0) nav%=4.50 sd=+0.00",analysis
091160,KODEX 반도체,45.35987471877496,0.29299953019540614,0,24.799874718774962,20.56,"news(pos=0,neg=0) nav%=2.57 sd=+0.62",analysis
091170,KODEX 은행,30.0,0.2,0,0.0,30.0,"news(pos=0,neg=0) nav%=5.40 sd=+0.00",analysis
117460,KODEX 에너지화학,29.942400039813087,0.20021599985070093,0,-0.057599960186913025,30.0,"news(pos=0,neg=0) nav%=5.02 sd=-0.00",analysis
139660,TIGER 200 IT,0.021599997900480245,0.2000809999921268,0,0.021599997900480245,0.0,"news(pos=0,neg=0) nav%=0.00 sd=+0.00",analysis
228790,TIGER 화장품,21.102399398429505,0.20053399774411065,0,0.14239939842950294,20.96,"news(pos=0,neg=0) nav%=2.62 sd=+0.00",analysis
143860,TIGER 헬스케어,15.898401247678565,0.2006809953212054,0,-0.1815987523214333,16.08,"news(pos=0,neg=0) nav%=2.01 sd=-0.00",analysis
305080,TIGER 미국채10년선물,-1.7864695078390076,0.20260073934560374,0,0.6935304921609925,-2.48,"news(pos=0,neg=0) nav%=-0.31 sd=+0.02",analysis
214980,KODEX 단기채권PLUS,-1.7155924431238598,0.2067334716617145,0,-1.79559244312386,0.08,"news(pos=0,neg=0) nav%=0.01 sd=-0.04",analysis
273130,KODEX 종합채권,2.1943829231515344,0.20162893596181827,0,0.4343829231515342,1.76,"news(pos=0,neg=0) nav%=0.22 sd=+0.01",analysis
278530,KODEX 200TR,30.74311449019824,0.2027866793382434,0,0.7431144901982416,30.0,"news(pos=0,neg=0) nav%=5.60 sd=+0.02",analysis
294400,KOSEF 200TR,30.806290770556142,0.20302359038958553,0,0.8062907705561426,30.0,"news(pos=0,neg=0) nav%=5.59 sd=+0.02",analysis
411060,ACE 미국빅테크TOP7Plus,28.032589992730614,0.22172221247273982,0,5.7925899927306155,22.24,"news(pos=0,neg=0) nav%=2.78 sd=+0.14",analysis
449450,PLUS K방산,2.40748662914417,0.20902807485929065,0,2.40748662914417,0.0,"news(pos=0,neg=0) nav%=0.00 sd=+0.06",analysis
