code,name,relative_return_bps,confidence,reason
122630,KODEX 레버리지,297.68207348168556,0.5620537674719807,S_SCORE·모멘텀·수급·NAV변화 종합
233740,KODEX 코스닥150레버리지,175.81642115257222,0.714843129369817,S_SCORE·모멘텀·수급·NAV변화 종합
102110,TIGER 200,235.50148878680568,0.46930762331500786,S_SCORE·모멘텀·수급·NAV변화 종합
069500,KODEX 200,144.1590277059342,0.5194765342151136,S_SCORE·모멘텀·수급·NAV변화 종합
091160,KODEX 반도체,297.8441671485051,0.44299953019540617,S_SCORE·모멘텀·수급·NAV변화 종합
294400,KOSEF 200TR,126.5023663091804,0.35302359038958553,S_SCORE·모멘텀·수급·NAV변화 종합
278530,KODEX 200TR,126.18486741287006,0.35278667933824337,S_SCORE·모멘텀·수급·NAV변화 종합
411060,ACE 미국빅테크TOP7Plus,-24.81242803736319,0.37172221247273984,S_SCORE·모멘텀·수급·NAV변화 종합
091170,KODEX 은행,69.90817925415226,0.35,S_SCORE·모멘텀·수급·NAV변화 종합
305540,TIGER 2차전지테마,129.0,0.35,S_SCORE·모멘텀·수급·NAV변화 종합
