code,name,weight,expected_return_ann,current_price
001500,현대차증권,0.05714285714285714,-0.9524450627207531,9290.0
001510,SK증권,0.05714285714285714,-1.802602905538888,3005.0
003470,유안타증권,0.05714285714285714,-1.071334339625091,4965.0
000720,현대건설,0.05714285714285714,-1.4313861091998994,134400.0
003030,세아제강지주,0.05714285714285714,-0.8222151955114175,137400.0
000810,삼성화재,0.19999999999999996,0.8405726665772518,667000.0
001720,신영증권,0.05714285714285714,-0.5745927976709945,174300.0
001740,SK네트웍스,0.05714285714285714,-1.2594895496908327,12680.0
001450,현대해상,0.19999999999999996,1.3784008052489096,37700.0
000370,한화손해보험,0.19999999999999996,1.4057148122510597,6220.0
