종목코드,종목명,시작일 기준가,종료일 종가,대비,등락률,거래량,거래대금
"060310","3S","1253","1107","-146","-11.65","623286","715918342"
"095570","AJ네트웍스","5170","4710","-460","-8.90","747884","3635693085"
"006840","AK홀딩스","8230","7860","-370","-4.50","38650","301319345"
"054620","APS","8450","6530","-1920","-22.72","1438930","10552451530"
"265520","AP시스템","22100","19300","-2800","-12.67","232823","4711146880"
"211270","AP위성","16230","13700","-2530","-15.59","755621","11193847845"
"139050","BF랩스","2805","2805","0","0.00","0","0"
"027410","BGF","4295","4000","-295","-6.87","365760","1492940662"
"282330","BGF리테일","119500","111900","-7600","-6.36","85975","9800718915"
"126600","BGF에코머티리얼즈","3850","3375","-475","-12.34","340949","1219641688"
"138930","BNK금융지주","19680","17640","-2040","-10.37","1506501","27221054850"
"001460","BYC","50700","43600","-7100","-14.00","12272","563875000"
"001465","BYC우","28250","26300","-1950","-6.90","7315","185846600"
"083790","CG인바이츠","1430","1274","-156","-10.91","378925","496180803"
"001040","CJ","207000","187600","-19400","-9.37","205395","39573608500"
"079160","CJ CGV","5220","4850","-370","-7.09","1403072","6981312825"
"035760","CJ ENM","67900","60900","-7000","-10.31","155747","9953840600"
"311690","CJ 바이오사이언스","8300","7420","-880","-10.60","58187","449698495"
"00104K","CJ4우(전환)","174000","165000","-9000","-5.17","16754","2733964650"
"000120","CJ대한통운","127800","110500","-17300","-13.54","104078","11932555600"
"011150","CJ씨푸드","2750","2555","-195","-7.09","943234","2458268075"
"011155","CJ씨푸드1우","14500","14350","-150","-1.03","1588","23050160"
"001045","CJ우","95600","84200","-11400","-11.92","12786","1124548900"
"097950","CJ제일제당","207500","190300","-17200","-8.29","174778","34260847150"
"097955","CJ제일제당 우","135800","128700","-7100","-5.23","18301","2378601050"
"051500","CJ프레시웨이","31750","29600","-2150","-6.77","147975","4388607400"
"058820","CMG제약","1881","1675","-206","-10.95","2523030","4407580068"
"056730","CNT85","488","458","-30","-6.15","175650","80634233"
"000480","CR홀딩스","4945","4690","-255","-5.16","119221","567904874"
"065770","CS","713","615","-98","-13.74","278480","177705695"
"083660","CSA 코스믹","285","260","-25","-8.77","821094","221164321"
"000590","CS홀딩스","84800","77300","-7500","-8.84","1543","123902700"
"012030","DB","1880","1699","-181","-9.63","3492140","6128002452"
"477760","DB금융스팩12호","2230","2230","0","0.00","0","0"
"005830","DB손해보험","186700","175500","-11200","-6.00","438891","77184194350"
"016610","DB증권","14520","12700","-1820","-12.53","457728","6071368830"
"000990","DB하이텍","90500","77300","-13200","-14.59","718758","59469723350"
"099520","DGI","1284","1284","0","0.00","0","0"
"000300","DH오토넥스","4200","4200","0","0.00","0","0"
"290120","DH오토리드","2920","2690","-230","-7.88","157866","428893830"
"025440","DH오토웨어","951","825","-126","-13.25","511685","443330593"
"001530","DI동일","22200","20200","-2000","-9.01","112755","2337608900"
"015590","DKME","515","515","0","0.00","0","0"
"000210","DL","48300","40150","-8150","-16.87","232450","9908076925"
"000215","DL우","24600","22550","-2050","-8.33","27899","634671775"
"375500","DL이앤씨","49000","41650","-7350","-15.00","582050","25624015175"
"37550L","DL이앤씨2우(전환)","37800","33450","-4350","-11.51","5868","202675150"
"37550K","DL이앤씨우","24750","22100","-2650","-10.71","29105","657428325"
"068790","DMS","6330","6330","0","0.00","0","0"
"007340","DN오토모티브","26500","23350","-3150","-11.89","456526","10981157075"
"004840","DRB동일","5910","5500","-410","-6.94","90255","498468600"
"241520","DSC인베스트먼트","17030","13320","-3710","-21.79","2974865","43246200940"
"155660","DSR","3925","3770","-155","-3.95","127663","478435330"
"069730","DSR제강","4230","3910","-320","-7.57","145977","585831265"
"017860","DS단석","18000","15610","-2390","-13.28","226281","3726675070"
"180400","DXVX","4215","3745","-470","-11.15","623342","2429045569"
"092780","DYP","4740","4200","-540","-11.39","268595","1173332315"
"017940","E1","103600","93000","-10600","-10.23","88979","8706667250"
"418620","E8","1273","1143","-130","-10.21","293570","340222070"
"245620","EDGC","415","415","0","0.00","0","0"
"037370","EG","5560","4710","-850","-15.29","173207","866016963"
"278990","EMB","3400","3190","-210","-6.18","1043","3030900"
"365550","ESR켄달스퀘어리츠","4285","4105","-180","-4.20","503792","2090365292"
"050120","ES큐브","2505","2385","-120","-4.79","36313","87721885"
"383220","F&F","69100","62400","-6700","-9.70","127051","8117762150"
"007700","F&F홀딩스","19620","17630","-1990","-10.14","59035","1072271680"
"214270","FSN","2035","2045","10","0.49","851198","1756969016"
"130500","GH신소재","2600","2340","-260","-10.00","268780","654202916"
"114090","GKL","12850","12250","-600","-4.67","378392","4636292450"
"900290","GRT","5600","5460","-140","-2.50","1342443","7209181095"
"078930","GS","70500","61400","-9100","-12.91","1170699","78553956450"
"083450","GST","29650","26500","-3150","-10.62","666712","18693034800"
"006360","GS건설","21350","18750","-2600","-12.18","1649131","32190928125"
"001250","GS글로벌","2575","2370","-205","-7.96","2233235","5395353122"
"007070","GS리테일","21050","18660","-2390","-11.35","465595","8979377370"
"078935","GS우","56500","50700","-5800","-10.27","32699","1709123000"
"499790","GS피앤엘","48700","45300","-3400","-6.98","478876","22558084425"
"297890","HB솔루션","2060","1802","-258","-12.52","1047461","2000053014"
"440290","HB인베스트먼트","2165","1975","-190","-8.78","321288","654096207"
"078150","HB테크놀러지","2005","1715","-290","-14.46","3533253","6447955887"
"225530","HC보광산업","2845","2665","-180","-6.33","136397","369317788"
"060560","HC홈센타","680","644","-36","-5.29","288078","186360670"
"012630","HDC","25550","22600","-2950","-11.55","417694","9489566275"
"039570","HDC랩스","8330","8090","-240","-2.88","67263","544629710"
"089470","HDC현대EP","5880","5150","-730","-12.41","343205","1856675340"
"294870","HDC현대산업개발","22700","20450","-2250","-9.91","1131526","24215016875"
"267270","HD건설기계","140800","118300","-22500","-15.98","735132","90187237300"
"009540","HD한국조선해양","441500","379000","-62500","-14.16","556756","220038612250"
"267250","HD현대","291000","261500","-29500","-10.14","506567","137700044000"
"443060","HD현대마린솔루션","182000","159100","-22900","-12.58","293884","48513461871"
"071970","HD현대마린엔진","83700","72100","-11600","-13.86","422839","32227453850"
"322000","HD현대에너지솔루션","100200","77800","-22400","-22.36","1505247","131595528950"
"267260","HD현대일렉트릭","987000","871000","-116000","-11.75","273582","247708524500"
"329180","HD현대중공업","590000","511000","-79000","-13.39","481480","256818802500"
