종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"373490","KODEX 코리아혁신성장액티브","21600","-3565","-14.17","21750.14","23845","24415","21520","76014","1795685325","10800000000","10875071678","500000","FnGuide K-이노베이션 지수","2954.40","-440.01","-12.96"
"229200","KODEX 코스닥150","17060","-2940","-14.70","17101.13","19490","19775","17055","126065387","2281830671674","6223488000000","6294070277345","364800000","코스닥 150","1713.07","-297.12","-14.78"
"233740","KODEX 코스닥150레버리지","13300","-5100","-27.72","12987.94","17400","17980","13050","161200957","2475147533649","3250520000000","3200227398552","244400000","코스닥 150","1713.07","-297.12","-14.78"
"360150","KODEX 코스닥150롱코스피200숏선물","5950","-115","-1.90","5897.81","6070","6235","5905","332858","2022292227","27965000000","27719695475","4700000","코스닥150 롱 100% 코스피200 숏 100% 선물지수","714.22","-26.43","-3.57"
"251340","KODEX 코스닥150선물인버스","2505","355","16.51","2497.48","2210","2505","2175","113346958","262527143859","231712500000","232265670106","92500000","F-코스닥150 지수","1984.28","-350.07","-15.00"
"461450","KODEX 코스닥글로벌","16055","-2485","-13.40","15992.80","18235","18460","16040","211041","3685882460","28899000000","28787031286","1800000","코스닥 글로벌 지수","2056.45","-335.89","-14.04"
"226490","KODEX 코스피","52450","-7425","-12.40","52579.37","56880","58500","52095","2122745","117400699579","755280000000","772916668839","14400000","코스피","5093.54","-698.37","-12.06"
"237350","KODEX 코스피100","60210","-8545","-12.43","60483.97","64000","67595","60000","2874594","183238192277","575005500000","613912298476","9550000","코스피 100","5826.30","-786.66","-11.90"
"359210","KODEX 코스피TR","26085","-3935","-13.11","26299.06","28535","29275","26085","145517","4038392630","96514500000","99936430003","3700000","코스피 TR","6643.19","-910.83","-12.06"
"337140","KODEX 코스피대형주","26300","-3720","-12.39","26369.28","28575","29315","26180","295377","8196493151","52600000000","55375484824","2000000","코스피 대형주","5415.85","-742.21","-12.05"
"138920","KODEX 콩선물(H)","11955","-20","-0.17","11972.21","11985","11985","11910","1116","13328185","5977500000","5986104934","500000","S&P GSCI Soybeans Index(TR)","6386.69","-4.82","-0.08"
"244660","KODEX 퀄리티Plus","9425","-640","-6.36","9201.74","9920","9920","9145","300","2843360","4712500000","4600870787","500000","FnGuide 퀄리티 Plus 지수","2247.22","-226.23","-9.15"
"375770","KODEX 탄소효율그린뉴딜","17965","-2660","-12.90","18093.69","19645","19980","17965","7463","142377445","43116000000","43424844479","2400000","KRX/S&P 탄소효율 그린뉴딜지수","3005.92","-418.33","-12.22"
"459560","KODEX 테슬라밸류체인FactSet","18990","-1025","-5.12","19216.68","20015","20015","18990","19676","375386249","29434500000","29785859739","1550000","FactSet TSLA Value Chain Index(PR)","607.68","0.66","0.11"
"475080","KODEX 테슬라커버드콜채권혼합액티브","8500","-55","-0.64","8619.80","8495","8570","8480","836390","7125716525","346375000000","349102093395","40750000","KEDI 테슬라 인컴 프리미엄 밸런스드 지수(TR)","1646.60","-6.13","-0.37"
"266410","KODEX 필수소비재","8325","-840","-9.17","8350.63","8930","8930","8300","69397","595345404","13320000000","13361011017","1600000","KRX 필수소비재","1495.88","-148.73","-9.04"
"298770","KODEX 한국대만IT프리미어","51370","-4600","-8.22","53231.57","52865","54900","51370","61942","3288068321","56507000000","58554727310","1100000","한국 대만 IT 프리미어지수","7489.90","-606.03","-7.49"
"476800","KODEX 한국부동산리츠인프라","4665","-185","-3.81","4666.08","4825","4840","4645","5119434","24197632512","556534500000","556663077772","119300000","KRX 부동산리츠인프라 지수","1336.35","-60.06","-4.30"
