종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"451060","1Q 200액티브","28035","-2425","-7.96","27922.98","29870","30000","28035","776607","22471214138","248109750000","247118384709","8850000","코스피 200","859.40","-73.94","-7.92"
"491610","1Q CD금리액티브(합성)","103405","5","0.00","103410.00","103405","103415","103395","18414","1904102274","220562865000","220573531912","2133000","KIS 하나 CD금리 총수익지수","11704.60","0.90","0.01"
"0103T0","1Q K소버린AI","10400","-870","-7.72","10368.23","11045","11080","10355","337253","3601695374","29120000000","28512631611","2800000","iSelect K소버린AI 지수","2048.20","-180.74","-8.11"
"463290","1Q 단기금융채액티브","107720","5","0.00","107712.15","107715","107730","107710","14133","1522460685","182477680000","185588033254","1694000","MK 머니마켓 지수(총수익)","14544.79","-0.93","-0.01"
"0131W0","1Q 단기특수은행채액티브","100760","0","0.00","100752.67","100770","100770","100760","1160","116887410","105596480000","107100084369","1048000","KIS 단기특수은행채 지수(총수익)","115.63","0.00","0.00"
"479080","1Q 머니마켓액티브","52895","0","0.00","52896.81","52895","52900","52890","140498","7432483385","929788310000","881895547847","17578000","KIS-하나 MMF 지수(총수익)","119.04","0.01","0.01"
"0026S0","1Q 미국S&P500","12155","125","1.04","12266.94","12200","12215","12140","248897","3032612183","257686000000","244112099655","21200000","S&P 500","6816.63","-62.25","-0.90"
"0052S0","1Q 미국S&P500미국채혼합50액티브","11525","170","1.50","11590.68","11530","11560","11510","437916","5049962350","258160000000","252676895075","22400000","S&P 500 and Short-Term Treasury 50/50 Blend Index","275.45","-1.24","-0.45"
"0069M0","1Q 미국나스닥100","12040","125","1.05","12165.53","12090","12105","12015","193244","2332241496","113176000000","111922884347","9400000","NASDAQ 100","24720.08","-239.96","-0.96"
"0111P0","1Q 미국나스닥100미국채혼합50액티브","10400","145","1.41","10482.15","10425","10445","10385","381516","3974772510","196560000000","197064375089","18900000","Nasdaq-100 US T-Bills 0-6 Month 50/50 Index","2843.46","-13.49","-0.47"
"0083S0","1Q 미국메디컬AI","10170","-120","-1.17","10340.69","10265","10285","10155","108238","1106340027","44748000000","44464963024","4400000","KEDI 미국메디컬AI 지수","1798.07","-41.93","-2.28"
"0004G0","1Q 미국배당TOP30","9725","135","1.41","9822.94","9745","9780","9705","27693","269949666","9725000000","9822935719","1000000","Solactive U.S. Dividend TOP 30 Index PR","4337.47","-82.23","-1.86"
"0131V0","1Q 미국우주항공테크","12740","375","3.03","12977.03","12750","12975","12700","2200343","28297259004","582218000000","589157076192","45700000","Akros 미국우주항공테크 지수","4357.23","115.98","2.73"
"0094X0","1Q 샤오미밸류체인액티브","9190","-385","-4.02","9542.35","9575","9575","9110","86222","805976595","16082500000","16699111793","1750000","Solactive-KEDI Xiaomi Focus China Tech Index","1763.24","-125.93","-6.67"
"0017Y0","1Q 종합채권(AA-이상)액티브","97225","-515","-0.53","96923.95","97485","97490","97225","147","14317220","79627275000","79380714345","819000","KIS 종합채권형 지수(AA-이상)(총수익)","123.00","-1.07","-0.86"
"0052T0","1Q 중단기회사채(A-이상)액티브","50215","-50","-0.10","50168.23","50240","50240","50215","140","7030775","90688290000","90603827422","1806000","KEDI 중단기크레딧플러스채권(AAA~A-)지수(총수익)","118.44","-0.16","-0.13"
"472350","1Q 차이나H(H)","16235","0","0.00","16597.33","0","0","0","0","0","1623500000","1659732946","100000","Hang Seng China H","8608.71","-250.78","-2.83"
"495330","1Q 코리아밸류업","25635","-1945","-7.05","25591.19","27255","27430","25635","364539","9639832303","92286000000","92128287345","3600000","코리아 밸류업 지수","2601.97","-196.90","-7.03"
"492500","1Q 현대차그룹채권(A+이상)&국고통안","51055","-115","-0.22","51068.15","51135","51135","51055","4694","239845670","105071190000","109081562011","2058000","KIS 하나 현대차그룹채권(A+이상)&국고통안 총수익지수","11855.95","-22.44","-0.19"
"473440","ACE 11월만기자동연장회사채AA-이상액티브","10680","0","0.00","10692.54","10680","10685","10680","4552","48619519","87576000000","87678857759","8200000","KIS 11월 만기자동연장회사채(AA-이상) 총수익지수","122.18","-0.01","-0.01"
"105190","ACE 200","87035","-7625","-8.06","87009.80","92710","93300","87000","1203982","109552232132","1457836250000","1440012136778","16750000","코스피 200","859.40","-73.94","-7.92"
"332500","ACE 200TR","58050","-4980","-7.90","57950.68","61865","62105","57910","146689","8859475587","127710000000","127491492409","2200000","코스피 200 TR","1133.56","-97.53","-7.92"
"461270","ACE 26-06 회사채(AA-이상)액티브","11115","0","0.00","11125.33","11110","11120","11110","14261","158454165","161278650000","161428526952","14510000","KIS 크레딧 2606만기형(AA-이상)지수(총수익지수)","124.63","0.00","0.00"
"475260","ACE 2월만기자동연장회사채AA-이상액티브","10605","0","0.00","10608.06","10605","10610","10605","1545","16385095","49949550000","49963968549","4710000","KAP 2월 만기자동연장회사채(AA-이상) 총수익지수","121.12","-0.03","-0.02"
"385600","ACE 2차전지&친환경차액티브","10970","-1195","-9.82","11018.79","11980","12015","10970","99087","1135626233","21940000000","22037572583","2000000","FnGuide 친환경 자동차 밸류체인 지수","1969.55","-205.94","-9.47"
"475270","ACE 5월만기자동연장회사채AA-이상액티브","10580","0","0.00","10582.62","10580","10585","10580","152","1608260","44224400000","44235370865","4180000","KIS 5월 만기자동연장회사채(AA-이상) 총수익지수","119.73","0.00","0.00"
"475280","ACE 8월만기자동연장회사채AA-이상액티브","10565","-5","-0.05","10574.24","10570","10575","10565","276","2916275","80082700000","73808208495","7580000","KAP 8월 만기자동연장회사채(AA-이상) 총수익지수","121.38","0.00","0.00"
"469150","ACE AI반도체포커스","45070","-5120","-10.20","45004.77","48660","49465","44970","2833315","134369917213","376334500000","389291301361","8350000","FnGuide AI반도체 TOP3+ 지수","5645.97","-636.12","-10.13"
"0079X0","ACE BYD밸류체인액티브","12150","-320","-2.57","12601.14","11855","12640","11855","11313","139572785","3645000000","3150285644","300000","Bloomberg BYD Plus Top Supply Chain Select Price Return Index","2698.16","-137.95","-4.86"
"385590","ACE ESG액티브","18355","-1745","-8.68","18482.01","20100","20100","18355","2466","47109062","40381000000","40660421151","2200000","MSCI Korea Country ESG Leaders Custom Capped Price return Index","3525.56","-268.64","-7.08"
"0010E0","ACE FTSE WGBI Korea","93805","-775","-0.82","93350.10","94125","94175","93805","33","3106670","4502640000","4480804875","48000","FTSE Korean Government Bond Index(TR)","199.57","-2.23","-1.10"
"226380","ACE Fn성장소비주도주","6805","-320","-4.49","6834.24","7075","7075","6805","2677","18683385","4763500000","4783969117","700000","FnGuide 성장소비주도 지수","2260.81","-99.91","-4.23"
"475050","ACE KPOP포커스","11400","-885","-7.20","11391.64","12075","12085","11395","1164702","13648511906","169290000000","168596334945","14850000","iSelect K-POP 포커스지수(시장가격)","2843.05","-227.88","-7.42"
"411060","ACE KRX금현물","34970","1440","4.29","34832.18","34740","35442","34740","7137118","251292736500","5388877000000","5364155784658","154100000","KRX 금현물지수","5838.70","231.91","4.14"
"291130","ACE MSCI멕시코(합성)","19795","-210","-1.05","20211.68","19855","20295","19775","6905","137816460","17815500000","18190515124","900000","MSCI MEXICO IMI 25/50 Price return Index","13805.49","-602.93","-4.18"
"256440","ACE MSCI인도네시아(합성)","8035","-115","-1.41","8078.39","8130","8130","8005","32480","261322000","35354000000","35544934131","4400000","MSCI Indonesia Index","5796.02","-238.72","-3.96"
"261920","ACE MSCI필리핀(합성)","14455","-225","-1.53","14452.36","14575","15185","14385","1728","25057802","5782000000","5780944131","400000","MSCI Philippines IMI Index","1654.05","-44.28","-2.61"
"0021D0","ACE TDF2030액티브","11420","-150","-1.30","11405.60","11665","11665","11420","47702","551541225","16559000000","16538125979","1450000","Bloomberg Multi Asset Target-date 2030 KRW Index","2773.54","-0.43","-0.02"
"0021E0","ACE TDF2050액티브","12665","-105","-0.82","12568.24","11900","12865","11900","185625","2358145669","61425250000","62212776038","4850000","Bloomberg Multi Asset Target-date 2050 KRW Index","3460.03","18.44","0.54"
